NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	STK36	serine/threonine kinase 36 [Source:HGNC Symbol;Acc:HGNC:17209]	125	0.2285500466823578	0.012031349	Yes	
row_1	LTB4R	leukotriene B4 receptor [Source:HGNC Symbol;Acc:HGNC:6713]	147	0.22462907433509827	0.029925259	Yes	
row_2	HOXD3	homeobox D3 [Source:HGNC Symbol;Acc:HGNC:5137]	265	0.20549623668193817	0.040468402	Yes	
row_3	GDF15	growth differentiation factor 15 [Source:HGNC Symbol;Acc:HGNC:30142]	449	0.18469281494617462	0.04530591	Yes	
row_4	CLDN8	claudin 8 [Source:HGNC Symbol;Acc:HGNC:2050]	534	0.17871858179569244	0.055533063	Yes	
row_5	SETD6	SET domain containing 6, protein lysine methyltransferase [Source:HGNC Symbol;Acc:HGNC:26116]	577	0.17625556886196136	0.06805283	Yes	
row_6	LCAT	lecithin-cholesterol acyltransferase [Source:HGNC Symbol;Acc:HGNC:6522]	633	0.1730065941810608	0.07952108	Yes	
row_7	FOXK1	forkhead box K1 [Source:HGNC Symbol;Acc:HGNC:23480]	821	0.16179881989955902	0.082169	Yes	
row_8	KIFC1	kinesin family member C1 [Source:HGNC Symbol;Acc:HGNC:6389]	935	0.1555100828409195	0.08869015	Yes	
row_9	RAD9A	RAD9 checkpoint clamp component A [Source:HGNC Symbol;Acc:HGNC:9827]	997	0.15263819694519043	0.0980649	Yes	
row_10	IGF2	insulin like growth factor 2 [Source:HGNC Symbol;Acc:HGNC:5466]	1106	0.14798252284526825	0.10424239	Yes	
row_11	TFF3	trefoil factor 3 [Source:HGNC Symbol;Acc:HGNC:11757]	1136	0.14646200835704803	0.11499744	Yes	
row_12	HPS4	HPS4 biogenesis of lysosomal organelles complex 3 subunit 2 [Source:HGNC Symbol;Acc:HGNC:15844]	1280	0.14085333049297333	0.11848187	Yes	
row_13	VAX2	ventral anterior homeobox 2 [Source:HGNC Symbol;Acc:HGNC:12661]	1390	0.13700838387012482	0.123664446	Yes	
row_14	MC1R	melanocortin 1 receptor [Source:HGNC Symbol;Acc:HGNC:6929]	1408	0.13611023128032684	0.13425222	Yes	
row_15	POLD2	DNA polymerase delta 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:9176]	1458	0.1342967003583908	0.14277872	Yes	
row_16	AP1G2	adaptor related protein complex 1 subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:556]	1521	0.13215503096580505	0.15034811	Yes	
row_17	MST1R	macrophage stimulating 1 receptor [Source:HGNC Symbol;Acc:HGNC:7381]	1524	0.13195306062698364	0.16147533	Yes	
row_18	VAMP1	vesicle associated membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:12642]	1728	0.1252906769514084	0.1600583	Yes	
row_19	TSPO2	translocator protein 2 [Source:HGNC Symbol;Acc:HGNC:21256]	1738	0.12485267966985703	0.17016326	Yes	
row_20	TCF3	transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:11633]	1867	0.12106006592512131	0.17285447	Yes	
row_21	ZNF358	zinc finger protein 358 [Source:HGNC Symbol;Acc:HGNC:16838]	2032	0.11625895649194717	0.17299144	Yes	
row_22	CLDN6	claudin 6 [Source:HGNC Symbol;Acc:HGNC:2048]	2044	0.11596648395061493	0.18221986	Yes	
row_23	AURKB	aurora kinase B [Source:HGNC Symbol;Acc:HGNC:11390]	2138	0.11297990381717682	0.18630783	Yes	
row_24	KCNC3	potassium voltage-gated channel subfamily C member 3 [Source:HGNC Symbol;Acc:HGNC:6235]	2249	0.10991965234279633	0.18912205	Yes	
row_25	MAZ	MYC associated zinc finger protein [Source:HGNC Symbol;Acc:HGNC:6914]	2298	0.10880526900291443	0.19553551	Yes	
row_26	ADGRB1	adhesion G protein-coupled receptor B1 [Source:HGNC Symbol;Acc:HGNC:943]	2356	0.10747235268354416	0.2012991	Yes	
row_27	UBXN11	UBX domain protein 11 [Source:HGNC Symbol;Acc:HGNC:30600]	2603	0.1016533300280571	0.19530535	Yes	
row_28	STRN4	striatin 4 [Source:HGNC Symbol;Acc:HGNC:15721]	2730	0.09821586310863495	0.1961687	Yes	
row_29	ENTPD2	ectonucleoside triphosphate diphosphohydrolase 2 [Source:HGNC Symbol;Acc:HGNC:3364]	2836	0.09553182125091553	0.19805457	Yes	
row_30	TCF7L2	transcription factor 7 like 2 [Source:HGNC Symbol;Acc:HGNC:11641]	3139	0.0889337956905365	0.18764001	Yes	
row_31	HOXD10	homeobox D10 [Source:HGNC Symbol;Acc:HGNC:5133]	3261	0.08656183630228043	0.18780802	Yes	
row_32	IRX3	iroquois homeobox 3 [Source:HGNC Symbol;Acc:HGNC:14360]	3271	0.08644264191389084	0.19463928	Yes	
row_33	MAST2	microtubule associated serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:19035]	3331	0.08528026193380356	0.19839227	Yes	
row_34	NTSR1	neurotensin receptor 1 [Source:HGNC Symbol;Acc:HGNC:8039]	3367	0.08428905159235	0.20349081	Yes	
row_35	RNF112	ring finger protein 112 [Source:HGNC Symbol;Acc:HGNC:12968]	3417	0.08321283012628555	0.20766343	Yes	
row_36	GALNT6	polypeptide N-acetylgalactosaminyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:4128]	3650	0.07803378999233246	0.20049074	Yes	
row_37	SYT3	synaptotagmin 3 [Source:HGNC Symbol;Acc:HGNC:11511]	3662	0.07776489108800888	0.20646323	Yes	
row_38	HS3ST1	heparan sulfate-glucosamine 3-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5194]	3665	0.07773032784461975	0.21296903	Yes	
