NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
CORDENONSI_YAP_CONSERVED_SIGNATURE	CORDENONSI_YAP_CONSERVED_SIGNATURE	Details ...	57	-0.50819397	-1.5903873	0.04863813	1.0	0.598	3973	tags=46%, list=23%, signal=59%	
RAF_UP.V1_UP	RAF_UP.V1_UP	Details ...	191	-0.38054007	-1.5498013	0.013133208	1.0	0.712	3785	tags=37%, list=22%, signal=47%	
TGFB_UP.V1_UP	TGFB_UP.V1_UP	Details ...	182	-0.39979416	-1.5480379	0.05202312	0.9482927	0.715	3753	tags=41%, list=22%, signal=52%	
PTEN_DN.V2_UP	PTEN_DN.V2_UP	Details ...	123	-0.37993404	-1.506728	0.016544119	0.95430654	0.808	4094	tags=43%, list=24%, signal=56%	
RB_DN.V1_DN	RB_DN.V1_DN	Details ...	117	-0.37932834	-1.5054827	0.036538463	0.77063495	0.809	2923	tags=31%, list=17%, signal=37%	
EGFR_UP.V1_UP	EGFR_UP.V1_UP	Details ...	192	-0.401367	-1.4938717	0.039622642	0.69905335	0.83	3636	tags=38%, list=21%, signal=47%	
PDGF_UP.V1_DN	PDGF_UP.V1_DN	Details ...	111	-0.3509352	-1.4610981	0.023090586	0.75518	0.875	4745	tags=45%, list=28%, signal=62%	
BMI1_DN_MEL18_DN.V1_DN	BMI1_DN_MEL18_DN.V1_DN	Details ...	142	-0.36290866	-1.444431	0.06654676	0.7477486	0.892	3909	tags=37%, list=23%, signal=47%	
CSR_EARLY_UP.V1_UP	CSR_EARLY_UP.V1_UP	Details ...	150	-0.38344327	-1.4301149	0.09589041	0.72820115	0.911	3554	tags=37%, list=21%, signal=47%	
CYCLIN_D1_KE_.V1_DN	CYCLIN_D1_KE_.V1_DN	Details ...	167	-0.3469145	-1.417858	0.06610169	0.7054951	0.922	4350	tags=40%, list=26%, signal=53%	
LEF1_UP.V1_UP	LEF1_UP.V1_UP	Details ...	186	-0.37222606	-1.4061388	0.10036496	0.6928107	0.931	2770	tags=32%, list=16%, signal=38%	
LTE2_UP.V1_UP	LTE2_UP.V1_UP	Details ...	186	-0.3235209	-1.3980716	0.036777582	0.667885	0.936	2945	tags=28%, list=17%, signal=33%	
P53_DN.V1_DN	P53_DN.V1_DN	Details ...	190	-0.38228053	-1.3956817	0.12230216	0.6254724	0.937	4111	tags=43%, list=24%, signal=56%	
CAMP_UP.V1_DN	CAMP_UP.V1_DN	Details ...	196	-0.3544098	-1.3899826	0.07865169	0.602737	0.941	4144	tags=40%, list=24%, signal=52%	
HOXA9_DN.V1_UP	HOXA9_DN.V1_UP	Details ...	190	-0.3746018	-1.352976	0.14119923	0.705374	0.962	4654	tags=43%, list=27%, signal=59%	
YAP1_UP	YAP1_UP	Details ...	45	-0.37235475	-1.3433605	0.119373776	0.7011333	0.965	3562	tags=42%, list=21%, signal=53%	
BCAT_GDS748_UP	BCAT_GDS748_UP	Details ...	45	-0.3681621	-1.3429813	0.08856089	0.6612098	0.965	3035	tags=31%, list=18%, signal=38%	
TBK1.DF_UP	TBK1.DF_UP	Details ...	284	-0.30296645	-1.339315	0.08506616	0.6378068	0.965	3973	tags=35%, list=23%, signal=45%	
E2F1_UP.V1_DN	E2F1_UP.V1_DN	Details ...	184	-0.2924275	-1.3319637	0.07846715	0.63327837	0.971	4280	tags=35%, list=25%, signal=47%	
CYCLIN_D1_UP.V1_DN	CYCLIN_D1_UP.V1_DN	Details ...	176	-0.29603332	-1.3268391	0.03986135	0.6208571	0.976	4062	tags=36%, list=24%, signal=47%	
BCAT_BILD_ET_AL_DN	BCAT_BILD_ET_AL_DN		45	-0.44485837	-1.3234909	0.19140625	0.6032377	0.979	3170	tags=38%, list=19%, signal=46%	
STK33_NOMO_UP	STK33_NOMO_UP		284	-0.36616632	-1.3171613	0.15961538	0.597529	0.981	4297	tags=42%, list=25%, signal=55%	
WNT_UP.V1_DN	WNT_UP.V1_DN		153	-0.30399656	-1.3121573	0.0910683	0.58799917	0.983	3788	tags=34%, list=22%, signal=43%	
BMI1_DN_MEL18_DN.V1_UP	BMI1_DN_MEL18_DN.V1_UP		139	-0.362827	-1.3073888	0.16666667	0.5782985	0.983	3893	tags=36%, list=23%, signal=46%	
SNF5_DN.V1_DN	SNF5_DN.V1_DN		142	-0.30030176	-1.3045714	0.0738255	0.56398827	0.985	3068	tags=28%, list=18%, signal=34%	
RPS14_DN.V1_UP	RPS14_DN.V1_UP		183	-0.3727363	-1.2877451	0.21509434	0.5946224	0.987	4267	tags=40%, list=25%, signal=53%	
KRAS.KIDNEY_UP.V1_UP	KRAS.KIDNEY_UP.V1_UP		131	-0.44189888	-1.2855214	0.24489796	0.57935333	0.988	4188	tags=47%, list=25%, signal=61%	
STK33_UP	STK33_UP		277	-0.35327467	-1.2792642	0.17125984	0.5782005	0.99	4189	tags=37%, list=25%, signal=49%	
PDGF_UP.V1_UP	PDGF_UP.V1_UP		138	-0.29207826	-1.2594347	0.12854442	0.6199595	0.992	3591	tags=30%, list=21%, signal=38%	
CRX_NRL_DN.V1_DN	CRX_NRL_DN.V1_DN		113	-0.28073907	-1.2584027	0.10460993	0.6027882	0.992	3080	tags=27%, list=18%, signal=32%	
RAF_UP.V1_DN	RAF_UP.V1_DN		190	-0.3072206	-1.2546401	0.16574585	0.5942025	0.994	3156	tags=29%, list=19%, signal=36%	
KRAS.300_UP.V1_UP	KRAS.300_UP.V1_UP		129	-0.35239664	-1.2500546	0.2	0.5880779	0.995	4970	tags=47%, list=29%, signal=65%	
EIF4E_DN	EIF4E_DN		99	-0.36682728	-1.2484082	0.20628683	0.57507116	0.995	4529	tags=41%, list=27%, signal=56%	
KRAS.BREAST_UP.V1_UP	KRAS.BREAST_UP.V1_UP		109	-0.31292072	-1.2413007	0.15566038	0.5808952	0.996	3604	tags=30%, list=21%, signal=38%	
GLI1_UP.V1_UP	GLI1_UP.V1_UP		24	-0.37340277	-1.2368863	0.19433962	0.5761671	0.996	3524	tags=38%, list=21%, signal=47%	
ESC_J1_UP_LATE.V1_UP	ESC_J1_UP_LATE.V1_UP		172	-0.29968712	-1.2364043	0.17730497	0.5616374	0.996	3209	tags=29%, list=19%, signal=36%	
PGF_UP.V1_UP	PGF_UP.V1_UP		188	-0.38130492	-1.2314352	0.2642998	0.56105644	0.997	2698	tags=30%, list=16%, signal=36%	
KRAS.600_UP.V1_UP	KRAS.600_UP.V1_UP		243	-0.32195067	-1.2282064	0.19860627	0.5552116	0.997	4970	tags=44%, list=29%, signal=62%	
HINATA_NFKB_IMMU_INF	HINATA_NFKB_IMMU_INF		15	-0.511007	-1.2223214	0.2671614	0.5570733	0.997	3636	tags=40%, list=21%, signal=51%	
IL15_UP.V1_DN	IL15_UP.V1_DN		154	-0.28948927	-1.2155491	0.15916955	0.5624814	0.997	4419	tags=37%, list=26%, signal=50%	
ESC_V6.5_UP_EARLY.V1_DN	ESC_V6.5_UP_EARLY.V1_DN		156	-0.30961114	-1.212036	0.21850394	0.5584533	0.997	4699	tags=39%, list=28%, signal=54%	
VEGF_A_UP.V1_DN	VEGF_A_UP.V1_DN		192	-0.34398496	-1.2069308	0.25932837	0.55890405	0.997	3613	tags=34%, list=21%, signal=43%	
PRC2_EZH2_UP.V1_UP	PRC2_EZH2_UP.V1_UP		185	-0.28746182	-1.2066706	0.19264448	0.5463415	0.997	3912	tags=33%, list=23%, signal=42%	
NRL_DN.V1_DN	NRL_DN.V1_DN		121	-0.27175015	-1.2031658	0.15465729	0.5421397	0.997	3261	tags=27%, list=19%, signal=34%	
STK33_SKM_UP	STK33_SKM_UP		262	-0.3253652	-1.2019506	0.24646464	0.53339416	0.997	4831	tags=39%, list=29%, signal=54%	
PDGF_ERK_DN.V1_UP	PDGF_ERK_DN.V1_UP		129	-0.26236898	-1.190736	0.1761658	0.54998934	0.997	2482	tags=23%, list=15%, signal=27%	
ATF2_S_UP.V1_DN	ATF2_S_UP.V1_DN		177	-0.28403518	-1.1798084	0.23774955	0.56720674	0.998	3193	tags=27%, list=19%, signal=32%	
PTEN_DN.V1_DN	PTEN_DN.V1_DN		149	-0.30831906	-1.1790287	0.23499142	0.55709606	0.998	5009	tags=39%, list=30%, signal=55%	
MEK_UP.V1_UP	MEK_UP.V1_UP		194	-0.284576	-1.1762933	0.23970038	0.5521799	0.998	2753	tags=23%, list=16%, signal=27%	
BMI1_DN.V1_UP	BMI1_DN.V1_UP		142	-0.310327	-1.1692158	0.24905661	0.5595449	0.998	3279	tags=30%, list=19%, signal=37%	
KRAS.600.LUNG.BREAST_UP.V1_UP	KRAS.600.LUNG.BREAST_UP.V1_UP		228	-0.2759008	-1.1673633	0.22601625	0.5534137	0.998	4778	tags=40%, list=28%, signal=55%	
MEL18_DN.V1_UP	MEL18_DN.V1_UP		140	-0.3149275	-1.1651751	0.28832117	0.5478291	0.998	3224	tags=31%, list=19%, signal=38%	
CAHOY_ASTROGLIAL	CAHOY_ASTROGLIAL		97	-0.29586625	-1.1634094	0.2777778	0.5418323	0.998	4892	tags=39%, list=29%, signal=55%	
KRAS.50_UP.V1_UP	KRAS.50_UP.V1_UP		47	-0.37248707	-1.1478012	0.30357143	0.5698769	0.998	4963	tags=49%, list=29%, signal=69%	
