NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RAP1A	RAP1A, member of RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9855]	111	0.24139568209648132	0.047770042	Yes	
row_1	ARHGAP29	Rho GTPase activating protein 29 [Source:HGNC Symbol;Acc:HGNC:30207]	142	0.2331564724445343	0.09848131	Yes	
row_2	RASAL2	RAS protein activator like 2 [Source:HGNC Symbol;Acc:HGNC:9874]	229	0.21421952545642853	0.14161378	Yes	
row_3	OSBPL10	oxysterol binding protein like 10 [Source:HGNC Symbol;Acc:HGNC:16395]	268	0.20773763954639435	0.18612915	Yes	
row_4	EFR3A	EFR3 homolog A [Source:HGNC Symbol;Acc:HGNC:28970]	418	0.19063855707645416	0.2202229	Yes	
row_5	GCLM	glutamate-cysteine ligase modifier subunit [Source:HGNC Symbol;Acc:HGNC:4312]	435	0.18888716399669647	0.26179734	Yes	
row_6	ZNF281	zinc finger protein 281 [Source:HGNC Symbol;Acc:HGNC:13075]	450	0.18719704449176788	0.3031097	Yes	
row_7	PRKDC	protein kinase, DNA-activated, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9413]	464	0.18608617782592773	0.3442312	Yes	
row_8	TAF1D	TATA-box binding protein associated factor, RNA polymerase I subunit D [Source:HGNC Symbol;Acc:HGNC:28759]	596	0.17383405566215515	0.37560773	Yes	
row_9	PTHLH	parathyroid hormone like hormone [Source:HGNC Symbol;Acc:HGNC:9607]	938	0.15196581184864044	0.38962725	Yes	
row_10	IER5	immediate early response 5 [Source:HGNC Symbol;Acc:HGNC:5393]	948	0.15141494572162628	0.4231805	Yes	
row_11	COPB1	COPI coat complex subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:2231]	1142	0.14007623493671417	0.4432865	Yes	
row_12	SORL1	sortilin related receptor 1 [Source:HGNC Symbol;Acc:HGNC:11185]	1154	0.13984431326389313	0.4741166	Yes	
row_13	RIF1	replication timing regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:23207]	1347	0.13083074986934662	0.49220052	Yes	
row_14	SHC1	SHC adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:10840]	1517	0.12427838146686554	0.51017123	Yes	
row_15	IRAK2	interleukin 1 receptor associated kinase 2 [Source:HGNC Symbol;Acc:HGNC:6113]	1563	0.12278138846158981	0.535147	Yes	
row_16	ATP9B	ATPase phospholipid transporting 9B (putative) [Source:HGNC Symbol;Acc:HGNC:13541]	2004	0.1072518453001976	0.5332388	Yes	
