NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ASPH	aspartate beta-hydroxylase [Source:HGNC Symbol;Acc:HGNC:757]	1	0.3612261712551117	0.02995602	Yes	
row_1	NT5E	5'-nucleotidase ecto [Source:HGNC Symbol;Acc:HGNC:8021]	2	0.3583298325538635	0.059730913	Yes	
row_2	ADAM19	ADAM metallopeptidase domain 19 [Source:HGNC Symbol;Acc:HGNC:197]	128	0.23797085881233215	0.07206207	Yes	
row_3	PODXL	podocalyxin like [Source:HGNC Symbol;Acc:HGNC:9171]	214	0.2167145013809204	0.08500861	Yes	
row_4	PLAT	plasminogen activator, tissue type [Source:HGNC Symbol;Acc:HGNC:9051]	234	0.21353217959403992	0.101620466	Yes	
row_5	BMAL2	basic helix-loop-helix ARNT like 2 [Source:HGNC Symbol;Acc:HGNC:18984]	263	0.20847345888614655	0.1172761	Yes	
row_6	KMT2A	lysine methyltransferase 2A [Source:HGNC Symbol;Acc:HGNC:7132]	318	0.2010679394006729	0.1307683	Yes	
row_7	INHBA	inhibin subunit beta A [Source:HGNC Symbol;Acc:HGNC:6066]	346	0.1977204978466034	0.14558998	Yes	
row_8	KLF7	KLF transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:6350]	381	0.19460341334342957	0.15973586	Yes	
row_9	ITGB6	integrin subunit beta 6 [Source:HGNC Symbol;Acc:HGNC:6161]	390	0.19330723583698273	0.1753221	Yes	
row_10	KCNN4	potassium calcium-activated channel subfamily N member 4 [Source:HGNC Symbol;Acc:HGNC:6293]	398	0.19234812259674072	0.1908882	Yes	
row_11	HAPLN1	hyaluronan and proteoglycan link protein 1 [Source:HGNC Symbol;Acc:HGNC:2380]	482	0.1841079145669937	0.20124443	Yes	
row_12	MICA	MHC class I polypeptide-related sequence A [Source:HGNC Symbol;Acc:HGNC:7090]	616	0.1722230464220047	0.20763603	Yes	
row_13	RUSC2	RUN and SH3 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23625]	625	0.1715199500322342	0.2214119	Yes	
row_14	APBB2	amyloid beta precursor protein binding family B member 2 [Source:HGNC Symbol;Acc:HGNC:582]	702	0.16608116030693054	0.230687	Yes	
row_15	ABLIM3	actin binding LIM protein family member 3 [Source:HGNC Symbol;Acc:HGNC:29132]	718	0.1647898107767105	0.24348685	Yes	
row_16	ITGA5	integrin subunit alpha 5 [Source:HGNC Symbol;Acc:HGNC:6141]	724	0.1645652800798416	0.25686347	Yes	
row_17	VEGFC	vascular endothelial growth factor C [Source:HGNC Symbol;Acc:HGNC:12682]	788	0.16014263033866882	0.26641917	Yes	
row_18	CHST11	carbohydrate sulfotransferase 11 [Source:HGNC Symbol;Acc:HGNC:17422]	796	0.15947066247463226	0.27925336	Yes	
row_19	ADM	adrenomedullin [Source:HGNC Symbol;Acc:HGNC:259]	830	0.1576239913702011	0.29038602	Yes	
row_20	CDH13	cadherin 13 [Source:HGNC Symbol;Acc:HGNC:1753]	858	0.15618941187858582	0.30175674	Yes	
row_21	NRP2	neuropilin 2 [Source:HGNC Symbol;Acc:HGNC:8005]	907	0.1535884439945221	0.31166095	Yes	
row_22	PTHLH	parathyroid hormone like hormone [Source:HGNC Symbol;Acc:HGNC:9607]	938	0.15196581184864044	0.32250208	Yes	
row_23	PIM1	Pim-1 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:8986]	957	0.15070368349552155	0.33395284	Yes	
row_24	CHST3	carbohydrate sulfotransferase 3 [Source:HGNC Symbol;Acc:HGNC:1971]	973	0.14989705383777618	0.3455152	Yes	
row_25	ITGA3	integrin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6139]	1022	0.14697350561618805	0.35486975	Yes	
row_26	ADAM12	ADAM metallopeptidase domain 12 [Source:HGNC Symbol;Acc:HGNC:190]	1033	0.1462545394897461	0.36642712	Yes	
row_27	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	1068	0.14407113194465637	0.3763741	Yes	
row_28	GADD45A	growth arrest and DNA damage inducible alpha [Source:HGNC Symbol;Acc:HGNC:4095]	1319	0.13168743252754211	0.3724311	Yes	
row_29	P2RX5	purinergic receptor P2X 5 [Source:HGNC Symbol;Acc:HGNC:8536]	1349	0.1307162195444107	0.38156608	Yes	
row_30	ARL4C	ADP ribosylation factor like GTPase 4C [Source:HGNC Symbol;Acc:HGNC:698]	1375	0.1298809051513672	0.3908698	Yes	
row_31	TIMP3	TIMP metallopeptidase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:11822]	1390	0.1292165219783783	0.40077326	Yes	
row_32	TNFAIP6	TNF alpha induced protein 6 [Source:HGNC Symbol;Acc:HGNC:11898]	1518	0.12424322217702866	0.4035353	Yes	
row_33	LRRC15	leucine rich repeat containing 15 [Source:HGNC Symbol;Acc:HGNC:20818]	1530	0.12366623431444168	0.4131562	Yes	
row_34	FAP	fibroblast activation protein alpha [Source:HGNC Symbol;Acc:HGNC:3590]	1549	0.1231064423918724	0.4223138	Yes	
row_35	PLAUR	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]	1648	0.11957523971796036	0.42641467	Yes	
row_36	CSPG4	chondroitin sulfate proteoglycan 4 [Source:HGNC Symbol;Acc:HGNC:2466]	1821	0.11367698758840561	0.42561936	Yes	
row_37	FOSL1	FOS like 1, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:13718]	1836	0.11306335777044296	0.43418062	Yes	
row_38	PMEPA1	prostate transmembrane protein, androgen induced 1 [Source:HGNC Symbol;Acc:HGNC:14107]	1862	0.11190364509820938	0.44199052	Yes	
row_39	ZC3H12A	zinc finger CCCH-type containing 12A [Source:HGNC Symbol;Acc:HGNC:26259]	1897	0.11045225709676743	0.449144	Yes	
row_40	TRIO	trio Rho guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:12303]	2048	0.10592039674520493	0.44901407	Yes	
row_41	DUSP10	dual specificity phosphatase 10 [Source:HGNC Symbol;Acc:HGNC:3065]	2180	0.10181474685668945	0.44967428	Yes	
