NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LRRC17	leucine rich repeat containing 17 [Source:HGNC Symbol;Acc:HGNC:16895]	259	0.20905500650405884	0.004828939	No	
row_1	PMCH	pro-melanin concentrating hormone [Source:HGNC Symbol;Acc:HGNC:9109]	415	0.19078898429870605	0.014073938	No	
row_2	GREB1L	GREB1 like retinoic acid receptor coactivator [Source:HGNC Symbol;Acc:HGNC:31042]	416	0.19074071943759918	0.032530036	No	
row_3	TRAF3	TNF receptor associated factor 3 [Source:HGNC Symbol;Acc:HGNC:12033]	769	0.16121874749660492	0.027200872	No	
row_4	ICMT	isoprenylcysteine carboxyl methyltransferase [Source:HGNC Symbol;Acc:HGNC:5350]	787	0.16024468839168549	0.041695405	No	
row_5	CHD2	chromodomain helicase DNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:1917]	818	0.15851153433322906	0.055249307	No	
row_6	ZBTB44	zinc finger and BTB domain containing 44 [Source:HGNC Symbol;Acc:HGNC:25001]	1249	0.1349608302116394	0.04274181	No	
row_7	VAMP3	vesicle associated membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:12644]	1365	0.13027122616767883	0.048509363	No	
row_8	PLBD1	phospholipase B domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26215]	1704	0.11735427379608154	0.03976826	No	
row_9	IL19	interleukin 19 [Source:HGNC Symbol;Acc:HGNC:5990]	1940	0.10908093303442001	0.036350653	No	
row_10	CD79A	CD79a molecule [Source:HGNC Symbol;Acc:HGNC:1698]	2206	0.10095632076263428	0.030363208	No	
row_11	CCDC106	coiled-coil domain containing 106 [Source:HGNC Symbol;Acc:HGNC:30181]	2358	0.09640885144472122	0.030713798	No	
row_12	RBP4	retinol binding protein 4 [Source:HGNC Symbol;Acc:HGNC:9922]	2613	0.08901064842939377	0.024224512	No	
row_13	EFNA5	ephrin A5 [Source:HGNC Symbol;Acc:HGNC:3225]	2641	0.08850062638521194	0.031182516	No	
row_14	EXOC6B	exocyst complex component 6B [Source:HGNC Symbol;Acc:HGNC:17085]	3115	0.07603729516267776	0.010416939	No	
row_15	BMPR1B	bone morphogenetic protein receptor type 1B [Source:HGNC Symbol;Acc:HGNC:1077]	3241	0.07314611971378326	0.010062496	No	
row_16	RSAD2	radical S-adenosyl methionine domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30908]	3429	0.06864814460277557	0.0055865212	No	
row_17	PTCD2	pentatricopeptide repeat domain 2 [Source:HGNC Symbol;Acc:HGNC:25734]	3462	0.06800609827041626	0.010264191	No	
