NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	THBS2	thrombospondin 2 [Source:HGNC Symbol;Acc:HGNC:11786]	799	0.15929949283599854	-0.027735056	No	
row_1	CDH13	cadherin 13 [Source:HGNC Symbol;Acc:HGNC:1753]	858	0.15618941187858582	-0.011850018	No	
row_2	CDKL5	cyclin dependent kinase like 5 [Source:HGNC Symbol;Acc:HGNC:11411]	953	0.15100421011447906	0.0012554264	No	
row_3	TIMP4	TIMP metallopeptidase inhibitor 4 [Source:HGNC Symbol;Acc:HGNC:11823]	1652	0.1193256825208664	-0.02542866	No	
row_4	SP4	Sp4 transcription factor [Source:HGNC Symbol;Acc:HGNC:11209]	1898	0.11036424338817596	-0.026319947	No	
row_5	RNF122	ring finger protein 122 [Source:HGNC Symbol;Acc:HGNC:21147]	2041	0.10627928376197815	-0.021600021	No	
row_6	AIM2	absent in melanoma 2 [Source:HGNC Symbol;Acc:HGNC:357]	2058	0.1055932566523552	-0.009482365	No	
row_7	RHOH	ras homolog family member H [Source:HGNC Symbol;Acc:HGNC:686]	2320	0.09744470566511154	-0.012922701	No	
row_8	SHANK1	SH3 and multiple ankyrin repeat domains 1 [Source:HGNC Symbol;Acc:HGNC:15474]	2328	0.09709995239973068	-0.0013216713	No	
row_9	KLK8	kallikrein related peptidase 8 [Source:HGNC Symbol;Acc:HGNC:6369]	2371	0.09604216367006302	0.008069942	No	
row_10	CD3D	CD3 delta subunit of T-cell receptor complex [Source:HGNC Symbol;Acc:HGNC:1673]	2481	0.09250287711620331	0.013044688	No	
row_11	ETNK2	ethanolamine kinase 2 [Source:HGNC Symbol;Acc:HGNC:25575]	2570	0.09007149934768677	0.01896564	No	
row_12	H3C6	H3 clustered histone 6 [Source:HGNC Symbol;Acc:HGNC:4769]	2643	0.08846595883369446	0.025638072	No	
row_13	P3H3	prolyl 3-hydroxylase 3 [Source:HGNC Symbol;Acc:HGNC:19318]	3121	0.07587820291519165	0.0067013795	No	
row_14	H2BC11	H2B clustered histone 11 [Source:HGNC Symbol;Acc:HGNC:4761]	3140	0.07554683834314346	0.0149818305	No	
row_15	ANGPT4	angiopoietin 4 [Source:HGNC Symbol;Acc:HGNC:487]	3541	0.06629443913698196	-5.6819414E-4	No	
row_16	RCN3	reticulocalbin 3 [Source:HGNC Symbol;Acc:HGNC:21145]	3567	0.06561094522476196	0.006066925	No	
row_17	LTC4S	leukotriene C4 synthase [Source:HGNC Symbol;Acc:HGNC:6719]	3618	0.06428823620080948	0.011053702	No	
row_18	DENND1C	DENN domain containing 1C [Source:HGNC Symbol;Acc:HGNC:26225]	4459	0.04738159477710724	-0.03296672	No	
row_19	TNC	tenascin C [Source:HGNC Symbol;Acc:HGNC:5318]	4623	0.04409446567296982	-0.037189666	No	
row_20	CD34	CD34 molecule [Source:HGNC Symbol;Acc:HGNC:1662]	4757	0.04119707643985748	-0.039989598	No	
row_21	CLDN14	claudin 14 [Source:HGNC Symbol;Acc:HGNC:2035]	4910	0.03825204074382782	-0.044282332	No	
row_22	EXTL1	exostosin like glycosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:3515]	4973	0.03704620897769928	-0.043379556	No	
row_23	SIX1	SIX homeobox 1 [Source:HGNC Symbol;Acc:HGNC:10887]	5283	0.031364914029836655	-0.05784821	No	
row_24	HOXB7	homeobox B7 [Source:HGNC Symbol;Acc:HGNC:5118]	5292	0.031107481569051743	-0.05447355	No	
row_25	APOH	apolipoprotein H [Source:HGNC Symbol;Acc:HGNC:616]	5330	0.030434584245085716	-0.05290436	No	
row_26	GJA5	gap junction protein alpha 5 [Source:HGNC Symbol;Acc:HGNC:4279]	5651	0.024513965472579002	-0.068874106	No	
row_27	ARHGAP15	Rho GTPase activating protein 15 [Source:HGNC Symbol;Acc:HGNC:21030]	5693	0.023659944534301758	-0.06838086	No	
row_28	IRAG2	inositol 1,4,5-triphosphate receptor associated 2 [Source:HGNC Symbol;Acc:HGNC:6690]	5892	0.020018022507429123	-0.077661924	No	
row_29	HMGA2	high mobility group AT-hook 2 [Source:HGNC Symbol;Acc:HGNC:5009]	6263	0.013540626503527164	-0.09795898	No	
row_30	CILP	cartilage intermediate layer protein [Source:HGNC Symbol;Acc:HGNC:1980]	6355	0.012086519040167332	-0.101867326	No	
row_31	ZNF529	zinc finger protein 529 [Source:HGNC Symbol;Acc:HGNC:29328]	6357	0.012052073143422604	-0.10043519	No	
row_32	LDB2	LIM domain binding 2 [Source:HGNC Symbol;Acc:HGNC:6533]	6776	0.004395485855638981	-0.124714546	No	
row_33	CYP2U1	cytochrome P450 family 2 subfamily U member 1 [Source:HGNC Symbol;Acc:HGNC:20582]	7176	-0.0018826990853995085	-0.14817655	No	
