NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NMB	neuromedin B [Source:HGNC Symbol;Acc:HGNC:7842]	334	0.19919246435165405	0.0041214097	No	
row_1	HAPLN1	hyaluronan and proteoglycan link protein 1 [Source:HGNC Symbol;Acc:HGNC:2380]	482	0.1841079145669937	0.017532105	No	
row_2	SLC13A5	solute carrier family 13 member 5 [Source:HGNC Symbol;Acc:HGNC:23089]	641	0.17028483748435974	0.028627453	No	
row_3	CKAP5	cytoskeleton associated protein 5 [Source:HGNC Symbol;Acc:HGNC:28959]	1016	0.14737661182880402	0.024143022	No	
row_4	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	1068	0.14407113194465637	0.038439352	No	
row_5	FRMD5	FERM domain containing 5 [Source:HGNC Symbol;Acc:HGNC:28214]	1337	0.131193146109581	0.038302653	No	
row_6	GRHL1	grainyhead like transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:17923]	1370	0.13006746768951416	0.05204318	No	
row_7	PPARA	peroxisome proliferator activated receptor alpha [Source:HGNC Symbol;Acc:HGNC:9232]	1478	0.12595899403095245	0.060836516	No	
row_8	STK38L	serine/threonine kinase 38 like [Source:HGNC Symbol;Acc:HGNC:17848]	1843	0.11276885867118835	0.052784275	No	
row_9	RNF24	ring finger protein 24 [Source:HGNC Symbol;Acc:HGNC:13779]	2063	0.10537134110927582	0.052451912	No	
row_10	APP	amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]	2164	0.10246244072914124	0.05883543	No	
row_11	SPIRE1	spire type actin nucleation factor 1 [Source:HGNC Symbol;Acc:HGNC:30622]	2166	0.10239182412624359	0.07108861	No	
row_12	RASA2	RAS p21 protein activator 2 [Source:HGNC Symbol;Acc:HGNC:9872]	2411	0.0947096049785614	0.0679898	No	
row_13	BCAT1	branched chain amino acid transaminase 1 [Source:HGNC Symbol;Acc:HGNC:976]	2426	0.0942564308643341	0.07849283	No	
row_14	GPAM	glycerol-3-phosphate acyltransferase, mitochondrial [Source:HGNC Symbol;Acc:HGNC:24865]	3240	0.07315404713153839	0.039017383	No	
row_15	BMPR1B	bone morphogenetic protein receptor type 1B [Source:HGNC Symbol;Acc:HGNC:1077]	3241	0.07314611971378326	0.047813162	No	
row_16	SLC7A11	solute carrier family 7 member 11 [Source:HGNC Symbol;Acc:HGNC:11059]	3409	0.06907128542661667	0.04620326	No	
row_17	PAPSS2	3'-phosphoadenosine 5'-phosphosulfate synthase 2 [Source:HGNC Symbol;Acc:HGNC:8604]	3615	0.06432434171438217	0.041766275	No	
row_18	RGS20	regulator of G protein signaling 20 [Source:HGNC Symbol;Acc:HGNC:14600]	4249	0.051058098673820496	0.010321373	No	
row_19	GRIN2C	glutamate ionotropic receptor NMDA type subunit 2C [Source:HGNC Symbol;Acc:HGNC:4587]	4291	0.050489820539951324	0.013958355	No	
row_20	EGFL6	EGF like domain multiple 6 [Source:HGNC Symbol;Acc:HGNC:3235]	4579	0.045052025467157364	0.0023351049	No	
row_21	NIPAL3	NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233]	4660	0.04333732649683952	0.0027963645	No	
row_22	BTG1	BTG anti-proliferation factor 1 [Source:HGNC Symbol;Acc:HGNC:1130]	4676	0.042978763580322266	0.0070739067	No	
row_23	MFGE8	milk fat globule EGF and factor V/VIII domain containing [Source:HGNC Symbol;Acc:HGNC:7036]	4686	0.04276253655552864	0.011681699	No	
row_24	IL17RD	interleukin 17 receptor D [Source:HGNC Symbol;Acc:HGNC:17616]	4873	0.03892983868718147	0.005319172	No	
row_25	DIO2	iodothyronine deiodinase 2 [Source:HGNC Symbol;Acc:HGNC:2884]	5051	0.03562008589506149	-9.069735E-4	No	
row_26	GPR85	G protein-coupled receptor 85 [Source:HGNC Symbol;Acc:HGNC:4536]	5245	0.03208530321717262	-0.00850818	No	
row_27	CYP7B1	cytochrome P450 family 7 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:2652]	5324	0.030517106875777245	-0.009469794	No	
row_28	LGI4	leucine rich repeat LGI family member 4 [Source:HGNC Symbol;Acc:HGNC:18712]	5400	0.02922029048204422	-0.010409224	No	
row_29	RARRES1	retinoic acid receptor responder 1 [Source:HGNC Symbol;Acc:HGNC:9867]	5536	0.026491636410355568	-0.015239295	No	
row_30	HEY2	hes related family bHLH transcription factor with YRPW motif 2 [Source:HGNC Symbol;Acc:HGNC:4881]	6086	0.01663431152701378	-0.045836106	No	
row_31	ABCD2	ATP binding cassette subfamily D member 2 [Source:HGNC Symbol;Acc:HGNC:66]	6183	0.015026859007775784	-0.049729172	No	
