NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ITGB5	integrin subunit beta 5 [Source:HGNC Symbol;Acc:HGNC:6160]	79	0.25011181831359863	0.047630332	Yes	
row_1	AXL	AXL receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:905]	171	0.22556553781032562	0.08941575	Yes	
row_2	MDFIC	MyoD family inhibitor domain containing [Source:HGNC Symbol;Acc:HGNC:28870]	343	0.1980104297399521	0.1206978	Yes	
row_3	STMN1	stathmin 1 [Source:HGNC Symbol;Acc:HGNC:6510]	363	0.1962393820285797	0.16061576	Yes	
row_4	TGM2	transglutaminase 2 [Source:HGNC Symbol;Acc:HGNC:11778]	374	0.19526435434818268	0.20086308	Yes	
row_5	CDC20	cell division cycle 20 [Source:HGNC Symbol;Acc:HGNC:1723]	646	0.16971422731876373	0.2203017	Yes	
row_6	CCN1	cellular communication network factor 1 [Source:HGNC Symbol;Acc:HGNC:2654]	725	0.16455428302288055	0.2500968	Yes	
row_7	FSTL1	follistatin like 1 [Source:HGNC Symbol;Acc:HGNC:3972]	810	0.15889178216457367	0.27835205	Yes	
row_8	NDRG1	N-myc downstream regulated 1 [Source:HGNC Symbol;Acc:HGNC:7679]	908	0.1535762995481491	0.30472532	Yes	
row_9	HMMR	hyaluronan mediated motility receptor [Source:HGNC Symbol;Acc:HGNC:5012]	1028	0.14654642343521118	0.3283247	Yes	
row_10	GLS	glutaminase [Source:HGNC Symbol;Acc:HGNC:4331]	1076	0.14369052648544312	0.35559294	Yes	
row_11	BICC1	BicC family RNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:19351]	1336	0.13120581209659576	0.3676885	Yes	
row_12	FSCN1	fascin actin-bundling protein 1 [Source:HGNC Symbol;Acc:HGNC:11148]	1553	0.12293943017721176	0.380603	Yes	
row_13	CENPF	centromere protein F [Source:HGNC Symbol;Acc:HGNC:1857]	1573	0.12231683731079102	0.40505993	Yes	
row_14	MARCKS	myristoylated alanine rich protein kinase C substrate [Source:HGNC Symbol;Acc:HGNC:6759]	1878	0.11131976544857025	0.41032994	Yes	
row_15	CCN2	cellular communication network factor 2 [Source:HGNC Symbol;Acc:HGNC:2500]	2114	0.10378781706094742	0.41811305	Yes	
row_16	SERPINE1	serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583]	2193	0.10132179409265518	0.43468297	Yes	
row_17	SHCBP1	SHC binding and spindle associated 1 [Source:HGNC Symbol;Acc:HGNC:29547]	2438	0.09377144277095795	0.43983787	Yes	
row_18	THBS1	thrombospondin 1 [Source:HGNC Symbol;Acc:HGNC:11785]	3020	0.07816243916749954	0.4217601	Yes	
row_19	TOP2A	DNA topoisomerase II alpha [Source:HGNC Symbol;Acc:HGNC:11989]	3062	0.07724776118993759	0.43548724	Yes	
row_20	CDKN2C	cyclin dependent kinase inhibitor 2C [Source:HGNC Symbol;Acc:HGNC:1789]	3321	0.07121897488832474	0.43509573	Yes	
row_21	SCHIP1	schwannomin interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:15678]	3363	0.07018178701400757	0.44734502	Yes	
row_22	ASAP1	ArfGAP with SH3 domain, ankyrin repeat and PH domain 1 [Source:HGNC Symbol;Acc:HGNC:2720]	3436	0.06849107146263123	0.45740387	Yes	
row_23	DLC1	DLC1 Rho GTPase activating protein [Source:HGNC Symbol;Acc:HGNC:2897]	3473	0.06772594153881073	0.46943575	Yes	
row_24	CRIM1	cysteine rich transmembrane BMP regulator 1 [Source:HGNC Symbol;Acc:HGNC:2359]	3487	0.0674479529261589	0.48277232	Yes	
row_25	DUSP1	dual specificity phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3064]	4087	0.054059699177742004	0.4585869	No	
row_26	FGF2	fibroblast growth factor 2 [Source:HGNC Symbol;Acc:HGNC:3676]	4197	0.05223283916711807	0.463053	No	
row_27	ECT2	epithelial cell transforming 2 [Source:HGNC Symbol;Acc:HGNC:3155]	4559	0.04544023051857948	0.4511668	No	
row_28	GGH	gamma-glutamyl hydrolase [Source:HGNC Symbol;Acc:HGNC:4248]	4958	0.037406597286462784	0.4354081	No	
row_29	FLNA	filamin A [Source:HGNC Symbol;Acc:HGNC:3754]	5325	0.030516600236296654	0.42010435	No	
row_30	BIRC5	baculoviral IAP repeat containing 5 [Source:HGNC Symbol;Acc:HGNC:593]	5335	0.030395951122045517	0.42592844	No	
row_31	LHFPL6	LHFPL tetraspan subfamily member 6 [Source:HGNC Symbol;Acc:HGNC:6586]	5428	0.02854684740304947	0.42644784	No	
row_32	ITGB2	integrin subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:6155]	6287	0.013279186561703682	0.3783868	No	
row_33	EMP2	epithelial membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:3334]	6581	0.008051508106291294	0.36270988	No	
row_34	PMP22	peripheral myelin protein 22 [Source:HGNC Symbol;Acc:HGNC:9118]	6598	0.007763959933072329	0.36338568	No	
row_35	TSPAN3	tetraspanin 3 [Source:HGNC Symbol;Acc:HGNC:17752]	6795	0.004019758198410273	0.35261297	No	
row_36	GADD45B	growth arrest and DNA damage inducible beta [Source:HGNC Symbol;Acc:HGNC:4096]	6953	0.0015750967431813478	0.34363982	No	
row_37	SLIT2	slit guidance ligand 2 [Source:HGNC Symbol;Acc:HGNC:11086]	7379	-0.005199760664254427	0.31954515	No	
row_38	DDAH1	dimethylarginine dimethylaminohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:2715]	7545	-0.007812389172613621	0.3114025	No	
row_39	DAB2	DAB adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:2662]	7569	-0.008240197785198689	0.31176314	No	
row_40	TGFB2	transforming growth factor beta 2 [Source:HGNC Symbol;Acc:HGNC:11768]	8124	-0.017104264348745346	0.28251478	No	
row_41	DUT	deoxyuridine triphosphatase [Source:HGNC Symbol;Acc:HGNC:3078]	8157	-0.017542602494359016	0.28428778	No	
row_42	TNS1	tensin 1 [Source:HGNC Symbol;Acc:HGNC:11973]	8250	-0.018829120323061943	0.28277472	No	
row_43	CAVIN2	caveolae associated protein 2 [Source:HGNC Symbol;Acc:HGNC:10690]	8474	-0.02231181412935257	0.274228	No	
row_44	AMOTL2	angiomotin like 2 [Source:HGNC Symbol;Acc:HGNC:17812]	8969	-0.03072451613843441	0.25138348	No	
row_45	PDLIM2	PDZ and LIM domain 2 [Source:HGNC Symbol;Acc:HGNC:13992]	9065	-0.032294001430273056	0.25250885	No	
row_46	HEXB	hexosaminidase subunit beta [Source:HGNC Symbol;Acc:HGNC:4879]	9392	-0.03764504939317703	0.24106616	No	
row_47	TK1	thymidine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11830]	9453	-0.03885950520634651	0.24563853	No	
row_48	ETV5	ETS variant transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:3494]	9617	-0.041209619492292404	0.24459948	No	
row_49	SGK1	serum/glucocorticoid regulated kinase 1 [Source:HGNC Symbol;Acc:HGNC:10810]	10552	-0.05721805989742279	0.20122513	No	
row_50	GAS6	growth arrest specific 6 [Source:HGNC Symbol;Acc:HGNC:4168]	11077	-0.06577504426240921	0.18393391	No	
row_51	PHGDH	phosphoglycerate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:8923]	11086	-0.065943144261837	0.19725199	No	
row_52	AGFG2	ArfGAP with FG repeats 2 [Source:HGNC Symbol;Acc:HGNC:5177]	11944	-0.08055654913187027	0.16332135	No	
row_53	ANKRD1	ankyrin repeat domain 1 [Source:HGNC Symbol;Acc:HGNC:15819]	14185	-0.12474729865789413	0.056687426	No	
row_54	COL4A3	collagen type IV alpha 3 chain [Source:HGNC Symbol;Acc:HGNC:2204]	14800	-0.14080707728862762	0.04975656	No	
row_55	SH2D4A	SH2 domain containing 4A [Source:HGNC Symbol;Acc:HGNC:26102]	15945	-0.1821213662624359	0.020062957	No	
row_56	TNNT2	troponin T2, cardiac type [Source:HGNC Symbol;Acc:HGNC:11949]	15980	-0.18369019031524658	0.05646746	No	
