NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NT5E	5'-nucleotidase ecto [Source:HGNC Symbol;Acc:HGNC:8021]	2	0.3583298325538635	0.02646229	Yes	
row_1	BCAR3	BCAR3 adaptor protein, NSP family member [Source:HGNC Symbol;Acc:HGNC:973]	78	0.25081586837768555	0.040599648	Yes	
row_2	ZNF697	zinc finger protein 697 [Source:HGNC Symbol;Acc:HGNC:32034]	193	0.2204028069972992	0.050157283	Yes	
row_3	IL11	interleukin 11 [Source:HGNC Symbol;Acc:HGNC:5966]	206	0.21728692948818207	0.06556099	Yes	
row_4	FRMD6	FERM domain containing 6 [Source:HGNC Symbol;Acc:HGNC:19839]	271	0.20739924907684326	0.07713302	Yes	
row_5	PTGS2	prostaglandin-endoperoxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:9605]	275	0.2061385214328766	0.09224595	Yes	
row_6	DNTTIP2	deoxynucleotidyltransferase terminal interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:24013]	314	0.2015957087278366	0.10493656	Yes	
row_7	LRRC8A	leucine rich repeat containing 8 VRAC subunit A [Source:HGNC Symbol;Acc:HGNC:19027]	322	0.20068281888961792	0.119406454	Yes	
row_8	INHBA	inhibin subunit beta A [Source:HGNC Symbol;Acc:HGNC:6066]	346	0.1977204978466034	0.1327033	Yes	
row_9	DNAJA1	DnaJ heat shock protein family (Hsp40) member A1 [Source:HGNC Symbol;Acc:HGNC:5229]	372	0.19536665081977844	0.14570639	Yes	
row_10	SLC30A1	solute carrier family 30 member 1 [Source:HGNC Symbol;Acc:HGNC:11012]	503	0.182341530919075	0.15148729	Yes	
row_11	SEC24A	SEC24 homolog A, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10703]	524	0.18036381900310516	0.16367534	Yes	
row_12	NMD3	NMD3 ribosome export adaptor [Source:HGNC Symbol;Acc:HGNC:24250]	576	0.17559857666492462	0.1736629	Yes	
row_13	PTPN12	protein tyrosine phosphatase non-receptor type 12 [Source:HGNC Symbol;Acc:HGNC:9645]	636	0.1705555021762848	0.18279971	Yes	
row_14	STC1	stanniocalcin 1 [Source:HGNC Symbol;Acc:HGNC:11373]	763	0.16171403229236603	0.18728876	Yes	
row_15	ACTR3	actin related protein 3 [Source:HGNC Symbol;Acc:HGNC:170]	808	0.15891000628471375	0.1964554	Yes	
row_16	PTPN1	protein tyrosine phosphatase non-receptor type 1 [Source:HGNC Symbol;Acc:HGNC:9642]	819	0.1583624631166458	0.20760716	Yes	
row_17	ITPRIPL2	ITPRIP like 2 [Source:HGNC Symbol;Acc:HGNC:27257]	850	0.15664023160934448	0.21743955	Yes	
