NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ADAM19	ADAM metallopeptidase domain 19 [Source:HGNC Symbol;Acc:HGNC:197]	128	0.23797085881233215	0.012188606	No	
row_1	GABRB2	gamma-aminobutyric acid type A receptor subunit beta2 [Source:HGNC Symbol;Acc:HGNC:4082]	635	0.17062368988990784	-0.003744625	No	
row_2	ZNF185	zinc finger protein 185 with LIM domain [Source:HGNC Symbol;Acc:HGNC:12976]	775	0.1610008031129837	0.0013805252	No	
row_3	AK5	adenylate kinase 5 [Source:HGNC Symbol;Acc:HGNC:365]	880	0.15473945438861847	0.008069075	No	
row_4	ZSCAN12	zinc finger and SCAN domain containing 12 [Source:HGNC Symbol;Acc:HGNC:13172]	887	0.15437059104442596	0.02056407	No	
row_5	CLPB	ClpB family mitochondrial disaggregase [Source:HGNC Symbol;Acc:HGNC:30664]	1112	0.1415407955646515	0.019006208	No	
row_6	GRM5	glutamate metabotropic receptor 5 [Source:HGNC Symbol;Acc:HGNC:4597]	1345	0.13090844452381134	0.016086629	No	
row_7	USF2	upstream transcription factor 2, c-fos interacting [Source:HGNC Symbol;Acc:HGNC:12594]	1483	0.12564392387866974	0.018387211	No	
row_8	CD27	CD27 molecule [Source:HGNC Symbol;Acc:HGNC:11922]	1541	0.12349052727222443	0.025273534	No	
row_9	EPHB6	EPH receptor B6 [Source:HGNC Symbol;Acc:HGNC:3396]	1645	0.11979231238365173	0.029112067	No	
row_10	PRRG4	proline rich and Gla domain 4 [Source:HGNC Symbol;Acc:HGNC:30799]	1925	0.10956626385450363	0.021616159	No	
row_11	LGALS7	galectin 7 [Source:HGNC Symbol;Acc:HGNC:6568]	2215	0.10063543915748596	0.012781072	No	
row_12	EFS	embryonal Fyn-associated substrate [Source:HGNC Symbol;Acc:HGNC:16898]	2490	0.09229309111833572	0.0041448725	No	
row_13	CST2	cystatin SA [Source:HGNC Symbol;Acc:HGNC:2474]	2751	0.08550422638654709	-0.004222666	No	
row_14	GRIN2D	glutamate ionotropic receptor NMDA type subunit 2D [Source:HGNC Symbol;Acc:HGNC:4588]	2869	0.0820598378777504	-0.0043594907	No	
row_15	CRIP2	cysteine rich protein 2 [Source:HGNC Symbol;Acc:HGNC:2361]	2922	0.0808333083987236	-7.268499E-4	No	
row_16	CCN4	cellular communication network factor 4 [Source:HGNC Symbol;Acc:HGNC:12769]	3026	0.07806440442800522	-3.6244155E-4	No	
