NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ASPH	aspartate beta-hydroxylase [Source:HGNC Symbol;Acc:HGNC:757]	1	0.3612261712551117	0.01873497	Yes	
row_1	GRAMD2B	GRAM domain containing 2B [Source:HGNC Symbol;Acc:HGNC:24911]	21	0.28782355785369873	0.032575637	Yes	
row_2	SNAPC1	small nuclear RNA activating complex polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:11134]	25	0.28166553378105164	0.047051586	Yes	
row_3	SEPTIN10	septin 10 [Source:HGNC Symbol;Acc:HGNC:14349]	106	0.24294665455818176	0.054913767	Yes	
row_4	AGO2	argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]	156	0.22929567098617554	0.06391731	Yes	
row_5	LOXL2	lysyl oxidase like 2 [Source:HGNC Symbol;Acc:HGNC:6666]	242	0.2117413431406021	0.069857225	Yes	
row_6	HK2	hexokinase 2 [Source:HGNC Symbol;Acc:HGNC:4923]	262	0.20852766931056976	0.079572104	Yes	
row_7	FNDC3B	fibronectin type III domain containing 3B [Source:HGNC Symbol;Acc:HGNC:24670]	276	0.20606552064418793	0.08951726	Yes	
row_8	SEC23A	SEC23 homolog A, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10701]	304	0.2025996297597885	0.09844586	Yes	
row_9	INHBA	inhibin subunit beta A [Source:HGNC Symbol;Acc:HGNC:6066]	346	0.1977204978466034	0.10628439	Yes	
row_10	PIGA	phosphatidylinositol glycan anchor biosynthesis class A [Source:HGNC Symbol;Acc:HGNC:8957]	348	0.19751252233982086	0.11650129	Yes	
row_11	TNFAIP8	TNF alpha induced protein 8 [Source:HGNC Symbol;Acc:HGNC:17260]	351	0.19719764590263367	0.12664208	Yes	
row_12	ERO1A	endoplasmic reticulum oxidoreductase 1 alpha [Source:HGNC Symbol;Acc:HGNC:13280]	353	0.19706961512565613	0.13683593	Yes	
row_13	ITGB6	integrin subunit beta 6 [Source:HGNC Symbol;Acc:HGNC:6161]	390	0.19330723583698273	0.14474349	Yes	
row_14	GCLM	glutamate-cysteine ligase modifier subunit [Source:HGNC Symbol;Acc:HGNC:4312]	435	0.18888716399669647	0.1519432	Yes	
row_15	SOWAHC	sosondowah ankyrin repeat domain family member C [Source:HGNC Symbol;Acc:HGNC:26149]	443	0.18816660344600677	0.16131547	Yes	
row_16	ZNF281	zinc finger protein 281 [Source:HGNC Symbol;Acc:HGNC:13075]	450	0.18719704449176788	0.170697	Yes	
row_17	RGS16	regulator of G protein signaling 16 [Source:HGNC Symbol;Acc:HGNC:9997]	525	0.18032203614711761	0.17565918	Yes	
row_18	KTN1	kinectin 1 [Source:HGNC Symbol;Acc:HGNC:6467]	548	0.177683025598526	0.18359002	Yes	
row_19	MAP3K5	mitogen-activated protein kinase kinase kinase 5 [Source:HGNC Symbol;Acc:HGNC:6857]	620	0.17174315452575684	0.18828504	Yes	
row_20	MPZL2	myelin protein zero like 2 [Source:HGNC Symbol;Acc:HGNC:3496]	630	0.17091907560825348	0.19664043	Yes	
row_21	WNT5A	Wnt family member 5A [Source:HGNC Symbol;Acc:HGNC:12784]	704	0.16601772606372833	0.2009181	Yes	
row_22	CTNNAL1	catenin alpha like 1 [Source:HGNC Symbol;Acc:HGNC:2512]	720	0.16477198898792267	0.20859528	Yes	
row_23	CCN1	cellular communication network factor 1 [Source:HGNC Symbol;Acc:HGNC:2654]	725	0.16455428302288055	0.21691816	Yes	
row_24	ARAP2	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2 [Source:HGNC Symbol;Acc:HGNC:16924]	776	0.16088451445102692	0.22230253	Yes	
row_25	ADM	adrenomedullin [Source:HGNC Symbol;Acc:HGNC:259]	830	0.1576239913702011	0.22733805	Yes	
row_26	MALL	mal, T cell differentiation protein like [Source:HGNC Symbol;Acc:HGNC:6818]	915	0.1531267911195755	0.23028795	Yes	
row_27	SDCBP	syndecan binding protein [Source:HGNC Symbol;Acc:HGNC:10662]	942	0.15173324942588806	0.2366297	Yes	
row_28	SCCPDH	saccharopine dehydrogenase (putative) [Source:HGNC Symbol;Acc:HGNC:24275]	944	0.15169595181941986	0.24446276	Yes	
row_29	COL5A2	collagen type V alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2210]	1018	0.14727814495563507	0.24776538	Yes	
row_30	ITGA3	integrin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6139]	1022	0.14697350561618805	0.25523326	Yes	
row_31	HSPA2	heat shock protein family A (Hsp70) member 2 [Source:HGNC Symbol;Acc:HGNC:5235]	1079	0.14368318021297455	0.25936425	Yes	
row_32	TAF1A	TATA-box binding protein associated factor, RNA polymerase I subunit A [Source:HGNC Symbol;Acc:HGNC:11532]	1105	0.14206689596176147	0.26526278	Yes	
row_33	RAB27A	RAB27A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9766]	1204	0.137244313955307	0.26655012	Yes	
row_34	KRT81	keratin 81 [Source:HGNC Symbol;Acc:HGNC:6458]	1241	0.13531272113323212	0.27144018	Yes	
row_35	KLF4	KLF transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:6348]	1250	0.134873628616333	0.27797985	Yes	
row_36	CEMIP	cell migration inducing hyaluronidase 1 [Source:HGNC Symbol;Acc:HGNC:29213]	1255	0.1346593052148819	0.2847473	Yes	
row_37	ARID5B	AT-rich interaction domain 5B [Source:HGNC Symbol;Acc:HGNC:17362]	1322	0.13147293031215668	0.2876457	Yes	
row_38	EXT1	exostosin glycosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:3512]	1392	0.12918780744075775	0.290246	Yes	
row_39	IMPA1	inositol monophosphatase 1 [Source:HGNC Symbol;Acc:HGNC:6050]	1505	0.1247081607580185	0.29004484	Yes	
row_40	MBNL2	muscleblind like splicing regulator 2 [Source:HGNC Symbol;Acc:HGNC:16746]	1510	0.12457858771085739	0.29628778	Yes	
row_41	HIVEP2	HIVEP zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:4921]	1532	0.12360627949237823	0.3014647	Yes	
row_42	CARMIL1	capping protein regulator and myosin 1 linker 1 [Source:HGNC Symbol;Acc:HGNC:21581]	1540	0.12349452823400497	0.30747205	Yes	
row_43	SLC9A6	solute carrier family 9 member A6 [Source:HGNC Symbol;Acc:HGNC:11079]	1594	0.12146331369876862	0.31062615	Yes	
