NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CAV1	caveolin 1 [Source:HGNC Symbol;Acc:HGNC:1527]	17	0.2944710850715637	0.019103488	Yes	
row_1	EMP1	epithelial membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:3333]	62	0.2585436999797821	0.03414336	Yes	
row_2	AXL	AXL receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:905]	171	0.22556553781032562	0.04311581	Yes	
row_3	BAG5	BAG cochaperone 5 [Source:HGNC Symbol;Acc:HGNC:941]	184	0.2214672565460205	0.057530068	Yes	
row_4	PLAU	plasminogen activator, urokinase [Source:HGNC Symbol;Acc:HGNC:9052]	189	0.22107189893722534	0.07239413	Yes	
row_5	LAMC2	laminin subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:6493]	241	0.2119702398777008	0.08383513	Yes	
row_6	S100A4	S100 calcium binding protein A4 [Source:HGNC Symbol;Acc:HGNC:10494]	254	0.21022075414657593	0.097481094	Yes	
row_7	LOX	lysyl oxidase [Source:HGNC Symbol;Acc:HGNC:6664]	255	0.21002669632434845	0.11182901	Yes	
row_8	TM4SF1	transmembrane 4 L six family member 1 [Source:HGNC Symbol;Acc:HGNC:11853]	274	0.20614658296108246	0.12483903	Yes	
row_9	INHBA	inhibin subunit beta A [Source:HGNC Symbol;Acc:HGNC:6066]	346	0.1977204978466034	0.13411453	Yes	
row_10	AHNAK	AHNAK nucleoprotein [Source:HGNC Symbol;Acc:HGNC:347]	377	0.1950693428516388	0.14565259	Yes	
row_11	ANXA1	annexin A1 [Source:HGNC Symbol;Acc:HGNC:533]	409	0.19120067358016968	0.15686676	Yes	
row_12	CD44	CD44 molecule (IN blood group) [Source:HGNC Symbol;Acc:HGNC:1681]	410	0.19119711220264435	0.16992834	Yes	
row_13	ZFP36L1	ZFP36 ring finger protein like 1 [Source:HGNC Symbol;Acc:HGNC:1107]	505	0.18207846581935883	0.17676441	Yes	
row_14	TIMP2	TIMP metallopeptidase inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:11821]	651	0.16947975754737854	0.1797001	Yes	
