NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ITGB5	integrin subunit beta 5 [Source:HGNC Symbol;Acc:HGNC:6160]	79	0.25011181831359863	0.012453817	Yes	
row_1	HILPDA	hypoxia inducible lipid droplet associated [Source:HGNC Symbol;Acc:HGNC:28859]	151	0.23002375662326813	0.024006208	Yes	
row_2	HSPA6	heat shock protein family A (Hsp70) member 6 [Source:HGNC Symbol;Acc:HGNC:5239]	155	0.2296767383813858	0.039594963	Yes	
row_3	AGO2	argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]	156	0.22929567098617554	0.05533668	Yes	
row_4	EPS8	EGFR pathway substrate 8, signaling adaptor [Source:HGNC Symbol;Acc:HGNC:3420]	294	0.20441558957099915	0.06119024	Yes	
row_5	CPNE3	copine 3 [Source:HGNC Symbol;Acc:HGNC:2316]	323	0.20068033039569855	0.0732956	Yes	
row_6	ERO1A	endoplasmic reticulum oxidoreductase 1 alpha [Source:HGNC Symbol;Acc:HGNC:13280]	353	0.19706961512565613	0.08509337	Yes	
row_7	NDC1	NDC1 transmembrane nucleoporin [Source:HGNC Symbol;Acc:HGNC:25525]	469	0.18568198382854462	0.090974405	Yes	
row_8	RGS16	regulator of G protein signaling 16 [Source:HGNC Symbol;Acc:HGNC:9997]	525	0.18032203614711761	0.10006999	Yes	
row_9	CCNK	cyclin K [Source:HGNC Symbol;Acc:HGNC:1596]	539	0.17921245098114014	0.11159716	Yes	
row_10	TES	testin LIM domain protein [Source:HGNC Symbol;Acc:HGNC:14620]	660	0.1687236875295639	0.11601543	Yes	
row_11	RAB33A	RAB33A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9773]	661	0.16865648329257965	0.12759411	Yes	
row_12	PDK1	pyruvate dehydrogenase kinase 1 [Source:HGNC Symbol;Acc:HGNC:8809]	692	0.16658951342105865	0.13723963	Yes	
row_13	LMAN1	lectin, mannose binding 1 [Source:HGNC Symbol;Acc:HGNC:6631]	765	0.1615283042192459	0.14402995	Yes	
row_14	ADM	adrenomedullin [Source:HGNC Symbol;Acc:HGNC:259]	830	0.1576239913702011	0.15102987	Yes	
row_15	ALDOC	aldolase, fructose-bisphosphate C [Source:HGNC Symbol;Acc:HGNC:418]	872	0.15506935119628906	0.15922771	Yes	
