NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ANXA2P1	annexin A2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:538]	295	0.20431454479694366	4.901612E-4	No	
row_1	PCDHB12	protocadherin beta 12 [Source:HGNC Symbol;Acc:HGNC:8683]	977	0.14944235980510712	-0.026856614	No	
row_2	CDH11	cadherin 11 [Source:HGNC Symbol;Acc:HGNC:1750]	1225	0.1359001249074936	-0.029554661	No	
row_3	GRM5	glutamate metabotropic receptor 5 [Source:HGNC Symbol;Acc:HGNC:4597]	1345	0.13090844452381134	-0.025071213	No	
row_4	PCDHGA9	protocadherin gamma subfamily A, 9 [Source:HGNC Symbol;Acc:HGNC:8707]	1404	0.12871304154396057	-0.01714912	No	
row_5	NDST3	N-deacetylase and N-sulfotransferase 3 [Source:HGNC Symbol;Acc:HGNC:7682]	1487	0.12531040608882904	-0.010957017	No	
row_6	SEMA5A	semaphorin 5A [Source:HGNC Symbol;Acc:HGNC:10736]	1578	0.12210945039987564	-0.005524242	No	
row_7	GJB3	gap junction protein beta 3 [Source:HGNC Symbol;Acc:HGNC:4285]	1729	0.1166059747338295	-0.004151014	No	
row_8	COL6A3	collagen type VI alpha 3 chain [Source:HGNC Symbol;Acc:HGNC:2213]	1777	0.11493530869483948	0.0032084277	No	
row_9	CSPG4	chondroitin sulfate proteoglycan 4 [Source:HGNC Symbol;Acc:HGNC:2466]	1821	0.11367698758840561	0.010694863	No	
row_10	CCL21	C-C motif chemokine ligand 21 [Source:HGNC Symbol;Acc:HGNC:10620]	2261	0.09905070811510086	-0.0066940826	No	
row_11	H1-3	H1.3 linker histone, cluster member [Source:HGNC Symbol;Acc:HGNC:4717]	2483	0.09244884550571442	-0.011684152	No	
row_12	RBP4	retinol binding protein 4 [Source:HGNC Symbol;Acc:HGNC:9922]	2613	0.08901064842939377	-0.011499302	No	
row_13	PCDHA9	protocadherin alpha 9 [Source:HGNC Symbol;Acc:HGNC:8675]	2684	0.08735453337430954	-0.0079472475	No	
row_14	ZFHX4	zinc finger homeobox 4 [Source:HGNC Symbol;Acc:HGNC:30939]	2761	0.08517935872077942	-0.0049447566	No	
row_15	KISS1	KiSS-1 metastasis suppressor [Source:HGNC Symbol;Acc:HGNC:6341]	2843	0.08273176103830338	-0.0024563533	No	
row_16	GPRASP3	G protein-coupled receptor associated sorting protein family member 3 [Source:HGNC Symbol;Acc:HGNC:29353]	3084	0.07670971006155014	-0.009968995	No	
row_17	ZEB1	zinc finger E-box binding homeobox 1 [Source:HGNC Symbol;Acc:HGNC:11642]	3212	0.07388563454151154	-0.011001844	No	
row_18	ATP8B3	ATPase phospholipid transporting 8B3 [Source:HGNC Symbol;Acc:HGNC:13535]	3520	0.06680336594581604	-0.02338004	No	
row_19	ZNF236	zinc finger protein 236 [Source:HGNC Symbol;Acc:HGNC:13028]	3982	0.05641021206974983	-0.04584785	No	
row_20	TSPYL5	TSPY like 5 [Source:HGNC Symbol;Acc:HGNC:29367]	4142	0.05292823165655136	-0.05063866	No	
row_21	DNAAF11	dynein axonemal assembly factor 11 [Source:HGNC Symbol;Acc:HGNC:16725]	4215	0.05195128545165062	-0.050334774	No	
row_22	LAMA1	laminin subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:6481]	4342	0.049294691532850266	-0.053481508	No	
row_23	PXDC1	PX domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21361]	4453	0.047586411237716675	-0.05582639	No	
row_24	HSPA12A	heat shock protein family A (Hsp70) member 12A [Source:HGNC Symbol;Acc:HGNC:19022]	4526	0.046050578355789185	-0.05604403	No	
row_25	SOX17	SRY-box transcription factor 17 [Source:HGNC Symbol;Acc:HGNC:18122]	4679	0.04289526864886284	-0.061304722	No	
row_26	FOXD1	forkhead box D1 [Source:HGNC Symbol;Acc:HGNC:3802]	4745	0.04147869721055031	-0.06150958	No	
row_27	ACTA2	actin alpha 2, smooth muscle [Source:HGNC Symbol;Acc:HGNC:130]	4790	0.04060547053813934	-0.060541015	No	
row_28	EPHA3	EPH receptor A3 [Source:HGNC Symbol;Acc:HGNC:3387]	4946	0.03766602650284767	-0.06644254	No	
row_29	FBXO4	F-box protein 4 [Source:HGNC Symbol;Acc:HGNC:13583]	5226	0.032389745116233826	-0.080194876	No	
row_30	CD8B	CD8 subunit beta [Source:HGNC Symbol;Acc:HGNC:1707]	5315	0.030682232230901718	-0.08272366	No	
row_31	ALPL	alkaline phosphatase, biomineralization associated [Source:HGNC Symbol;Acc:HGNC:438]	5421	0.028796186670660973	-0.08643153	No	
row_32	PTPRO	protein tyrosine phosphatase receptor type O [Source:HGNC Symbol;Acc:HGNC:9678]	5525	0.026707762852311134	-0.09020488	No	
row_33	KLF13	KLF transcription factor 13 [Source:HGNC Symbol;Acc:HGNC:13672]	5640	0.024779530242085457	-0.09480372	No	
row_34	CLCNKB	chloride voltage-gated channel Kb [Source:HGNC Symbol;Acc:HGNC:2027]	5779	0.021922826766967773	-0.1010843	No	
row_35	NAV2	neuron navigator 2 [Source:HGNC Symbol;Acc:HGNC:15997]	5785	0.021807419136166573	-0.09945464	No	
