NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ZNF134	zinc finger protein 134 [Source:HGNC Symbol;Acc:HGNC:12918]	18	0.2937301993370056	0.025811384	No	
row_1	KMT2A	lysine methyltransferase 2A [Source:HGNC Symbol;Acc:HGNC:7132]	318	0.2010679394006729	0.026432168	No	
row_2	DTNB	dystrobrevin beta [Source:HGNC Symbol;Acc:HGNC:3058]	367	0.1959628015756607	0.041511994	No	
row_3	APC2	APC regulator of WNT signaling pathway 2 [Source:HGNC Symbol;Acc:HGNC:24036]	838	0.15727946162223816	0.027956428	No	
row_4	ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5 [Source:HGNC Symbol;Acc:HGNC:221]	971	0.14992114901542664	0.033827346	No	
row_5	EPYC	epiphycan [Source:HGNC Symbol;Acc:HGNC:3053]	972	0.14991387724876404	0.047547262	No	
row_6	MMP13	matrix metallopeptidase 13 [Source:HGNC Symbol;Acc:HGNC:7159]	1183	0.13841670751571655	0.047726866	No	
row_7	USP53	ubiquitin specific peptidase 53 [Source:HGNC Symbol;Acc:HGNC:29255]	1464	0.1266418695449829	0.04266615	No	
row_8	CBL	Cbl proto-oncogene [Source:HGNC Symbol;Acc:HGNC:1541]	1643	0.11984816193580627	0.043049335	No	
row_9	SHANK1	SH3 and multiple ankyrin repeat domains 1 [Source:HGNC Symbol;Acc:HGNC:15474]	2328	0.09709995239973068	0.011260247	No	
row_10	MC2R	melanocortin 2 receptor [Source:HGNC Symbol;Acc:HGNC:6930]	2593	0.08948880434036255	0.0037508085	No	
row_11	PDCD1	programmed cell death 1 [Source:HGNC Symbol;Acc:HGNC:8760]	2854	0.08237431198358536	-0.00417187	No	
row_12	PTPRH	protein tyrosine phosphatase receptor type H [Source:HGNC Symbol;Acc:HGNC:9672]	2935	0.08060924708843231	-0.0015519939	No	
row_13	RPA4	replication protein A4 [Source:HGNC Symbol;Acc:HGNC:30305]	3040	0.07780631631612778	-6.158505E-4	No	
row_14	H2BC11	H2B clustered histone 11 [Source:HGNC Symbol;Acc:HGNC:4761]	3140	0.07554683834314346	4.1084448E-4	No	
row_15	KCNN1	potassium calcium-activated channel subfamily N member 1 [Source:HGNC Symbol;Acc:HGNC:6290]	3453	0.06818058341741562	-0.011903118	No	
row_16	GP1BA	glycoprotein Ib platelet subunit alpha [Source:HGNC Symbol;Acc:HGNC:4439]	3747	0.061506882309913635	-0.023697972	No	
row_17	ENPP1	ectonucleotide pyrophosphatase/phosphodiesterase 1 [Source:HGNC Symbol;Acc:HGNC:3356]	4090	0.054015547037124634	-0.039092317	No	
row_18	FGL2	fibrinogen like 2 [Source:HGNC Symbol;Acc:HGNC:3696]	4243	0.05118934437632561	-0.043446545	No	
row_19	PYHIN1	pyrin and HIN domain family member 1 [Source:HGNC Symbol;Acc:HGNC:28894]	4327	0.04954834282398224	-0.043847725	No	
row_20	CCN5	cellular communication network factor 5 [Source:HGNC Symbol;Acc:HGNC:12770]	4496	0.046703509986400604	-0.049563967	No	
row_21	KREMEN2	kringle containing transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:18797]	4665	0.04323931038379669	-0.05559725	No	
row_22	CD34	CD34 molecule [Source:HGNC Symbol;Acc:HGNC:1662]	4757	0.04119707643985748	-0.05723846	No	
row_23	HTR1D	5-hydroxytryptamine receptor 1D [Source:HGNC Symbol;Acc:HGNC:5289]	4842	0.03977217897772789	-0.058593806	No	
row_24	GVINP1	GTPase, very large interferon inducible pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:25813]	5156	0.03357015177607536	-0.07413474	No	
row_25	FCGR2B	Fc gamma receptor IIb [Source:HGNC Symbol;Acc:HGNC:3618]	5163	0.03345983102917671	-0.07142934	No	
row_26	ZNF480	zinc finger protein 480 [Source:HGNC Symbol;Acc:HGNC:23305]	5225	0.03245443105697632	-0.072086655	No	
