NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TDRD1	tudor domain containing 1 [Source:HGNC Symbol;Acc:HGNC:11712]	54	0.2617826461791992	0.02359136	No	
row_1	HSPA6	heat shock protein family A (Hsp70) member 6 [Source:HGNC Symbol;Acc:HGNC:5239]	155	0.2296767383813858	0.04116212	No	
row_2	ATG10	autophagy related 10 [Source:HGNC Symbol;Acc:HGNC:20315]	407	0.19131909310817719	0.045832265	No	
row_3	RAB30	RAB30, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9770]	766	0.16144293546676636	0.041084956	No	
row_4	NGF	nerve growth factor [Source:HGNC Symbol;Acc:HGNC:7808]	1609	0.1211257129907608	0.0034467988	No	
row_5	UGT1A10	UDP glucuronosyltransferase family 1 member A10 [Source:HGNC Symbol;Acc:HGNC:12531]	1635	0.12016618251800537	0.01426333	No	
row_6	CLEC5A	C-type lectin domain containing 5A [Source:HGNC Symbol;Acc:HGNC:2054]	1901	0.11029326915740967	0.009806311	No	
row_7	ST8SIA2	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:10870]	2146	0.10288617014884949	0.0058389693	No	
row_8	F13A1	coagulation factor XIII A chain [Source:HGNC Symbol;Acc:HGNC:3531]	2512	0.09166958928108215	-0.006467514	No	
row_9	SLC6A6	solute carrier family 6 member 6 [Source:HGNC Symbol;Acc:HGNC:11052]	2861	0.08227179944515228	-0.018725833	No	
row_10	CD3E	CD3 epsilon subunit of T-cell receptor complex [Source:HGNC Symbol;Acc:HGNC:1674]	2909	0.08124186843633652	-0.013201674	No	
row_11	FAM30A	family with sequence similarity 30 member A [Source:HGNC Symbol;Acc:HGNC:19955]	2932	0.08062279969453812	-0.0062551866	No	
row_12	CD247	CD247 molecule [Source:HGNC Symbol;Acc:HGNC:1677]	3309	0.07157895714044571	-0.021272197	No	
row_13	LPL	lipoprotein lipase [Source:HGNC Symbol;Acc:HGNC:6677]	3491	0.06734823435544968	-0.025133818	No	
row_14	C8B	complement C8 beta chain [Source:HGNC Symbol;Acc:HGNC:1353]	3835	0.05958916246891022	-0.039417174	No	
row_15	FCRL2	Fc receptor like 2 [Source:HGNC Symbol;Acc:HGNC:14875]	3868	0.0588170550763607	-0.03529737	No	
row_16	PIWIL1	piwi like RNA-mediated gene silencing 1 [Source:HGNC Symbol;Acc:HGNC:9007]	3913	0.05785708129405975	-0.03198899	No	
row_17	REST	RE1 silencing transcription factor [Source:HGNC Symbol;Acc:HGNC:9966]	3935	0.05745016410946846	-0.027355416	No	
row_18	HSF1	heat shock transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:5224]	4925	0.038022495806217194	-0.082237385	No	
row_19	FGF7	fibroblast growth factor 7 [Source:HGNC Symbol;Acc:HGNC:3685]	5020	0.03630318120121956	-0.084107034	No	
