NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ASPH	aspartate beta-hydroxylase [Source:HGNC Symbol;Acc:HGNC:757]	1	0.3612261712551117	0.019621626	Yes	
row_1	TSPAN5	tetraspanin 5 [Source:HGNC Symbol;Acc:HGNC:17753]	8	0.3113679587841034	0.0362281	Yes	
row_2	SMYD3	SET and MYND domain containing 3 [Source:HGNC Symbol;Acc:HGNC:15513]	28	0.2766742408275604	0.05016785	Yes	
row_3	ALDH7A1	aldehyde dehydrogenase 7 family member A1 [Source:HGNC Symbol;Acc:HGNC:877]	86	0.24837352335453033	0.060296036	Yes	
row_4	CCNG2	cyclin G2 [Source:HGNC Symbol;Acc:HGNC:1593]	94	0.24597948789596558	0.0732801	Yes	
row_5	UBE2W	ubiquitin conjugating enzyme E2 W [Source:HGNC Symbol;Acc:HGNC:25616]	104	0.24353376030921936	0.08601147	Yes	
row_6	HS3ST3A1	heparan sulfate-glucosamine 3-sulfotransferase 3A1 [Source:HGNC Symbol;Acc:HGNC:5196]	135	0.2351565659046173	0.097032145	Yes	
row_7	PLAU	plasminogen activator, urokinase [Source:HGNC Symbol;Acc:HGNC:9052]	189	0.22107189893722534	0.10591171	Yes	
row_8	PLAT	plasminogen activator, tissue type [Source:HGNC Symbol;Acc:HGNC:9051]	234	0.21353217959403992	0.114918016	Yes	
row_9	LOXL2	lysyl oxidase like 2 [Source:HGNC Symbol;Acc:HGNC:6666]	242	0.2117413431406021	0.12603663	Yes	
row_10	TM4SF1	transmembrane 4 L six family member 1 [Source:HGNC Symbol;Acc:HGNC:11853]	274	0.20614658296108246	0.13541697	Yes	
row_11	VCAN	versican [Source:HGNC Symbol;Acc:HGNC:2464]	290	0.20473268628120422	0.1456759	Yes	
row_12	INPP4B	inositol polyphosphate-4-phosphatase type II B [Source:HGNC Symbol;Acc:HGNC:6075]	308	0.20229506492614746	0.15568256	Yes	
row_13	EMP3	epithelial membrane protein 3 (MAM blood group) [Source:HGNC Symbol;Acc:HGNC:3335]	337	0.1987001895904541	0.16483638	Yes	
row_14	RRAD	RRAD, Ras related glycolysis inhibitor and calcium channel regulator [Source:HGNC Symbol;Acc:HGNC:10446]	338	0.19852198660373688	0.17565282	Yes	
row_15	INHBA	inhibin subunit beta A [Source:HGNC Symbol;Acc:HGNC:6066]	346	0.1977204978466034	0.1860075	Yes	
row_16	CDA	cytidine deaminase [Source:HGNC Symbol;Acc:HGNC:1712]	356	0.19671258330345154	0.19618782	Yes	
row_17	DNASE1L1	deoxyribonuclease 1 like 1 [Source:HGNC Symbol;Acc:HGNC:2957]	386	0.19375638663768768	0.20501253	Yes	
row_18	GNE	glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase [Source:HGNC Symbol;Acc:HGNC:23657]	456	0.18675339221954346	0.21106665	Yes	
row_19	DPYD	dihydropyrimidine dehydrogenase [Source:HGNC Symbol;Acc:HGNC:3012]	538	0.17921532690525055	0.21599331	Yes	
row_20	STEAP1	STEAP family member 1 [Source:HGNC Symbol;Acc:HGNC:11378]	602	0.1734171211719513	0.22167915	Yes	
row_21	PXDN	peroxidasin [Source:HGNC Symbol;Acc:HGNC:14966]	673	0.16775630414485931	0.22663848	Yes	
row_22	VEGFC	vascular endothelial growth factor C [Source:HGNC Symbol;Acc:HGNC:12682]	788	0.16014263033866882	0.22855501	Yes	
row_23	ALDOC	aldolase, fructose-bisphosphate C [Source:HGNC Symbol;Acc:HGNC:418]	872	0.15506935119628906	0.23204665	Yes	
row_24	TMEM158	transmembrane protein 158 [Source:HGNC Symbol;Acc:HGNC:30293]	992	0.14873448014259338	0.23304297	Yes	
row_25	FLRT3	fibronectin leucine rich transmembrane protein 3 [Source:HGNC Symbol;Acc:HGNC:3762]	1045	0.14579838514328003	0.237881	Yes	
row_26	RAC2	Rac family small GTPase 2 [Source:HGNC Symbol;Acc:HGNC:9802]	1050	0.14538556337356567	0.2455634	Yes	
row_27	HSPA2	heat shock protein family A (Hsp70) member 2 [Source:HGNC Symbol;Acc:HGNC:5235]	1079	0.14368318021297455	0.25171962	Yes	
row_28	CLPB	ClpB family mitochondrial disaggregase [Source:HGNC Symbol;Acc:HGNC:30664]	1112	0.1415407955646515	0.2575202	Yes	
row_29	PTPRG	protein tyrosine phosphatase receptor type G [Source:HGNC Symbol;Acc:HGNC:9671]	1282	0.1333811730146408	0.2546937	Yes	
row_30	BBS9	Bardet-Biedl syndrome 9 [Source:HGNC Symbol;Acc:HGNC:30000]	1294	0.13273398578166962	0.26126868	Yes	
row_31	DKK1	dickkopf WNT signaling pathway inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:2891]	1297	0.13253715634346008	0.2683705	Yes	
row_32	PELI1	pellino E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:8827]	1519	0.12423744052648544	0.26194	Yes	
row_33	DLGAP5	DLG associated protein 5 [Source:HGNC Symbol;Acc:HGNC:16864]	1642	0.11994325369596481	0.26118848	Yes	
row_34	TIMP4	TIMP metallopeptidase inhibitor 4 [Source:HGNC Symbol;Acc:HGNC:11823]	1652	0.1193256825208664	0.26715237	Yes	
row_35	SMARCA1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1 [Source:HGNC Symbol;Acc:HGNC:11097]	1692	0.11790962517261505	0.27124733	Yes	
row_36	SEC24D	SEC24 homolog D, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10706]	1721	0.1167607381939888	0.2759367	Yes	
row_37	COL6A3	collagen type VI alpha 3 chain [Source:HGNC Symbol;Acc:HGNC:2213]	1777	0.11493530869483948	0.27891397	Yes	
row_38	FAM168A	family with sequence similarity 168 member A [Source:HGNC Symbol;Acc:HGNC:28999]	1780	0.11489222943782806	0.2850544	Yes	
row_39	ZNF654	zinc finger protein 654 [Source:HGNC Symbol;Acc:HGNC:25612]	1868	0.11171160638332367	0.2859448	Yes	
row_40	MPI	mannose phosphate isomerase [Source:HGNC Symbol;Acc:HGNC:7216]	1883	0.1110406145453453	0.29115865	Yes	
row_41	GSTT2	glutathione S-transferase theta 2 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:4642]	2033	0.10640323162078857	0.28805676	Yes	
row_42	SLC2A10	solute carrier family 2 member 10 [Source:HGNC Symbol;Acc:HGNC:13444]	2057	0.10563242435455322	0.29243842	Yes	
row_43	SERPINE1	serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583]	2193	0.10132179409265518	0.28989586	Yes	
row_44	CORO1A	coronin 1A [Source:HGNC Symbol;Acc:HGNC:2252]	2207	0.1009339690208435	0.2946188	Yes	
row_45	STK4	serine/threonine kinase 4 [Source:HGNC Symbol;Acc:HGNC:11408]	2349	0.0965326800942421	0.2914569	Yes	
row_46	INPP5F	inositol polyphosphate-5-phosphatase F [Source:HGNC Symbol;Acc:HGNC:17054]	2393	0.09528964012861252	0.29408053	Yes	
row_47	CDKN2B	cyclin dependent kinase inhibitor 2B [Source:HGNC Symbol;Acc:HGNC:1788]	2496	0.09216278791427612	0.2930099	Yes	
row_48	CALHM2	calcium homeostasis modulator family member 2 [Source:HGNC Symbol;Acc:HGNC:23493]	2499	0.09210312366485596	0.29790866	Yes	
row_49	CRYZ	crystallin zeta [Source:HGNC Symbol;Acc:HGNC:2419]	2753	0.08536950498819351	0.2874492	Yes	
row_50	GLMN	glomulin, FKBP associated protein [Source:HGNC Symbol;Acc:HGNC:14373]	2760	0.08519775420427322	0.29173285	Yes	
row_51	BMPR2	bone morphogenetic protein receptor type 2 [Source:HGNC Symbol;Acc:HGNC:1078]	2808	0.08378438651561737	0.29349068	Yes	
row_52	ELK3	ETS transcription factor ELK3 [Source:HGNC Symbol;Acc:HGNC:3325]	2817	0.08330844342708588	0.29755193	Yes	
row_53	MTAP	methylthioadenosine phosphorylase [Source:HGNC Symbol;Acc:HGNC:7413]	2969	0.07975761592388153	0.2928788	Yes	
row_54	CSF3	colony stimulating factor 3 [Source:HGNC Symbol;Acc:HGNC:2438]	2972	0.07966889441013336	0.2971001	Yes	
row_55	SRPX	sushi repeat containing protein X-linked [Source:HGNC Symbol;Acc:HGNC:11309]	3058	0.07737606763839722	0.29623917	Yes	
row_56	GREM1	gremlin 1, DAN family BMP antagonist [Source:HGNC Symbol;Acc:HGNC:2001]	3120	0.07588140666484833	0.29673025	Yes	
row_57	SRGN	serglycin [Source:HGNC Symbol;Acc:HGNC:9361]	3154	0.0753832757472992	0.29886654	Yes	
row_58	G6PD	glucose-6-phosphate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4057]	3348	0.07056267559528351	0.29118392	No	
row_59	BEX4	brain expressed X-linked 4 [Source:HGNC Symbol;Acc:HGNC:25475]	3561	0.0658021867275238	0.28210714	No	
row_60	CCL20	C-C motif chemokine ligand 20 [Source:HGNC Symbol;Acc:HGNC:10619]	3566	0.06563562899827957	0.28544438	No	
