NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PHAX	phosphorylated adaptor for RNA export [Source:HGNC Symbol;Acc:HGNC:10241]	72	0.2529357671737671	0.012724463	No	
row_1	HSPA1A	heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]	177	0.2229301929473877	0.021520354	No	
row_2	PPP1R3C	protein phosphatase 1 regulatory subunit 3C [Source:HGNC Symbol;Acc:HGNC:9293]	683	0.1672007441520691	0.0026386362	No	
row_3	SLC44A1	solute carrier family 44 member 1 [Source:HGNC Symbol;Acc:HGNC:18798]	839	0.1572009027004242	0.003968305	No	
row_4	CCDC134	coiled-coil domain containing 134 [Source:HGNC Symbol;Acc:HGNC:26185]	1048	0.14552655816078186	0.0013498978	No	
row_5	HLA-DQB1	major histocompatibility complex, class II, DQ beta 1 [Source:HGNC Symbol;Acc:HGNC:4944]	1143	0.14007380604743958	0.005166878	No	
row_6	ACKR3	atypical chemokine receptor 3 [Source:HGNC Symbol;Acc:HGNC:23692]	1148	0.1399502158164978	0.01434579	No	
row_7	LTBP1	latent transforming growth factor beta binding protein 1 [Source:HGNC Symbol;Acc:HGNC:6714]	1268	0.13417144119739532	0.016273849	No	
row_8	PTGIS	prostaglandin I2 synthase [Source:HGNC Symbol;Acc:HGNC:9603]	1581	0.12194451689720154	0.005862929	No	
row_9	CSGALNACT2	chondroitin sulfate N-acetylgalactosaminyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:24292]	1793	0.11450587958097458	9.780577E-4	No	
row_10	PDE6G	phosphodiesterase 6G [Source:HGNC Symbol;Acc:HGNC:8789]	1962	0.10855408012866974	-0.0017415392	No	
row_11	OSMR	oncostatin M receptor [Source:HGNC Symbol;Acc:HGNC:8507]	2024	0.10661725699901581	0.0017931594	No	
row_12	S1PR3	sphingosine-1-phosphate receptor 3 [Source:HGNC Symbol;Acc:HGNC:3167]	2037	0.10637199133634567	0.008235156	No	
row_13	NFIL3	nuclear factor, interleukin 3 regulated [Source:HGNC Symbol;Acc:HGNC:7787]	2095	0.10434126853942871	0.011855375	No	
row_14	PHF1	PHD finger protein 1 [Source:HGNC Symbol;Acc:HGNC:8919]	2179	0.10184159129858017	0.01375598	No	
row_15	RRM2B	ribonucleotide reductase regulatory TP53 inducible subunit M2B [Source:HGNC Symbol;Acc:HGNC:17296]	2211	0.10076098144054413	0.018686678	No	
row_16	PRSS23	serine protease 23 [Source:HGNC Symbol;Acc:HGNC:14370]	2239	0.09949814528226852	0.023771076	No	
row_17	MFAP2	microfibril associated protein 2 [Source:HGNC Symbol;Acc:HGNC:7033]	2251	0.09923327714204788	0.02979236	No	
row_18	AOC3	amine oxidase copper containing 3 [Source:HGNC Symbol;Acc:HGNC:550]	2397	0.09513061493635178	0.027541861	No	
row_19	PDE4B	phosphodiesterase 4B [Source:HGNC Symbol;Acc:HGNC:8781]	2523	0.09132204949855804	0.026228465	No	
row_20	HTRA1	HtrA serine peptidase 1 [Source:HGNC Symbol;Acc:HGNC:9476]	2545	0.09074435383081436	0.031081814	No	
