NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PADI1	peptidyl arginine deiminase 1 [Source:HGNC Symbol;Acc:HGNC:18367]	246	0.2110731303691864	0.0031650842	No	
row_1	MIA	MIA SH3 domain containing [Source:HGNC Symbol;Acc:HGNC:7076]	854	0.1562936156988144	-0.019802196	No	
row_2	DPY19L4	dpy-19 like 4 [Source:HGNC Symbol;Acc:HGNC:27829]	1139	0.14031030237674713	-0.024875585	No	
row_3	LIPE	lipase E, hormone sensitive type [Source:HGNC Symbol;Acc:HGNC:6621]	1567	0.12254848331212997	-0.039968126	No	
row_4	PLIN1	perilipin 1 [Source:HGNC Symbol;Acc:HGNC:9076]	1591	0.12157035619020462	-0.03107414	No	
row_5	CLSPN	claspin [Source:HGNC Symbol;Acc:HGNC:19715]	1664	0.1188572496175766	-0.025328496	No	
row_6	NXT2	nuclear transport factor 2 like export factor 2 [Source:HGNC Symbol;Acc:HGNC:18151]	1778	0.11493146419525146	-0.022356968	No	
row_7	LRP12	LDL receptor related protein 12 [Source:HGNC Symbol;Acc:HGNC:31708]	1827	0.11349478363990784	-0.015634233	No	
row_8	CORO1A	coronin 1A [Source:HGNC Symbol;Acc:HGNC:2252]	2207	0.1009339690208435	-0.029692004	No	
row_9	SHANK1	SH3 and multiple ankyrin repeat domains 1 [Source:HGNC Symbol;Acc:HGNC:15474]	2328	0.09709995239973068	-0.028643038	No	
row_10	HOXA10	homeobox A10 [Source:HGNC Symbol;Acc:HGNC:5100]	2378	0.09586551040410995	-0.02346833	No	
row_11	SYN3	synapsin III [Source:HGNC Symbol;Acc:HGNC:11496]	2528	0.09106913208961487	-0.024656285	No	
row_12	L2HGDH	L-2-hydroxyglutarate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:20499]	2566	0.0902557447552681	-0.019240288	No	
row_13	PSD4	pleckstrin and Sec7 domain containing 4 [Source:HGNC Symbol;Acc:HGNC:19096]	2573	0.09003353118896484	-0.011996167	No	
row_14	EFNA5	ephrin A5 [Source:HGNC Symbol;Acc:HGNC:3225]	2641	0.08850062638521194	-0.008515666	No	
row_15	ADAMTS7	ADAM metallopeptidase with thrombospondin type 1 motif 7 [Source:HGNC Symbol;Acc:HGNC:223]	2692	0.08721744269132614	-0.0041306973	No	
row_16	GFAP	glial fibrillary acidic protein [Source:HGNC Symbol;Acc:HGNC:4235]	2833	0.08290869742631912	-0.0054714484	No	
row_17	GAS1	growth arrest specific 1 [Source:HGNC Symbol;Acc:HGNC:4165]	2893	0.08154600858688354	-0.0021015143	No	
row_18	CLIC3	chloride intracellular channel 3 [Source:HGNC Symbol;Acc:HGNC:2064]	2939	0.08052943646907806	0.002016668	No	
row_19	EDN2	endothelin 2 [Source:HGNC Symbol;Acc:HGNC:3177]	2994	0.07892598956823349	0.005463277	No	
row_20	TPSD1	tryptase delta 1 [Source:HGNC Symbol;Acc:HGNC:14118]	3041	0.07777012139558792	0.009288912	No	
row_21	CHM	CHM Rab escort protein [Source:HGNC Symbol;Acc:HGNC:1940]	3198	0.07423564791679382	0.006262658	No	
row_22	RNF2	ring finger protein 2 [Source:HGNC Symbol;Acc:HGNC:10061]	3276	0.07212885469198227	0.0077651097	No	
row_23	TM4SF20	transmembrane 4 L six family member 20 [Source:HGNC Symbol;Acc:HGNC:26230]	3387	0.06945290416479111	0.0070755887	No	
row_24	GPR183	G protein-coupled receptor 183 [Source:HGNC Symbol;Acc:HGNC:3128]	3589	0.06519515812397003	6.0507614E-4	No	
row_25	SPTBN2	spectrin beta, non-erythrocytic 2 [Source:HGNC Symbol;Acc:HGNC:11276]	3741	0.06162319332361221	-0.0031881693	No	
row_26	STMN3	stathmin 3 [Source:HGNC Symbol;Acc:HGNC:15926]	4048	0.05478193238377571	-0.016793462	No	
row_27	MAPK3	mitogen-activated protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:6877]	4182	0.05238114297389984	-0.020294633	No	
row_28	PRRG2	proline rich and Gla domain 2 [Source:HGNC Symbol;Acc:HGNC:9470]	4447	0.0477062426507473	-0.031995095	No	
row_29	KCNF1	potassium voltage-gated channel modifier subfamily F member 1 [Source:HGNC Symbol;Acc:HGNC:6246]	4473	0.047043804079294205	-0.029512584	No	
row_30	PLXNB3	plexin B3 [Source:HGNC Symbol;Acc:HGNC:9105]	4580	0.04503949359059334	-0.032025035	No	
row_31	PIK3C2G	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 gamma [Source:HGNC Symbol;Acc:HGNC:8973]	4680	0.04289151355624199	-0.034301806	No	
row_32	GJC2	gap junction protein gamma 2 [Source:HGNC Symbol;Acc:HGNC:17494]	4734	0.04174508899450302	-0.033934824	No	
row_33	IFIT1	interferon induced protein with tetratricopeptide repeats 1 [Source:HGNC Symbol;Acc:HGNC:5407]	4827	0.039993226528167725	-0.036039256	No	
row_34	CLDN14	claudin 14 [Source:HGNC Symbol;Acc:HGNC:2035]	4910	0.03825204074382782	-0.037694927	No	
row_35	EVPL	envoplakin [Source:HGNC Symbol;Acc:HGNC:3503]	5099	0.03476013243198395	-0.045960587	No	
row_36	GNA15	G protein subunit alpha 15 [Source:HGNC Symbol;Acc:HGNC:4383]	5110	0.03439105302095413	-0.043652702	No	
row_37	GVINP1	GTPase, very large interferon inducible pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:25813]	5156	0.03357015177607536	-0.043499317	No	
row_38	OPCML	opioid binding protein/cell adhesion molecule like [Source:HGNC Symbol;Acc:HGNC:8143]	5213	0.0326165035367012	-0.0440818	No	
row_39	PCDHA10	protocadherin alpha 10 [Source:HGNC Symbol;Acc:HGNC:8664]	5287	0.031277380883693695	-0.045790154	No	
row_40	CHRNA3	cholinergic receptor nicotinic alpha 3 subunit [Source:HGNC Symbol;Acc:HGNC:1957]	5374	0.029616326093673706	-0.048413254	No	
row_41	CRYBG2	crystallin beta-gamma domain containing 2 [Source:HGNC Symbol;Acc:HGNC:17295]	5401	0.029213465750217438	-0.047495745	No	
row_42	GABARAPL3	GABA type A receptor associated protein like 3 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:4069]	5420	0.02885064296424389	-0.046132255	No	
row_43	SLC66A3	solute carrier family 66 member 3 [Source:HGNC Symbol;Acc:HGNC:28503]	5522	0.026758961379528046	-0.049890257	No	
row_44	PTPRO	protein tyrosine phosphatase receptor type O [Source:HGNC Symbol;Acc:HGNC:9678]	5525	0.026707762852311134	-0.04775446	No	
row_45	CD207	CD207 molecule [Source:HGNC Symbol;Acc:HGNC:17935]	5686	0.023781761527061462	-0.05527887	No	
row_46	LRRC37A4P	leucine rich repeat containing 37 member A4, pseudogene [Source:HGNC Symbol;Acc:HGNC:25479]	5719	0.02304111421108246	-0.05523996	No	
row_47	SDK2	sidekick cell adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:19308]	5944	0.019192127510905266	-0.066964805	No	
row_48	ATP8A2	ATPase phospholipid transporting 8A2 [Source:HGNC Symbol;Acc:HGNC:13533]	5997	0.018301691859960556	-0.06851759	No	
row_49	FLG	filaggrin [Source:HGNC Symbol;Acc:HGNC:3748]	6301	0.012998036108911037	-0.08547199	No	
row_50	LAMC3	laminin subunit gamma 3 [Source:HGNC Symbol;Acc:HGNC:6494]	6544	0.008621745742857456	-0.099161685	No	
row_51	E2F5	E2F transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:3119]	6626	0.007326895836740732	-0.10336881	No	
row_52	SPINT1	serine peptidase inhibitor, Kunitz type 1 [Source:HGNC Symbol;Acc:HGNC:11246]	6662	0.0067217182368040085	-0.10488649	No	
row_53	CCL18	C-C motif chemokine ligand 18 [Source:HGNC Symbol;Acc:HGNC:10616]	6684	0.0062918695621192455	-0.10560638	No	
row_54	PCK1	phosphoenolpyruvate carboxykinase 1 [Source:HGNC Symbol;Acc:HGNC:8724]	6827	0.0034956277813762426	-0.11377117	No	
row_55	FGA	fibrinogen alpha chain [Source:HGNC Symbol;Acc:HGNC:3661]	6900	0.0023285255301743746	-0.11786412	No	
row_56	SERPINB3	serpin family B member 3 [Source:HGNC Symbol;Acc:HGNC:10569]	6914	0.002128789434209466	-0.11845888	No	
row_57	SLC16A10	solute carrier family 16 member 10 [Source:HGNC Symbol;Acc:HGNC:17027]	7100	-7.972945459187031E-4	-0.1294133	No	
row_58	ARSD	arylsulfatase D [Source:HGNC Symbol;Acc:HGNC:717]	7173	-0.0018253601156175137	-0.13354874	No	
row_59	TRPM4	transient receptor potential cation channel subfamily M member 4 [Source:HGNC Symbol;Acc:HGNC:17993]	7244	-0.0030571299139410257	-0.13746102	No	
row_60	NAA80	N-alpha-acetyltransferase 80, NatH catalytic subunit [Source:HGNC Symbol;Acc:HGNC:30252]	7258	-0.003335226560011506	-0.13795392	No	
row_61	ANKS1B	ankyrin repeat and sterile alpha motif domain containing 1B [Source:HGNC Symbol;Acc:HGNC:24600]	7310	-0.0040604835376143456	-0.14064953	No	
row_62	FNDC4	fibronectin type III domain containing 4 [Source:HGNC Symbol;Acc:HGNC:20239]	7551	-0.007934251800179482	-0.15427811	No	
row_63	PRSS8	serine protease 8 [Source:HGNC Symbol;Acc:HGNC:9491]	7580	-0.008490513078868389	-0.1552294	No	
row_64	BPNT1	3'(2'), 5'-bisphosphate nucleotidase 1 [Source:HGNC Symbol;Acc:HGNC:1096]	8013	-0.015266556292772293	-0.17967771	No	
row_65	RNF19A	ring finger protein 19A, RBR E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:13432]	8105	-0.01684354990720749	-0.1836771	No	
row_66	CARD14	caspase recruitment domain family member 14 [Source:HGNC Symbol;Acc:HGNC:16446]	8172	-0.017736217007040977	-0.1861117	No	
row_67	OXNAD1	oxidoreductase NAD binding domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25128]	8305	-0.01960851438343525	-0.19232032	No	
row_68	FOXJ1	forkhead box J1 [Source:HGNC Symbol;Acc:HGNC:3816]	8308	-0.019636858254671097	-0.19078152	No	
row_69	BMI1	BMI1 proto-oncogene, polycomb ring finger [Source:HGNC Symbol;Acc:HGNC:1066]	8427	-0.021596452221274376	-0.1959882	No	
row_70	AP1G2	adaptor related protein complex 1 subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:556]	8456	-0.021995723247528076	-0.19579925	No	
row_71	HHIPL2	HHIP like 2 [Source:HGNC Symbol;Acc:HGNC:25842]	8466	-0.022195687517523766	-0.19446144	No	
row_72	BBC3	BCL2 binding component 3 [Source:HGNC Symbol;Acc:HGNC:17868]	8592	-0.02430189587175846	-0.19985674	No	
row_73	KCNC1	potassium voltage-gated channel subfamily C member 1 [Source:HGNC Symbol;Acc:HGNC:6233]	8810	-0.028185861185193062	-0.2104052	No	
row_74	USP46	ubiquitin specific peptidase 46 [Source:HGNC Symbol;Acc:HGNC:20075]	8875	-0.029152775183320045	-0.21175675	No	
row_75	NHERF2	NHERF family PDZ scaffold protein 2 [Source:HGNC Symbol;Acc:HGNC:11076]	8923	-0.029950905591249466	-0.2120281	No	
row_76	PACSIN3	protein kinase C and casein kinase substrate in neurons 3 [Source:HGNC Symbol;Acc:HGNC:8572]	9205	-0.03434089943766594	-0.2258698	No	
row_77	MTHFS	methenyltetrahydrofolate synthetase [Source:HGNC Symbol;Acc:HGNC:7437]	9239	-0.03499801084399223	-0.22488095	No	
row_78	CIITA	class II major histocompatibility complex transactivator [Source:HGNC Symbol;Acc:HGNC:7067]	9455	-0.038863614201545715	-0.23440872	No	
row_79	CACNA2D2	calcium voltage-gated channel auxiliary subunit alpha2delta 2 [Source:HGNC Symbol;Acc:HGNC:1400]	9489	-0.03928647190332413	-0.23305778	No	
row_80	FKBP5	FKBP prolyl isomerase 5 [Source:HGNC Symbol;Acc:HGNC:3721]	9559	-0.04028666019439697	-0.23376718	No	
row_81	HLA-DPB1	major histocompatibility complex, class II, DP beta 1 [Source:HGNC Symbol;Acc:HGNC:4940]	9778	-0.0439927875995636	-0.24304062	No	
row_82	RAD54L2	RAD54 like 2 [Source:HGNC Symbol;Acc:HGNC:29123]	10118	-0.05013430118560791	-0.25900435	No	
row_83	CAND1	cullin associated and neddylation dissociated 1 [Source:HGNC Symbol;Acc:HGNC:30688]	10277	-0.05239920690655708	-0.26399344	No	
row_84	SYN1	synapsin I [Source:HGNC Symbol;Acc:HGNC:11494]	10346	-0.05366712808609009	-0.26351354	No	
row_85	BARX1	BARX homeobox 1 [Source:HGNC Symbol;Acc:HGNC:955]	10461	-0.055475685745477676	-0.26562145	No	
row_86	ECPAS	Ecm29 proteasome adaptor and scaffold [Source:HGNC Symbol;Acc:HGNC:29020]	10559	-0.05734412372112274	-0.26655883	No	
