NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CSDE1	cold shock domain containing E1 [Source:HGNC Symbol;Acc:HGNC:29905]	6	0.31439653038978577	0.025350435	Yes	
row_1	GNAI3	G protein subunit alpha i3 [Source:HGNC Symbol;Acc:HGNC:4387]	9	0.30916428565979004	0.050511118	Yes	
row_2	TMEM123	transmembrane protein 123 [Source:HGNC Symbol;Acc:HGNC:30138]	24	0.28279241919517517	0.07280119	Yes	
row_3	RASA1	RAS p21 protein activator 1 [Source:HGNC Symbol;Acc:HGNC:9871]	38	0.27143463492393494	0.094222076	Yes	
row_4	TMEM87A	transmembrane protein 87A [Source:HGNC Symbol;Acc:HGNC:24522]	77	0.2508378028869629	0.11247079	Yes	
row_5	SLC2A1	solute carrier family 2 member 1 [Source:HGNC Symbol;Acc:HGNC:11005]	121	0.23921892046928406	0.12947185	Yes	
row_6	HK2	hexokinase 2 [Source:HGNC Symbol;Acc:HGNC:4923]	262	0.20852766931056976	0.1381899	Yes	
row_7	SEC23A	SEC23 homolog A, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10701]	304	0.2025996297597885	0.15231572	Yes	
row_8	DYNC1I2	dynein cytoplasmic 1 intermediate chain 2 [Source:HGNC Symbol;Acc:HGNC:2964]	307	0.20233184099197388	0.16874094	Yes	
row_9	KLK6	kallikrein related peptidase 6 [Source:HGNC Symbol;Acc:HGNC:6367]	317	0.20110267400741577	0.184649	Yes	
row_10	HSPA1B	heat shock protein family A (Hsp70) member 1B [Source:HGNC Symbol;Acc:HGNC:5233]	325	0.20018723607063293	0.20060126	Yes	
row_11	SCAMP1	secretory carrier membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:10563]	403	0.19171011447906494	0.21169394	Yes	
row_12	SMIM14	small integral membrane protein 14 [Source:HGNC Symbol;Acc:HGNC:27321]	413	0.1910889744758606	0.22678322	Yes	
row_13	CHMP1B	charged multivesicular body protein 1B [Source:HGNC Symbol;Acc:HGNC:24287]	526	0.18032148480415344	0.23486145	Yes	
row_14	SCEL	sciellin [Source:HGNC Symbol;Acc:HGNC:10573]	593	0.17401647567749023	0.24516208	Yes	
row_15	ATP6AP2	ATPase H+ transporting accessory protein 2 [Source:HGNC Symbol;Acc:HGNC:18305]	650	0.169565349817276	0.25569397	Yes	
row_16	ATOSB	atos homolog B [Source:HGNC Symbol;Acc:HGNC:25666]	694	0.16639867424964905	0.26674065	Yes	
row_17	GJB2	gap junction protein beta 2 [Source:HGNC Symbol;Acc:HGNC:4284]	979	0.1493937075138092	0.26205254	Yes	
row_18	MORC3	MORC family CW-type zinc finger 3 [Source:HGNC Symbol;Acc:HGNC:23572]	1020	0.14720137417316437	0.27170807	Yes	
row_19	PCDHB17P	protocadherin beta 17 pseudogene [Source:HGNC Symbol;Acc:HGNC:14547]	1024	0.14684973657131195	0.28353712	Yes	
row_20	DDX3X	DEAD-box helicase 3 X-linked [Source:HGNC Symbol;Acc:HGNC:2745]	1135	0.14038173854351044	0.2884686	Yes	
row_21	COPB1	COPI coat complex subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:2231]	1142	0.14007623493671417	0.29956523	Yes	
row_22	KLK7	kallikrein related peptidase 7 [Source:HGNC Symbol;Acc:HGNC:6368]	1269	0.1341593861579895	0.30303562	Yes	
row_23	GADD45A	growth arrest and DNA damage inducible alpha [Source:HGNC Symbol;Acc:HGNC:4095]	1319	0.13168743252754211	0.31088692	Yes	
row_24	HACD2	3-hydroxyacyl-CoA dehydratase 2 [Source:HGNC Symbol;Acc:HGNC:9640]	1438	0.12760333716869354	0.3142974	Yes	
row_25	PLBD1	phospholipase B domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26215]	1704	0.11735427379608154	0.30812034	Yes	
row_26	CTSK	cathepsin K [Source:HGNC Symbol;Acc:HGNC:2536]	1789	0.11460284888744354	0.31249148	Yes	
row_27	FBXO28	F-box protein 28 [Source:HGNC Symbol;Acc:HGNC:29046]	1823	0.11359944194555283	0.3198161	Yes	
row_28	ZDHHC20	zinc finger DHHC-type palmitoyltransferase 20 [Source:HGNC Symbol;Acc:HGNC:20749]	1918	0.10995890945196152	0.3232123	Yes	
row_29	ATP9B	ATPase phospholipid transporting 9B (putative) [Source:HGNC Symbol;Acc:HGNC:13541]	2004	0.1072518453001976	0.32692283	Yes	
row_30	RAB8B	RAB8B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:30273]	2233	0.09973554313182831	0.3215074	Yes	
row_31	NECTIN4	nectin cell adhesion molecule 4 [Source:HGNC Symbol;Acc:HGNC:19688]	2485	0.09241241961717606	0.3141242	Yes	
row_32	SPG11	SPG11 vesicle trafficking associated, spatacsin [Source:HGNC Symbol;Acc:HGNC:11226]	2505	0.09195990860462189	0.32051268	Yes	
row_33	HTRA1	HtrA serine peptidase 1 [Source:HGNC Symbol;Acc:HGNC:9476]	2545	0.09074435383081436	0.32561135	Yes	
row_34	PYROXD1	pyridine nucleotide-disulphide oxidoreductase domain 1 [Source:HGNC Symbol;Acc:HGNC:26162]	2575	0.0899914875626564	0.3312437	Yes	
row_35	RAP2C	RAP2C, member of RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:21165]	2900	0.081453338265419	0.3186194	Yes	
row_36	ATAD1	ATPase family AAA domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25903]	2905	0.08135223388671875	0.3250333	Yes	
