NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SOCS1	suppressor of cytokine signaling 1 [Source:HGNC Symbol;Acc:HGNC:19383]	662	0.16864781081676483	-0.025717089	No	
row_1	MIOX	myo-inositol oxygenase [Source:HGNC Symbol;Acc:HGNC:14522]	712	0.16538292169570923	-0.015194047	No	
row_2	APC2	APC regulator of WNT signaling pathway 2 [Source:HGNC Symbol;Acc:HGNC:24036]	838	0.15727946162223816	-0.009855558	No	
row_3	LPO	lactoperoxidase [Source:HGNC Symbol;Acc:HGNC:6678]	883	0.15463781356811523	9.196246E-5	No	
row_4	MAMDC4	MAM domain containing 4 [Source:HGNC Symbol;Acc:HGNC:24083]	1325	0.13137724995613098	-0.015493173	No	
row_5	SVBP	small vasohibin binding protein [Source:HGNC Symbol;Acc:HGNC:29204]	1369	0.13007180392742157	-0.0074826432	No	
row_6	COL26A1	collagen type XXVI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:18038]	1682	0.11813393980264664	-0.016461868	No	
row_7	PPP1R3B	protein phosphatase 1 regulatory subunit 3B [Source:HGNC Symbol;Acc:HGNC:14942]	1788	0.11460362374782562	-0.013400711	No	
row_8	FBLN2	fibulin 2 [Source:HGNC Symbol;Acc:HGNC:3601]	2017	0.1068352535367012	-0.018295826	No	
row_9	AIM2	absent in melanoma 2 [Source:HGNC Symbol;Acc:HGNC:357]	2058	0.1055932566523552	-0.012096076	No	
row_10	FOXO4	forkhead box O4 [Source:HGNC Symbol;Acc:HGNC:7139]	2488	0.09232448786497116	-0.030140506	No	
row_11	QPCTL	glutaminyl-peptide cyclotransferase like [Source:HGNC Symbol;Acc:HGNC:25952]	2522	0.09145936369895935	-0.024672586	No	
row_12	SLC35F4	solute carrier family 35 member F4 [Source:HGNC Symbol;Acc:HGNC:19845]	2688	0.08724451810121536	-0.027408106	No	
row_13	PI16	peptidase inhibitor 16 [Source:HGNC Symbol;Acc:HGNC:21245]	2874	0.08201674371957779	-0.031759545	No	
row_14	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1 [Source:HGNC Symbol;Acc:HGNC:16467]	2906	0.081344835460186	-0.026994554	No	
row_15	YIF1B	Yip1 interacting factor homolog B, membrane trafficking protein [Source:HGNC Symbol;Acc:HGNC:30511]	3027	0.07804132252931595	-0.027798194	No	
row_16	CLDN9	claudin 9 [Source:HGNC Symbol;Acc:HGNC:2051]	3482	0.06749915331602097	-0.049349047	No	
row_17	TAF3	TATA-box binding protein associated factor 3 [Source:HGNC Symbol;Acc:HGNC:17303]	3584	0.06530506163835526	-0.050056305	No	
