NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TSPAN5	tetraspanin 5 [Source:HGNC Symbol;Acc:HGNC:17753]	8	0.3113679587841034	0.011236146	Yes	
row_1	GNAI3	G protein subunit alpha i3 [Source:HGNC Symbol;Acc:HGNC:4387]	9	0.30916428565979004	0.02286985	Yes	
row_2	ADAM10	ADAM metallopeptidase domain 10 [Source:HGNC Symbol;Acc:HGNC:188]	55	0.26079264283180237	0.029980648	Yes	
row_3	OSBPL1A	oxysterol binding protein like 1A [Source:HGNC Symbol;Acc:HGNC:16398]	57	0.2596479058265686	0.039691016	Yes	
row_4	CCNG2	cyclin G2 [Source:HGNC Symbol;Acc:HGNC:1593]	94	0.24597948789596558	0.04678494	Yes	
row_5	UBE2W	ubiquitin conjugating enzyme E2 W [Source:HGNC Symbol;Acc:HGNC:25616]	104	0.24353376030921936	0.05540846	Yes	
row_6	RSF1	remodeling and spacing factor 1 [Source:HGNC Symbol;Acc:HGNC:18118]	162	0.22837123274803162	0.060578536	Yes	
row_7	GOLGA2	golgin A2 [Source:HGNC Symbol;Acc:HGNC:4425]	195	0.22011321783065796	0.06693937	Yes	
row_8	SEMA3C	semaphorin 3C [Source:HGNC Symbol;Acc:HGNC:10725]	198	0.2193724811077118	0.07507413	Yes	
row_9	CDR2	cerebellar degeneration related protein 2 [Source:HGNC Symbol;Acc:HGNC:1799]	199	0.21900193393230438	0.08331507	Yes	
row_10	RCC1	regulator of chromosome condensation 1 [Source:HGNC Symbol;Acc:HGNC:1913]	248	0.21063295006752014	0.0883582	Yes	
row_11	TMOD3	tropomodulin 3 [Source:HGNC Symbol;Acc:HGNC:11873]	335	0.1989217847585678	0.090678364	Yes	
row_12	ARMC1	armadillo repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:17684]	352	0.19715045392513275	0.09713608	Yes	
row_13	DCK	deoxycytidine kinase [Source:HGNC Symbol;Acc:HGNC:2704]	358	0.1965387612581253	0.10423144	Yes	
