NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PIGO	phosphatidylinositol glycan anchor biosynthesis class O [Source:HGNC Symbol;Acc:HGNC:23215]	851	0.15650378167629242	-0.003412102	No	
row_1	TIMP3	TIMP metallopeptidase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:11822]	1390	0.1292165219783783	0.003512909	No	
row_2	ITGA2	integrin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6137]	2424	0.0943104699254036	-0.0293268	No	
row_3	SLC17A7	solute carrier family 17 member 7 [Source:HGNC Symbol;Acc:HGNC:16704]	2597	0.08938874304294586	-0.012690181	No	
row_4	ITGBL1	integrin subunit beta like 1 [Source:HGNC Symbol;Acc:HGNC:6164]	2628	0.088678739964962	0.0121368095	No	
row_5	VSNL1	visinin like 1 [Source:HGNC Symbol;Acc:HGNC:12722]	2771	0.084891177713871	0.02919958	No	
row_6	PABIR3	PABIR family member 3 [Source:HGNC Symbol;Acc:HGNC:25202]	4589	0.04491376504302025	-0.06485445	No	
row_7	HEY1	hes related family bHLH transcription factor with YRPW motif 1 [Source:HGNC Symbol;Acc:HGNC:4880]	4995	0.03672543540596962	-0.077804685	No	
row_8	DOCK11	dedicator of cytokinesis 11 [Source:HGNC Symbol;Acc:HGNC:23483]	5258	0.03179299831390381	-0.08377203	No	
row_9	MYLIP	myosin regulatory light chain interacting protein [Source:HGNC Symbol;Acc:HGNC:21155]	5269	0.03166709095239639	-0.07486415	No	
row_10	PDIK1L	PDLIM1 interacting kinase 1 like [Source:HGNC Symbol;Acc:HGNC:18981]	6576	0.008066985756158829	-0.14973143	No	
row_11	IL4R	interleukin 4 receptor [Source:HGNC Symbol;Acc:HGNC:6015]	7103	-8.500675321556628E-4	-0.18060435	No	
row_12	CHCHD3	coiled-coil-helix-coiled-coil-helix domain containing 3 [Source:HGNC Symbol;Acc:HGNC:21906]	7763	-0.011295685544610023	-0.21621451	No	
row_13	ZBTB39	zinc finger and BTB domain containing 39 [Source:HGNC Symbol;Acc:HGNC:29014]	8090	-0.016490202397108078	-0.23055992	No	
row_14	ORC2	origin recognition complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:8488]	8471	-0.022251984104514122	-0.2463725	No	
row_15	RHBDL1	rhomboid like 1 [Source:HGNC Symbol;Acc:HGNC:10007]	9319	-0.03660495951771736	-0.28551582	No	
row_16	ACOX2	acyl-CoA oxidase 2 [Source:HGNC Symbol;Acc:HGNC:120]	9583	-0.04065347835421562	-0.28888434	No	
row_17	GUCY2C	guanylate cyclase 2C [Source:HGNC Symbol;Acc:HGNC:4688]	10308	-0.0530509315431118	-0.31581512	No	
row_18	RNF227	ring finger protein 227 [Source:HGNC Symbol;Acc:HGNC:27571]	10670	-0.059168197214603424	-0.31942898	No	
row_19	FICD	FIC domain protein adenylyltransferase [Source:HGNC Symbol;Acc:HGNC:18416]	10797	-0.06119239330291748	-0.30852866	No	
row_20	APOBEC2	apolipoprotein B mRNA editing enzyme catalytic subunit 2 [Source:HGNC Symbol;Acc:HGNC:605]	11472	-0.07248763740062714	-0.32666978	No	
row_21	RFX1	regulatory factor X1 [Source:HGNC Symbol;Acc:HGNC:9982]	12240	-0.0862167477607727	-0.346196	No	
row_22	LCA5L	lebercilin LCA5 like [Source:HGNC Symbol;Acc:HGNC:1255]	12518	-0.0914914682507515	-0.3351423	No	
row_23	MYO1B	myosin IB [Source:HGNC Symbol;Acc:HGNC:7596]	12750	-0.09589023888111115	-0.3200469	No	
row_24	WSCD2	WSC domain containing 2 [Source:HGNC Symbol;Acc:HGNC:29117]	14023	-0.12126932293176651	-0.35894302	Yes	
row_25	PRCC	proline rich mitotic checkpoint control factor [Source:HGNC Symbol;Acc:HGNC:9343]	14030	-0.12145688384771347	-0.32286277	Yes	
row_26	CACNB4	calcium voltage-gated channel auxiliary subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:1404]	14357	-0.12909498810768127	-0.30342835	Yes	
row_27	RCC1L	RCC1 like [Source:HGNC Symbol;Acc:HGNC:14948]	14386	-0.1298217475414276	-0.2661407	Yes	
row_28	SLC9A1	solute carrier family 9 member A1 [Source:HGNC Symbol;Acc:HGNC:11071]	15096	-0.1496255248785019	-0.2632128	Yes	
row_29	MOBP	myelin associated oligodendrocyte basic protein [Source:HGNC Symbol;Acc:HGNC:7189]	15226	-0.15352021157741547	-0.224793	Yes	
row_30	LIMD1	LIM domain containing 1 [Source:HGNC Symbol;Acc:HGNC:6612]	15473	-0.1621660441160202	-0.19070345	Yes	
row_31	KATNB1	katanin regulatory subunit B1 [Source:HGNC Symbol;Acc:HGNC:6217]	15668	-0.1694962978363037	-0.15133764	Yes	
row_32	CCDC87	coiled-coil domain containing 87 [Source:HGNC Symbol;Acc:HGNC:25579]	15738	-0.17268070578575134	-0.10361924	Yes	
row_33	LONRF2	LON peptidase N-terminal domain and ring finger 2 [Source:HGNC Symbol;Acc:HGNC:24788]	15847	-0.17720741033554077	-0.05685085	Yes	
row_34	GOLGA2P5	GOLGA2 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:25315]	16238	-0.19735978543758392	-0.020725405	Yes	
row_35	THNSL1	threonine synthase like 1 [Source:HGNC Symbol;Acc:HGNC:26160]	16362	-0.20599472522735596	0.033791084	Yes	
