NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAML2	mastermind like transcriptional coactivator 2 [Source:HGNC Symbol;Acc:HGNC:16259]	13	0.30014777183532715	0.06313574	Yes	
row_1	DRAM2	DNA damage regulated autophagy modulator 2 [Source:HGNC Symbol;Acc:HGNC:28769]	84	0.2488337904214859	0.11197108	Yes	
row_2	CDK14	cyclin dependent kinase 14 [Source:HGNC Symbol;Acc:HGNC:8883]	85	0.2487083077430725	0.1649244	Yes	
row_3	SEMA3C	semaphorin 3C [Source:HGNC Symbol;Acc:HGNC:10725]	198	0.2193724811077118	0.2050002	Yes	
row_4	SIAE	sialic acid acetylesterase [Source:HGNC Symbol;Acc:HGNC:18187]	216	0.21658147871494293	0.25010672	Yes	
row_5	MSN	moesin [Source:HGNC Symbol;Acc:HGNC:7373]	278	0.20600156486034393	0.29035538	Yes	
row_6	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta [Source:HGNC Symbol;Acc:HGNC:12855]	326	0.20005416870117188	0.33016673	Yes	
row_7	SNAP23	synaptosome associated protein 23 [Source:HGNC Symbol;Acc:HGNC:11131]	417	0.1907389611005783	0.36544868	Yes	
row_8	NRAS	NRAS proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:7989]	428	0.189528688788414	0.40520978	Yes	
row_9	ZNHIT6	zinc finger HIT-type containing 6 [Source:HGNC Symbol;Acc:HGNC:26089]	445	0.18789313733577728	0.4442674	Yes	
row_10	FAF2	Fas associated factor family member 2 [Source:HGNC Symbol;Acc:HGNC:24666]	884	0.15456926822662354	0.4512432	Yes	
row_11	TEAD1	TEA domain transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:11714]	2192	0.10132250189781189	0.39542848	No	
row_12	STEEP1	STING1 ER exit protein 1 [Source:HGNC Symbol;Acc:HGNC:26239]	2623	0.08877642452716827	0.3888698	No	
row_13	FLOT1	flotillin 1 [Source:HGNC Symbol;Acc:HGNC:3757]	2713	0.08650362491607666	0.4020179	No	
row_14	SAMSN1	SAM domain, SH3 domain and nuclear localization signals 1 [Source:HGNC Symbol;Acc:HGNC:10528]	2822	0.08312487602233887	0.41332158	No	
row_15	SNX7	sorting nexin 7 [Source:HGNC Symbol;Acc:HGNC:14971]	3170	0.07477352023124695	0.40869594	No	
row_16	RGCC	regulator of cell cycle [Source:HGNC Symbol;Acc:HGNC:20369]	4106	0.05361054465174675	0.36474887	No	
