NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
DCA_UP.V1_DN	DCA_UP.V1_DN	Details ...	164	-0.36782753	-1.5803787	0.008130081	1.0	0.622	4737	tags=43%, list=28%, signal=59%	
YAP1_DN	YAP1_DN	Details ...	36	-0.39532208	-1.3893188	0.06724138	1.0	0.955	2912	tags=33%, list=17%, signal=40%	
PKCA_DN.V1_UP	PKCA_DN.V1_UP	Details ...	139	-0.33303127	-1.3546048	0.0846395	1.0	0.975	2966	tags=26%, list=18%, signal=31%	
PRC2_SUZ12_UP.V1_DN	PRC2_SUZ12_UP.V1_DN	Details ...	156	-0.30945107	-1.3506972	0.054298643	1.0	0.977	3917	tags=30%, list=23%, signal=39%	
KRAS.AMP.LUNG_UP.V1_UP	KRAS.AMP.LUNG_UP.V1_UP	Details ...	107	-0.35597968	-1.2967929	0.13836478	1.0	0.989	5788	tags=50%, list=34%, signal=76%	
JAK2_DN.V1_UP	JAK2_DN.V1_UP	Details ...	142	-0.32223493	-1.2836643	0.11567732	1.0	0.992	4127	tags=31%, list=24%, signal=41%	
BRCA1_DN.V1_DN	BRCA1_DN.V1_DN	Details ...	115	-0.30955246	-1.2784456	0.11254019	1.0	0.994	2814	tags=26%, list=17%, signal=31%	
KRAS.600.LUNG.BREAST_UP.V1_DN	KRAS.600.LUNG.BREAST_UP.V1_DN	Details ...	233	-0.31987524	-1.2769375	0.13608563	1.0	0.994	5168	tags=39%, list=31%, signal=55%	
SRC_UP.V1_UP	SRC_UP.V1_UP	Details ...	142	-0.3413707	-1.2600994	0.16329966	1.0	0.997	3907	tags=32%, list=23%, signal=41%	
MTOR_UP.V1_DN	MTOR_UP.V1_DN	Details ...	175	-0.30046442	-1.2534988	0.15566836	1.0	0.997	5096	tags=37%, list=30%, signal=52%	
KRAS.AMP.LUNG_UP.V1_DN	KRAS.AMP.LUNG_UP.V1_DN	Details ...	118	-0.31916845	-1.2485415	0.17301588	1.0	0.997	5620	tags=44%, list=33%, signal=65%	
CAHOY_ASTROCYTIC	CAHOY_ASTROCYTIC	Details ...	92	-0.31379652	-1.2384063	0.15730338	1.0	0.998	3193	tags=29%, list=19%, signal=36%	
CTIP_DN.V1_UP	CTIP_DN.V1_UP	Details ...	109	-0.33889636	-1.2338939	0.1821036	1.0	0.998	4597	tags=36%, list=27%, signal=49%	
DCA_UP.V1_UP	DCA_UP.V1_UP	Details ...	145	-0.29081288	-1.2284988	0.1454006	1.0	1.0	3721	tags=26%, list=22%, signal=32%	
VEGF_A_UP.V1_UP	VEGF_A_UP.V1_UP	Details ...	184	-0.30661094	-1.2131082	0.20065252	1.0	1.0	4925	tags=35%, list=29%, signal=49%	
KRAS.LUNG.BREAST_UP.V1_DN	KRAS.LUNG.BREAST_UP.V1_DN	Details ...	116	-0.32038894	-1.2081602	0.20808384	1.0	1.0	4026	tags=34%, list=24%, signal=44%	
PRC1_BMI_UP.V1_DN	PRC1_BMI_UP.V1_DN	Details ...	149	-0.28277823	-1.2070076	0.14011799	1.0	1.0	3109	tags=24%, list=18%, signal=29%	
BRCA1_DN.V1_UP	BRCA1_DN.V1_UP	Details ...	95	-0.3425548	-1.1909854	0.24006623	1.0	1.0	4044	tags=34%, list=24%, signal=44%	
PTEN_DN.V2_DN	PTEN_DN.V2_DN	Details ...	133	-0.27746215	-1.1875056	0.19869708	1.0	1.0	5206	tags=36%, list=31%, signal=52%	
RB_P130_DN.V1_UP	RB_P130_DN.V1_UP	Details ...	120	-0.3163583	-1.1611344	0.26632303	1.0	1.0	2738	tags=23%, list=16%, signal=28%	
PRC2_SUZ12_UP.V1_UP	PRC2_SUZ12_UP.V1_UP		165	-0.273135	-1.1527046	0.2353896	1.0	1.0	5475	tags=38%, list=32%, signal=55%	
MYC_UP.V1_UP	MYC_UP.V1_UP		170	-0.31653833	-1.1414001	0.31684983	1.0	1.0	5830	tags=42%, list=34%, signal=63%	
CRX_DN.V1_UP	CRX_DN.V1_UP		122	-0.2593989	-1.1394812	0.21481481	1.0	1.0	3418	tags=28%, list=20%, signal=35%	
KRAS.600_UP.V1_DN	KRAS.600_UP.V1_DN		230	-0.27503148	-1.1352276	0.26805556	1.0	1.0	3935	tags=31%, list=23%, signal=40%	
E2F3_UP.V1_UP	E2F3_UP.V1_UP		178	-0.27103674	-1.1344875	0.2647059	1.0	1.0	4951	tags=36%, list=29%, signal=50%	
IL21_UP.V1_DN	IL21_UP.V1_DN		147	-0.28095123	-1.1243901	0.26013514	1.0	1.0	6520	tags=46%, list=39%, signal=75%	
ESC_J1_UP_LATE.V1_DN	ESC_J1_UP_LATE.V1_DN		161	-0.25837502	-1.1178505	0.26966292	1.0	1.0	5378	tags=39%, list=32%, signal=56%	
KRAS.BREAST_UP.V1_DN	KRAS.BREAST_UP.V1_DN		119	-0.29101738	-1.104422	0.33333334	1.0	1.0	4806	tags=39%, list=28%, signal=55%	
AKT_UP_MTOR_DN.V1_DN	AKT_UP_MTOR_DN.V1_DN		179	-0.24558224	-1.0965714	0.3273906	1.0	1.0	4306	tags=28%, list=25%, signal=38%	
CAHOY_NEURONAL	CAHOY_NEURONAL		89	-0.32573724	-1.0894437	0.37375414	1.0	1.0	6540	tags=53%, list=39%, signal=86%	
BCAT_GDS748_DN	BCAT_GDS748_DN		41	-0.2840984	-1.0825698	0.33096084	1.0	1.0	3593	tags=29%, list=21%, signal=37%	
TGFB_UP.V1_DN	TGFB_UP.V1_DN		177	-0.23917367	-1.0819128	0.30781758	1.0	1.0	4150	tags=27%, list=25%, signal=36%	
KRAS.PROSTATE_UP.V1_DN	KRAS.PROSTATE_UP.V1_DN		116	-0.28043628	-1.0815232	0.3429003	1.0	1.0	3178	tags=25%, list=19%, signal=31%	
IL21_UP.V1_UP	IL21_UP.V1_UP		161	-0.26202968	-1.076757	0.33492824	0.99402666	1.0	3554	tags=24%, list=21%, signal=30%	
WNT_UP.V1_UP	WNT_UP.V1_UP		151	-0.250513	-1.0718613	0.32267883	0.98409206	1.0	4948	tags=30%, list=29%, signal=43%	
