NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ZNF273	zinc finger protein 273 [Source:HGNC Symbol;Acc:HGNC:13067]	152	0.20879609882831573	0.054197486	Yes	
row_1	ZBED5	zinc finger BED-type containing 5 [Source:HGNC Symbol;Acc:HGNC:30803]	520	0.16674160957336426	0.08293938	Yes	
row_2	CELSR1	cadherin EGF LAG seven-pass G-type receptor 1 [Source:HGNC Symbol;Acc:HGNC:1850]	709	0.15423820912837982	0.11849303	Yes	
row_3	CDK5RAP3	CDK5 regulatory subunit associated protein 3 [Source:HGNC Symbol;Acc:HGNC:18673]	998	0.14069996774196625	0.14402951	Yes	
row_4	HMG20B	high mobility group 20B [Source:HGNC Symbol;Acc:HGNC:5002]	1328	0.12752078473567963	0.16315009	Yes	
row_5	SLC35E3	solute carrier family 35 member E3 [Source:HGNC Symbol;Acc:HGNC:20864]	1445	0.12334158271551132	0.19361453	Yes	
row_6	GAS1	growth arrest specific 1 [Source:HGNC Symbol;Acc:HGNC:4165]	1782	0.11408878117799759	0.20825534	Yes	
row_7	DDIT4	DNA damage inducible transcript 4 [Source:HGNC Symbol;Acc:HGNC:24944]	2160	0.1034262627363205	0.21724191	Yes	
row_8	RDH5	retinol dehydrogenase 5 [Source:HGNC Symbol;Acc:HGNC:9940]	2168	0.1031680777668953	0.24805292	Yes	
row_9	HLX	H2.0 like homeobox [Source:HGNC Symbol;Acc:HGNC:4978]	2506	0.09528502821922302	0.2569433	Yes	
row_10	MZT2A	mitotic spindle organizing protein 2A [Source:HGNC Symbol;Acc:HGNC:33187]	3030	0.08332166075706482	0.2512023	Yes	
row_11	TCF25	transcription factor 25 [Source:HGNC Symbol;Acc:HGNC:29181]	3161	0.0808485820889473	0.26797682	Yes	
row_12	BASP1	brain abundant membrane attached signal protein 1 [Source:HGNC Symbol;Acc:HGNC:957]	3284	0.07829362899065018	0.28445163	Yes	
row_13	RALY	RALY heterogeneous nuclear ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:15921]	4148	0.06347621977329254	0.25257742	No	
row_14	MYBL1	MYB proto-oncogene like 1 [Source:HGNC Symbol;Acc:HGNC:7547]	4441	0.058895401656627655	0.25311774	No	
row_15	ISYNA1	inositol-3-phosphate synthase 1 [Source:HGNC Symbol;Acc:HGNC:29821]	4822	0.05272457003593445	0.2465811	No	
row_16	ZNF318	zinc finger protein 318 [Source:HGNC Symbol;Acc:HGNC:13578]	5341	0.04528486356139183	0.22962368	No	
row_17	ZNF32	zinc finger protein 32 [Source:HGNC Symbol;Acc:HGNC:13095]	5571	0.04201485589146614	0.22878419	No	
row_18	SNAI2	snail family transcriptional repressor 2 [Source:HGNC Symbol;Acc:HGNC:11094]	5795	0.038782499730587006	0.22732157	No	
row_19	LAP3	leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]	6413	0.029558220878243446	0.1997438	No	
