NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AOPEP	aminopeptidase O (putative) [Source:HGNC Symbol;Acc:HGNC:1361]	1547	0.12057797610759735	-0.05370699	No	
row_1	GAD1	glutamate decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:4092]	1744	0.11507001519203186	-0.029151937	No	
row_2	FZD7	frizzled class receptor 7 [Source:HGNC Symbol;Acc:HGNC:4045]	2021	0.10682716965675354	-0.0119239725	No	
row_3	NEDD9	neural precursor cell expressed, developmentally down-regulated 9 [Source:HGNC Symbol;Acc:HGNC:7733]	2380	0.09800627827644348	-0.0023231665	No	
row_4	MSX2	msh homeobox 2 [Source:HGNC Symbol;Acc:HGNC:7392]	2629	0.09193940460681915	0.0118842665	No	
row_5	LEF1	lymphoid enhancer binding factor 1 [Source:HGNC Symbol;Acc:HGNC:6551]	2805	0.08793417364358902	0.029155415	No	
row_6	SLC3A2	solute carrier family 3 member 2 [Source:HGNC Symbol;Acc:HGNC:11026]	3861	0.06812755018472672	-0.0119025	No	
row_7	BAG3	BAG cochaperone 3 [Source:HGNC Symbol;Acc:HGNC:939]	4289	0.06130339205265045	-0.01792091	No	
row_8	TP53I3	tumor protein p53 inducible protein 3 [Source:HGNC Symbol;Acc:HGNC:19373]	4502	0.057921458035707474	-0.012271899	No	
row_9	C3orf52	chromosome 3 open reading frame 52 [Source:HGNC Symbol;Acc:HGNC:26255]	4714	0.05461177974939346	-0.0076037296	No	
row_10	RUNX1	RUNX family transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:10471]	4922	0.051300156861543655	-0.0037393821	No	
row_11	FGF20	fibroblast growth factor 20 [Source:HGNC Symbol;Acc:HGNC:3677]	5173	0.04737618938088417	-0.0036541603	No	
row_12	BAMBI	BMP and activin membrane bound inhibitor [Source:HGNC Symbol;Acc:HGNC:30251]	5759	0.03925061970949173	-0.025957758	No	
row_13	UBE2N	ubiquitin conjugating enzyme E2 N [Source:HGNC Symbol;Acc:HGNC:12492]	6656	0.025884287431836128	-0.07087602	No	
row_14	MYB	MYB proto-oncogene, transcription factor [Source:HGNC Symbol;Acc:HGNC:7545]	6914	0.02245771326124668	-0.07903579	No	
row_15	PKP2	plakophilin 2 [Source:HGNC Symbol;Acc:HGNC:9024]	6971	0.02156730368733406	-0.07557412	No	
row_16	PHLDA2	pleckstrin homology like domain family A member 2 [Source:HGNC Symbol;Acc:HGNC:12385]	7670	0.012609614059329033	-0.11294028	No	
row_17	WNT11	Wnt family member 11 [Source:HGNC Symbol;Acc:HGNC:12776]	7773	0.011609015055000782	-0.115331635	No	
row_18	PDE4D	phosphodiesterase 4D [Source:HGNC Symbol;Acc:HGNC:8783]	7821	0.011065042577683926	-0.114637375	No	
row_19	GCNT1	glucosaminyl (N-acetyl) transferase 1 [Source:HGNC Symbol;Acc:HGNC:4203]	7946	0.009659294970333576	-0.11894404	No	
row_20	CEBPB	CCAAT enhancer binding protein beta [Source:HGNC Symbol;Acc:HGNC:1834]	8506	0.002428983338177204	-0.15127921	No	
row_21	FAM3C	FAM3 metabolism regulating signaling molecule C [Source:HGNC Symbol;Acc:HGNC:18664]	8784	-0.0010897809406742454	-0.16733795	No	
row_22	COTL1	coactosin like F-actin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:18304]	9764	-0.014341279864311218	-0.220798	No	
row_23	QPCT	glutaminyl-peptide cyclotransferase [Source:HGNC Symbol;Acc:HGNC:9753]	10525	-0.025328896939754486	-0.25783822	No	
row_24	CASP9	caspase 9 [Source:HGNC Symbol;Acc:HGNC:1511]	10578	-0.02622874826192856	-0.25267488	No	
row_25	FAH	fumarylacetoacetate hydrolase [Source:HGNC Symbol;Acc:HGNC:3579]	10821	-0.02924293652176857	-0.25781426	No	
row_26	ITGA9	integrin subunit alpha 9 [Source:HGNC Symbol;Acc:HGNC:6145]	12094	-0.04754394292831421	-0.31818908	No	
row_27	DDAH1	dimethylarginine dimethylaminohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:2715]	12549	-0.05535769462585449	-0.32767457	No	
row_28	KLRC3	killer cell lectin like receptor C3 [Source:HGNC Symbol;Acc:HGNC:6376]	12842	-0.06049971282482147	-0.32595217	No	
row_29	AQP3	aquaporin 3 (Gill blood group) [Source:HGNC Symbol;Acc:HGNC:636]	13252	-0.067570261657238	-0.32893544	Yes	
row_30	SLC39A14	solute carrier family 39 member 14 [Source:HGNC Symbol;Acc:HGNC:20858]	13614	-0.0743589997291565	-0.32694334	Yes	
row_31	GCH1	GTP cyclohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:4193]	13918	-0.08027135580778122	-0.31965908	Yes	
row_32	SRPX	sushi repeat containing protein X-linked [Source:HGNC Symbol;Acc:HGNC:11309]	14394	-0.09058823436498642	-0.31931695	Yes	
row_33	CRYBG1	crystallin beta-gamma domain containing 1 [Source:HGNC Symbol;Acc:HGNC:356]	14462	-0.09202305227518082	-0.2943662	Yes	
row_34	DYNC1I1	dynein cytoplasmic 1 intermediate chain 1 [Source:HGNC Symbol;Acc:HGNC:2963]	14731	-0.0984266921877861	-0.27930436	Yes	
row_35	PLEKHB2	pleckstrin homology domain containing B2 [Source:HGNC Symbol;Acc:HGNC:19236]	14818	-0.1006603017449379	-0.25276437	Yes	
row_36	CA2	carbonic anhydrase 2 [Source:HGNC Symbol;Acc:HGNC:1373]	14831	-0.1010628491640091	-0.22171636	Yes	
row_37	KCTD12	potassium channel tetramerization domain containing 12 [Source:HGNC Symbol;Acc:HGNC:14678]	14884	-0.10241024196147919	-0.19261332	Yes	
row_38	GADD45G	growth arrest and DNA damage inducible gamma [Source:HGNC Symbol;Acc:HGNC:4097]	14984	-0.10453730821609497	-0.16562474	Yes	
row_39	NPTX1	neuronal pentraxin 1 [Source:HGNC Symbol;Acc:HGNC:7952]	15409	-0.11690713465213776	-0.1539923	Yes	
row_40	FLT4	fms related receptor tyrosine kinase 4 [Source:HGNC Symbol;Acc:HGNC:3767]	15611	-0.12300584465265274	-0.1272395	Yes	
row_41	ABCB1	ATP binding cassette subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:40]	16434	-0.16208520531654358	-0.124975674	Yes	
row_42	ASRGL1	asparaginase and isoaspartyl peptidase 1 [Source:HGNC Symbol;Acc:HGNC:16448]	16446	-0.16254450380802155	-0.074548095	Yes	
