NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL7A1	collagen type VII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2214]	28	0.2571183443069458	0.023243455	Yes	
row_1	CSPG5	chondroitin sulfate proteoglycan 5 [Source:HGNC Symbol;Acc:HGNC:2467]	47	0.24248038232326508	0.045664232	Yes	
row_2	CLDN1	claudin 1 [Source:HGNC Symbol;Acc:HGNC:2032]	96	0.2232917994260788	0.06443936	Yes	
row_3	TNFSF9	TNF superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:11939]	204	0.19915194809436798	0.07736211	Yes	
row_4	CSPG4	chondroitin sulfate proteoglycan 4 [Source:HGNC Symbol;Acc:HGNC:2466]	207	0.1989210993051529	0.096515484	Yes	
row_5	BMP4	bone morphogenetic protein 4 [Source:HGNC Symbol;Acc:HGNC:1071]	255	0.19189868867397308	0.112308644	Yes	
row_6	GABRE	gamma-aminobutyric acid type A receptor subunit epsilon [Source:HGNC Symbol;Acc:HGNC:4085]	474	0.17031683027744293	0.11582742	Yes	
row_7	KRT17	keratin 17 [Source:HGNC Symbol;Acc:HGNC:6427]	721	0.15334607660770416	0.11603452	Yes	
row_8	MICB	MHC class I polypeptide-related sequence B [Source:HGNC Symbol;Acc:HGNC:7091]	823	0.14816352725028992	0.12437458	Yes	
row_9	PLAT	plasminogen activator, tissue type [Source:HGNC Symbol;Acc:HGNC:9051]	830	0.14775395393371582	0.13833241	Yes	
row_10	SLC2A1	solute carrier family 2 member 1 [Source:HGNC Symbol;Acc:HGNC:11005]	838	0.1474222093820572	0.15219855	Yes	
row_11	ITGA3	integrin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6139]	867	0.1461685746908188	0.16469264	Yes	
row_12	SLC7A5	solute carrier family 7 member 5 [Source:HGNC Symbol;Acc:HGNC:11063]	873	0.1459280550479889	0.17853312	Yes	
row_13	LTBP4	latent transforming growth factor beta binding protein 4 [Source:HGNC Symbol;Acc:HGNC:6717]	897	0.14489507675170898	0.19120158	Yes	
row_14	AGRN	agrin [Source:HGNC Symbol;Acc:HGNC:329]	987	0.14124588668346405	0.19958605	Yes	
row_15	SLC29A1	solute carrier family 29 member 1 (Augustine blood group) [Source:HGNC Symbol;Acc:HGNC:11003]	1207	0.13206297159194946	0.19933905	Yes	
row_16	COL13A1	collagen type XIII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2190]	1304	0.12839291989803314	0.2060614	Yes	
row_17	LRP5	LDL receptor related protein 5 [Source:HGNC Symbol;Acc:HGNC:6697]	1357	0.1261633187532425	0.21518801	Yes	
row_18	EDN1	endothelin 1 [Source:HGNC Symbol;Acc:HGNC:3176]	1411	0.12450908869504929	0.22409481	Yes	
row_19	INHBE	inhibin subunit beta E [Source:HGNC Symbol;Acc:HGNC:24029]	1430	0.12382037192583084	0.2350192	Yes	
row_20	STC2	stanniocalcin 2 [Source:HGNC Symbol;Acc:HGNC:11374]	1629	0.11842174082994461	0.23470117	Yes	
row_21	TNFRSF9	TNF receptor superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:11924]	1632	0.11833303421735764	0.24604677	Yes	
row_22	MFAP5	microfibril associated protein 5 [Source:HGNC Symbol;Acc:HGNC:29673]	1670	0.11703513562679291	0.2551823	Yes	
