NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	STK38L	serine/threonine kinase 38 like [Source:HGNC Symbol;Acc:HGNC:17848]	116	0.21780116856098175	0.022411965	No	
row_1	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	226	0.19541053473949432	0.04222748	No	
row_2	TTYH3	tweety family member 3 [Source:HGNC Symbol;Acc:HGNC:22222]	229	0.19518692791461945	0.06836608	No	
row_3	AKT2	AKT serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:392]	813	0.14875566959381104	0.05376146	No	
row_4	FGD6	FYVE, RhoGEF and PH domain containing 6 [Source:HGNC Symbol;Acc:HGNC:21740]	846	0.1469026356935501	0.0716234	No	
row_5	COLGALT2	collagen beta(1-O)galactosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:16790]	993	0.1408369243144989	0.08190055	No	
row_6	EGFL6	EGF like domain multiple 6 [Source:HGNC Symbol;Acc:HGNC:3235]	1084	0.13701367378234863	0.09498841	No	
row_7	NCEH1	neutral cholesterol ester hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:29260]	1237	0.13081972301006317	0.10356177	No	
row_8	ADORA2B	adenosine A2b receptor [Source:HGNC Symbol;Acc:HGNC:264]	1384	0.12556421756744385	0.111784376	No	
row_9	NIPAL3	NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233]	2096	0.10493563115596771	0.08368486	No	
row_10	FRMD5	FERM domain containing 5 [Source:HGNC Symbol;Acc:HGNC:28214]	2513	0.0950932428240776	0.07177704	No	
row_11	SLC27A1	solute carrier family 27 member 1 [Source:HGNC Symbol;Acc:HGNC:10995]	2657	0.09131983667612076	0.07557108	No	
row_12	PPP1R3D	protein phosphatase 1 regulatory subunit 3D [Source:HGNC Symbol;Acc:HGNC:9294]	2840	0.08708231896162033	0.076479435	No	
row_13	RASA2	RAS p21 protein activator 2 [Source:HGNC Symbol;Acc:HGNC:9872]	2969	0.08468431234359741	0.08027147	No	
row_14	AIFM3	AIF family member 3 [Source:HGNC Symbol;Acc:HGNC:26398]	3141	0.0812707468867302	0.081051156	No	
row_15	CORO1C	coronin 1C [Source:HGNC Symbol;Acc:HGNC:2254]	3837	0.06850606203079224	0.04900099	No	
row_16	LYRM4	LYR motif containing 4 [Source:HGNC Symbol;Acc:HGNC:21365]	4159	0.06334126740694046	0.038462427	No	
row_17	GRHL1	grainyhead like transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:17923]	4160	0.06333499401807785	0.04698251	No	
row_18	ABHD1	abhydrolase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17553]	4670	0.055391114205121994	0.024211885	No	
row_19	RSPO1	R-spondin 1 [Source:HGNC Symbol;Acc:HGNC:21679]	4695	0.054873041808605194	0.030168625	No	
row_20	AQP9	aquaporin 9 [Source:HGNC Symbol;Acc:HGNC:643]	4796	0.05321023240685463	0.031389147	No	
row_21	ABCB9	ATP binding cassette subfamily B member 9 [Source:HGNC Symbol;Acc:HGNC:50]	5081	0.048766233026981354	0.021086775	No	
