NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ING4	inhibitor of growth family member 4 [Source:HGNC Symbol;Acc:HGNC:19423]	102	0.22142170369625092	0.015877703	Yes	
row_1	IP6K2	inositol hexakisphosphate kinase 2 [Source:HGNC Symbol;Acc:HGNC:17313]	106	0.22091752290725708	0.037594784	Yes	
row_2	HOXA10	homeobox A10 [Source:HGNC Symbol;Acc:HGNC:5100]	111	0.21914221346378326	0.059076425	Yes	
row_3	ZNF337	zinc finger protein 337 [Source:HGNC Symbol;Acc:HGNC:15809]	139	0.21353508532047272	0.0786341	Yes	
row_4	OTUD1	OTU deubiquitinase 1 [Source:HGNC Symbol;Acc:HGNC:27346]	177	0.20418058335781097	0.09666975	Yes	
row_5	TFAP2A	transcription factor AP-2 alpha [Source:HGNC Symbol;Acc:HGNC:11742]	262	0.19094569981098175	0.11059771	Yes	
row_6	STAT2	signal transducer and activator of transcription 2 [Source:HGNC Symbol;Acc:HGNC:11363]	358	0.18008606135845184	0.12279497	Yes	
row_7	XAF1	XIAP associated factor 1 [Source:HGNC Symbol;Acc:HGNC:30932]	412	0.17563296854496002	0.1370494	Yes	
row_8	ZNF500	zinc finger protein 500 [Source:HGNC Symbol;Acc:HGNC:23716]	423	0.17481225728988647	0.15378049	Yes	
row_9	YEATS2	YEATS domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25489]	453	0.17201082408428192	0.16910364	Yes	
row_10	PRRT2	proline rich transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:30500]	477	0.1701267510652542	0.18459699	Yes	
row_11	ANKZF1	ankyrin repeat and zinc finger peptidyl tRNA hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:25527]	723	0.1532745212316513	0.18521366	Yes	
row_12	CDKN1B	cyclin dependent kinase inhibitor 1B [Source:HGNC Symbol;Acc:HGNC:1785]	819	0.14848533272743225	0.19427891	Yes	
row_13	ZNF226	zinc finger protein 226 [Source:HGNC Symbol;Acc:HGNC:13019]	856	0.14664572477340698	0.20667166	Yes	
row_14	NPHP3	nephrocystin 3 [Source:HGNC Symbol;Acc:HGNC:7907]	860	0.14654409885406494	0.22101745	Yes	
row_15	CDRT4	CMT1A duplicated region transcript 4 [Source:HGNC Symbol;Acc:HGNC:14383]	934	0.14341959357261658	0.23088938	Yes	
row_16	ACBD4	acyl-CoA binding domain containing 4 [Source:HGNC Symbol;Acc:HGNC:23337]	1005	0.14020349085330963	0.24062103	Yes	
row_17	STX16	syntaxin 16 [Source:HGNC Symbol;Acc:HGNC:11431]	1023	0.13909071683883667	0.25339526	Yes	
row_18	CROCCP2	CROCC pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:28170]	1048	0.13818374276161194	0.26566318	Yes	
row_19	APBB3	amyloid beta precursor protein binding family B member 3 [Source:HGNC Symbol;Acc:HGNC:20708]	1100	0.13649022579193115	0.27615708	Yes	
row_20	ADM	adrenomedullin [Source:HGNC Symbol;Acc:HGNC:259]	1300	0.12857212126255035	0.2770619	Yes	
row_21	MPPE1	metallophosphoesterase 1 [Source:HGNC Symbol;Acc:HGNC:15988]	1308	0.12831325829029083	0.28936288	Yes	
row_22	LRIG2	leucine rich repeats and immunoglobulin like domains 2 [Source:HGNC Symbol;Acc:HGNC:20889]	1361	0.12607359886169434	0.29876485	Yes	
row_23	FZD2	frizzled class receptor 2 [Source:HGNC Symbol;Acc:HGNC:4040]	1416	0.12442775070667267	0.30788475	Yes	
row_24	NR1H3	nuclear receptor subfamily 1 group H member 3 [Source:HGNC Symbol;Acc:HGNC:7966]	1462	0.12288230657577515	0.31738687	Yes	
row_25	AMT	aminomethyltransferase [Source:HGNC Symbol;Acc:HGNC:473]	1559	0.12037793546915054	0.32360685	Yes	
row_26	ABCC10	ATP binding cassette subfamily C member 10 [Source:HGNC Symbol;Acc:HGNC:52]	1564	0.12018955498933792	0.33528113	Yes	
row_27	LDB1	LIM domain binding 1 [Source:HGNC Symbol;Acc:HGNC:6532]	1590	0.1194164901971817	0.3456295	Yes	
row_28	PLCD1	phospholipase C delta 1 [Source:HGNC Symbol;Acc:HGNC:9060]	1598	0.11916106194257736	0.35702336	Yes	
row_29	STC2	stanniocalcin 2 [Source:HGNC Symbol;Acc:HGNC:11374]	1629	0.11842174082994461	0.3669757	Yes	
row_30	MRI1	methylthioribose-1-phosphate isomerase 1 [Source:HGNC Symbol;Acc:HGNC:28469]	1929	0.10972882807254791	0.3600641	Yes	
row_31	ADAMTSL4	ADAMTS like 4 [Source:HGNC Symbol;Acc:HGNC:19706]	2308	0.0997571051120758	0.3474646	Yes	
row_32	ARRDC3	arrestin domain containing 3 [Source:HGNC Symbol;Acc:HGNC:29263]	2433	0.09709680825471878	0.34971148	Yes	
row_33	ZNF302	zinc finger protein 302 [Source:HGNC Symbol;Acc:HGNC:13848]	2563	0.09364650398492813	0.35131896	Yes	
row_34	POLL	DNA polymerase lambda [Source:HGNC Symbol;Acc:HGNC:9184]	2602	0.09265066683292389	0.35824117	Yes	
row_35	ACYP1	acylphosphatase 1 [Source:HGNC Symbol;Acc:HGNC:179]	2681	0.09092888981103897	0.36261323	Yes	
row_36	NYNRIN	NYN domain and retroviral integrase containing [Source:HGNC Symbol;Acc:HGNC:20165]	2762	0.08890402317047119	0.3666656	Yes	
row_37	CC2D1A	coiled-coil and C2 domain containing 1A [Source:HGNC Symbol;Acc:HGNC:30237]	2837	0.08718433976173401	0.37090445	Yes	
row_38	SIX5	SIX homeobox 5 [Source:HGNC Symbol;Acc:HGNC:10891]	3036	0.0832088366150856	0.36737272	Yes	
row_39	TAF15	TATA-box binding protein associated factor 15 [Source:HGNC Symbol;Acc:HGNC:11547]	3081	0.08219386637210846	0.37290162	Yes	
row_40	PAN2	poly(A) specific ribonuclease subunit PAN2 [Source:HGNC Symbol;Acc:HGNC:20074]	3101	0.08191128820180893	0.37988973	Yes	
row_41	TXNIP	thioredoxin interacting protein [Source:HGNC Symbol;Acc:HGNC:16952]	3206	0.07987715303897858	0.38161972	Yes	
row_42	NSUN5P2	NSUN5 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:16609]	3220	0.07970114797353745	0.3887457	Yes	
row_43	DCP1B	decapping mRNA 1B [Source:HGNC Symbol;Acc:HGNC:24451]	3225	0.0795724168419838	0.3963943	Yes	
row_44	ARL4D	ADP ribosylation factor like GTPase 4D [Source:HGNC Symbol;Acc:HGNC:656]	3271	0.07855714112520218	0.40150326	Yes	
row_45	IFIT2	interferon induced protein with tetratricopeptide repeats 2 [Source:HGNC Symbol;Acc:HGNC:5409]	3369	0.07713999599218369	0.4033784	Yes	
row_46	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) [Source:HGNC Symbol;Acc:HGNC:23989]	3384	0.07689214497804642	0.41016647	Yes	
row_47	DHRS3	dehydrogenase/reductase 3 [Source:HGNC Symbol;Acc:HGNC:17693]	3468	0.0751570537686348	0.41267788	Yes	
row_48	DXO	decapping exoribonuclease [Source:HGNC Symbol;Acc:HGNC:2992]	3728	0.07050826400518417	0.4042586	Yes	
row_49	GDF5	growth differentiation factor 5 [Source:HGNC Symbol;Acc:HGNC:4220]	3866	0.06802354753017426	0.40285063	Yes	
row_50	BBC3	BCL2 binding component 3 [Source:HGNC Symbol;Acc:HGNC:17868]	3869	0.06798382848501205	0.40946966	Yes	
row_51	PAPLN	papilin, proteoglycan like sulfated glycoprotein [Source:HGNC Symbol;Acc:HGNC:19262]	3991	0.06621070206165314	0.40883383	Yes	
row_52	COL1A1	collagen type I alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2197]	4006	0.06601102650165558	0.41454348	Yes	
row_53	GRHL1	grainyhead like transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:17923]	4160	0.06333499401807785	0.411719	No	
row_54	WEE1	WEE1 G2 checkpoint kinase [Source:HGNC Symbol;Acc:HGNC:12761]	4550	0.05708346888422966	0.39423567	No	
row_55	LRIG3	leucine rich repeats and immunoglobulin like domains 3 [Source:HGNC Symbol;Acc:HGNC:30991]	4551	0.05707406625151634	0.39989236	No	
row_56	CYP2R1	cytochrome P450 family 2 subfamily R member 1 [Source:HGNC Symbol;Acc:HGNC:20580]	4623	0.05600137636065483	0.4012191	No	
row_57	TCAIM	T cell activation inhibitor, mitochondrial [Source:HGNC Symbol;Acc:HGNC:25241]	4875	0.05194952338933945	0.39143634	No	
row_58	CIRBP	cold inducible RNA binding protein [Source:HGNC Symbol;Acc:HGNC:1982]	5017	0.04977429285645485	0.38798168	No	
row_59	PEX6	peroxisomal biogenesis factor 6 [Source:HGNC Symbol;Acc:HGNC:8859]	5029	0.049561165273189545	0.39223942	No	
row_60	GSDMB	gasdermin B [Source:HGNC Symbol;Acc:HGNC:23690]	5281	0.046074725687503815	0.38187438	No	
row_61	SLC25A46	solute carrier family 25 member 46 [Source:HGNC Symbol;Acc:HGNC:25198]	5583	0.04178467392921448	0.36810973	No	
row_62	AKIP1	A-kinase interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:1170]	5922	0.037042271345853806	0.35167396	No	
row_63	FBXO38	F-box protein 38 [Source:HGNC Symbol;Acc:HGNC:28844]	6404	0.02962813898921013	0.32599655	No	
row_64	HSPG2	heparan sulfate proteoglycan 2 [Source:HGNC Symbol;Acc:HGNC:5273]	6520	0.028144819661974907	0.32194486	No	
row_65	ELMOD3	ELMO domain containing 3 [Source:HGNC Symbol;Acc:HGNC:26158]	6725	0.024992013350129128	0.31228626	No	
row_66	CKB	creatine kinase B [Source:HGNC Symbol;Acc:HGNC:1991]	6800	0.02395947463810444	0.31025878	No	
row_67	DDX17	DEAD-box helicase 17 [Source:HGNC Symbol;Acc:HGNC:2740]	6883	0.022805776447057724	0.30764103	No	
row_68	MOSPD2	motile sperm domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28381]	7032	0.020818298682570457	0.3009001	No	
row_69	TRIM56	tripartite motif containing 56 [Source:HGNC Symbol;Acc:HGNC:19028]	7218	0.018425120040774345	0.2917209	No	
row_70	ZFP64	ZFP64 zinc finger protein [Source:HGNC Symbol;Acc:HGNC:15940]	7300	0.017391568049788475	0.28862604	No	
row_71	RABGAP1	RAB GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:17155]	7380	0.01642245054244995	0.2855541	No	
row_72	ZNF585B	zinc finger protein 585B [Source:HGNC Symbol;Acc:HGNC:30948]	7429	0.015858780592679977	0.28427047	No	
