NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TIA1	TIA1 cytotoxic granule associated RNA binding protein [Source:HGNC Symbol;Acc:HGNC:11802]	88	0.22449108958244324	0.010241626	No	
row_1	N4BP2L2-IT2	N4BPL2 intronic transcript 2 [Source:HGNC Symbol;Acc:HGNC:25038]	92	0.22415025532245636	0.025531935	No	
row_2	NTF4	neurotrophin 4 [Source:HGNC Symbol;Acc:HGNC:8024]	175	0.20465858280658722	0.034762893	No	
row_3	ROS1	ROS proto-oncogene 1, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:10261]	206	0.19900983572006226	0.04670701	No	
row_4	PBX2	PBX homeobox 2 [Source:HGNC Symbol;Acc:HGNC:8633]	373	0.1788613498210907	0.049145088	No	
row_5	ILF3	interleukin enhancer binding factor 3 [Source:HGNC Symbol;Acc:HGNC:6038]	687	0.1555957794189453	0.041205607	No	
row_6	HRH1	histamine receptor H1 [Source:HGNC Symbol;Acc:HGNC:5182]	693	0.15530924499034882	0.051625628	No	
row_7	KRT17	keratin 17 [Source:HGNC Symbol;Acc:HGNC:6427]	721	0.15334607660770416	0.060597364	No	
row_8	ZNF266	zinc finger protein 266 [Source:HGNC Symbol;Acc:HGNC:13059]	768	0.15086443722248077	0.068264045	No	
row_9	RYK	receptor like tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:10481]	826	0.1479644775390625	0.07507419	No	
row_10	WTAP	WT1 associated protein [Source:HGNC Symbol;Acc:HGNC:16846]	827	0.14789311587810516	0.08528076	No	
row_11	ITGA3	integrin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6139]	867	0.1461685746908188	0.09304108	No	
row_12	PBXIP1	PBX homeobox interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:21199]	924	0.14379072189331055	0.09962285	No	
row_13	ZNF133	zinc finger protein 133 [Source:HGNC Symbol;Acc:HGNC:12917]	973	0.14189983904361725	0.106551506	No	
row_14	MLC1	modulator of VRAC current 1 [Source:HGNC Symbol;Acc:HGNC:17082]	985	0.14130865037441254	0.11564727	No	
row_15	ATR	ATR serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:882]	1038	0.1384442150592804	0.12209875	No	
row_16	SNAPC1	small nuclear RNA activating complex polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:11134]	1614	0.11871988326311111	0.095980026	No	
row_17	TPM2	tropomyosin 2 [Source:HGNC Symbol;Acc:HGNC:12011]	1633	0.11828269064426422	0.10306898	No	
row_18	ITGB6	integrin subunit beta 6 [Source:HGNC Symbol;Acc:HGNC:6161]	1725	0.11569440364837646	0.10562318	No	
row_19	KIAA0040	KIAA0040 [Source:HGNC Symbol;Acc:HGNC:28950]	1896	0.11071274429559708	0.10311941	No	
row_20	RBMS2	RNA binding motif single stranded interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:9909]	1931	0.10970638692378998	0.10866172	No	
row_21	CSF2	colony stimulating factor 2 [Source:HGNC Symbol;Acc:HGNC:2434]	2031	0.10658986866474152	0.1101102	No	
row_22	S100A4	S100 calcium binding protein A4 [Source:HGNC Symbol;Acc:HGNC:10494]	2198	0.10252196341753006	0.10727985	No	
row_23	MOK	MOK protein kinase [Source:HGNC Symbol;Acc:HGNC:9833]	2204	0.10235762596130371	0.114045516	No	
row_24	KRT5	keratin 5 [Source:HGNC Symbol;Acc:HGNC:6442]	2242	0.10149111598730087	0.11884184	No	
