NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MEGF6	multiple EGF like domains 6 [Source:HGNC Symbol;Acc:HGNC:3232]	186	0.20233199000358582	0.009950898	Yes	
row_1	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1 [Source:HGNC Symbol;Acc:HGNC:9108]	252	0.19218502938747406	0.026053071	Yes	
row_2	RARA	retinoic acid receptor alpha [Source:HGNC Symbol;Acc:HGNC:9864]	330	0.1830340474843979	0.04048959	Yes	
row_3	GAS8-AS1	GAS8 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:1197]	405	0.1763572096824646	0.05441087	Yes	
row_4	CBX3	chromobox 3 [Source:HGNC Symbol;Acc:HGNC:1553]	417	0.17527645826339722	0.07197162	Yes	
row_5	RAB43	RAB43, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:19983]	659	0.15759244561195374	0.073997535	Yes	
row_6	HSD17B7P2	hydroxysteroid 17-beta dehydrogenase 7 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:28120]	725	0.15302683413028717	0.08603014	Yes	
row_7	IFNE	interferon epsilon [Source:HGNC Symbol;Acc:HGNC:18163]	736	0.15220198035240173	0.1012524	Yes	
row_8	SNAPC4	small nuclear RNA activating complex polypeptide 4 [Source:HGNC Symbol;Acc:HGNC:11137]	744	0.15190964937210083	0.116622925	Yes	
row_9	ZC2HC1A	zinc finger C2HC-type containing 1A [Source:HGNC Symbol;Acc:HGNC:24277]	803	0.14925888180732727	0.12868081	Yes	
row_10	PLAT	plasminogen activator, tissue type [Source:HGNC Symbol;Acc:HGNC:9051]	830	0.14775395393371582	0.14248797	Yes	
row_11	ZNF646	zinc finger protein 646 [Source:HGNC Symbol;Acc:HGNC:29004]	859	0.14657634496688843	0.15605363	Yes	
row_12	LRRC8E	leucine rich repeat containing 8 VRAC subunit E [Source:HGNC Symbol;Acc:HGNC:26272]	976	0.14171560108661652	0.16387355	Yes	
row_13	FBXL19	F-box and leucine rich repeat protein 19 [Source:HGNC Symbol;Acc:HGNC:25300]	1173	0.13351310789585114	0.16607684	Yes	
row_14	AXIN1	axin 1 [Source:HGNC Symbol;Acc:HGNC:903]	1395	0.1251031756401062	0.1659173	Yes	
row_15	GJB5	gap junction protein beta 5 [Source:HGNC Symbol;Acc:HGNC:4287]	1455	0.12310701608657837	0.17519778	Yes	
row_16	WASH3P	WASP family homolog 3, pseudogene [Source:HGNC Symbol;Acc:HGNC:24362]	1517	0.12143208831548691	0.18418507	Yes	
