NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TNFAIP8	TNF alpha induced protein 8 [Source:HGNC Symbol;Acc:HGNC:17260]	141	0.21318930387496948	0.008898208	Yes	
row_1	AP3M2	adaptor related protein complex 3 subunit mu 2 [Source:HGNC Symbol;Acc:HGNC:570]	154	0.20848552882671356	0.02510778	Yes	
row_2	PLEC	plectin [Source:HGNC Symbol;Acc:HGNC:9069]	209	0.19862000644207	0.03801168	Yes	
row_3	PDE4A	phosphodiesterase 4A [Source:HGNC Symbol;Acc:HGNC:8780]	350	0.18096819519996643	0.04435376	Yes	
row_4	MAFK	MAF bZIP transcription factor K [Source:HGNC Symbol;Acc:HGNC:6782]	366	0.17961858212947845	0.05804095	Yes	
row_5	ZNF276	zinc finger protein 276 [Source:HGNC Symbol;Acc:HGNC:23330]	435	0.17310422658920288	0.06803851	Yes	
row_6	CDH3	cadherin 3 [Source:HGNC Symbol;Acc:HGNC:1762]	533	0.16558708250522614	0.075696334	Yes	
row_7	ECM1	extracellular matrix protein 1 [Source:HGNC Symbol;Acc:HGNC:3153]	686	0.15560002624988556	0.07926333	Yes	
row_8	PIM1	Pim-1 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:8986]	814	0.1487548053264618	0.08376556	Yes	
row_9	SLC7A5	solute carrier family 7 member 5 [Source:HGNC Symbol;Acc:HGNC:11063]	873	0.1459280550479889	0.09215328	Yes	
row_10	CCL21	C-C motif chemokine ligand 21 [Source:HGNC Symbol;Acc:HGNC:10620]	905	0.14454731345176697	0.10203913	Yes	
row_11	CNNM4	cyclin and CBS domain divalent metal cation transport mediator 4 [Source:HGNC Symbol;Acc:HGNC:105]	959	0.14242763817310333	0.110440865	Yes	
row_12	DUSP6	dual specificity phosphatase 6 [Source:HGNC Symbol;Acc:HGNC:3072]	961	0.14240454137325287	0.12194188	Yes	
row_13	CAPN10	calpain 10 [Source:HGNC Symbol;Acc:HGNC:1477]	1047	0.13821476697921753	0.12809321	Yes	
row_14	TNFRSF21	TNF receptor superfamily member 21 [Source:HGNC Symbol;Acc:HGNC:13469]	1115	0.13573211431503296	0.13511649	Yes	
row_15	MED26	mediator complex subunit 26 [Source:HGNC Symbol;Acc:HGNC:2376]	1116	0.13568563759326935	0.14613168	Yes	
row_16	TET3	tet methylcytosine dioxygenase 3 [Source:HGNC Symbol;Acc:HGNC:28313]	1166	0.1336747258901596	0.15406139	Yes	
row_17	JUNB	JunB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6205]	1202	0.13216738402843475	0.16270366	Yes	
row_18	LIME1	Lck interacting transmembrane adaptor 1 [Source:HGNC Symbol;Acc:HGNC:26016]	1332	0.12736760079860687	0.16535036	Yes	
row_19	FOS	Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]	1388	0.12546171247959137	0.17225552	Yes	
row_20	AHR	aryl hydrocarbon receptor [Source:HGNC Symbol;Acc:HGNC:348]	1452	0.12317544966936111	0.17849796	Yes	
row_21	ZBTB7A	zinc finger and BTB domain containing 7A [Source:HGNC Symbol;Acc:HGNC:18078]	1563	0.12019262462854385	0.18169528	Yes	
row_22	NUDT13	nudix hydrolase 13 [Source:HGNC Symbol;Acc:HGNC:18827]	1574	0.11982561647891998	0.19082657	Yes	
row_23	TRIB1	tribbles pseudokinase 1 [Source:HGNC Symbol;Acc:HGNC:16891]	1625	0.1185743436217308	0.19747077	Yes	
row_24	TNFRSF9	TNF receptor superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:11924]	1632	0.11833303421735764	0.20671943	Yes	
row_25	CENPT	centromere protein T [Source:HGNC Symbol;Acc:HGNC:25787]	1780	0.11413447558879852	0.20721836	Yes	
row_26	DUSP2	dual specificity phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:3068]	1785	0.11405181139707565	0.21623875	Yes	
row_27	TMEM158	transmembrane protein 158 [Source:HGNC Symbol;Acc:HGNC:30293]	1995	0.10755371302366257	0.21250592	Yes	
row_28	PNMT	phenylethanolamine N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:9160]	2183	0.10285118222236633	0.20970337	Yes	
row_29	FLT3LG	fms related receptor tyrosine kinase 3 ligand [Source:HGNC Symbol;Acc:HGNC:3766]	2321	0.0995713546872139	0.20961642	Yes	
row_30	L1TD1	LINE1 type transposase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25595]	2586	0.09303879737854004	0.20142521	Yes	
row_31	ZNF205	zinc finger protein 205 [Source:HGNC Symbol;Acc:HGNC:12996]	2739	0.08948688209056854	0.19962502	Yes	
row_32	USP36	ubiquitin specific peptidase 36 [Source:HGNC Symbol;Acc:HGNC:20062]	2899	0.08597112447023392	0.19712196	Yes	
row_33	HS3ST3B1	heparan sulfate-glucosamine 3-sulfotransferase 3B1 [Source:HGNC Symbol;Acc:HGNC:5198]	2900	0.08590612560510635	0.20409597	Yes	
row_34	IRS1	insulin receptor substrate 1 [Source:HGNC Symbol;Acc:HGNC:6125]	2924	0.08546126633882523	0.2096622	Yes	
row_35	TNFRSF4	TNF receptor superfamily member 4 [Source:HGNC Symbol;Acc:HGNC:11918]	2933	0.08532314747571945	0.2161118	Yes	
row_36	PLAC4	placenta enriched 4 [Source:HGNC Symbol;Acc:HGNC:14616]	2958	0.08493515849113464	0.22157568	Yes	
row_37	SNHG17	small nucleolar RNA host gene 17 [Source:HGNC Symbol;Acc:HGNC:48600]	2979	0.08446179330348969	0.22723968	Yes	
row_38	RAB40A	RAB40A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:18283]	3035	0.0832391008734703	0.23071712	Yes	
row_39	PLXNA3	plexin A3 [Source:HGNC Symbol;Acc:HGNC:9101]	3069	0.08242763578891754	0.2354407	Yes	
row_40	SPOCK1	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 1 [Source:HGNC Symbol;Acc:HGNC:11251]	3134	0.0813632607460022	0.23822913	Yes	
row_41	PER2	period circadian regulator 2 [Source:HGNC Symbol;Acc:HGNC:8846]	3199	0.08001793920993805	0.24090832	Yes	
row_42	DGKG	diacylglycerol kinase gamma [Source:HGNC Symbol;Acc:HGNC:2853]	3247	0.07906760275363922	0.24452421	Yes	
row_43	RHOB	ras homolog family member B [Source:HGNC Symbol;Acc:HGNC:668]	3288	0.078220434486866	0.2484888	Yes	
row_44	UTP3	UTP3 small subunit processome component [Source:HGNC Symbol;Acc:HGNC:24477]	3314	0.07794945687055588	0.25332594	Yes	
row_45	VDR	vitamin D receptor [Source:HGNC Symbol;Acc:HGNC:12679]	3383	0.07689353078603745	0.25551295	Yes	
row_46	DHRS3	dehydrogenase/reductase 3 [Source:HGNC Symbol;Acc:HGNC:17693]	3468	0.0751570537686348	0.2566048	Yes	
row_47	MAFF	MAF bZIP transcription factor F [Source:HGNC Symbol;Acc:HGNC:6780]	3619	0.07219652086496353	0.25352022	Yes	
