NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DOC2A	double C2 domain alpha [Source:HGNC Symbol;Acc:HGNC:2985]	12	0.285563200712204	0.023278348	No	
row_1	GUCA1B	guanylate cyclase activator 1B [Source:HGNC Symbol;Acc:HGNC:4679]	24	0.2597595453262329	0.044448227	No	
row_2	GUCY1B2	guanylate cyclase 1 soluble subunit beta 2 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:4686]	119	0.2173374891281128	0.05710948	No	
row_3	AIRE	autoimmune regulator [Source:HGNC Symbol;Acc:HGNC:360]	273	0.18961742520332336	0.06392705	No	
row_4	TINAGL1	tubulointerstitial nephritis antigen like 1 [Source:HGNC Symbol;Acc:HGNC:19168]	580	0.1627931445837021	0.05937663	No	
row_5	CHFR	checkpoint with forkhead and ring finger domains [Source:HGNC Symbol;Acc:HGNC:20455]	622	0.16004188358783722	0.070381075	No	
row_6	NTF3	neurotrophin 3 [Source:HGNC Symbol;Acc:HGNC:8023]	636	0.15899424254894257	0.082965456	No	
row_7	ZNF550	zinc finger protein 550 [Source:HGNC Symbol;Acc:HGNC:28643]	852	0.14677637815475464	0.08249016	No	
row_8	H2AC15	H2A clustered histone 15 [Source:HGNC Symbol;Acc:HGNC:4726]	940	0.14317721128463745	0.089337416	No	
row_9	ITGA2	integrin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6137]	1303	0.1284106820821762	0.078562245	No	
row_10	HOXB8	homeobox B8 [Source:HGNC Symbol;Acc:HGNC:5119]	1537	0.12076406180858612	0.074829124	No	
row_11	GPR20	G protein-coupled receptor 20 [Source:HGNC Symbol;Acc:HGNC:4475]	1699	0.11629950255155563	0.07500992	No	
row_12	EFNA5	ephrin A5 [Source:HGNC Symbol;Acc:HGNC:3225]	1723	0.11574285477399826	0.0833646	No	
row_13	LRCH1	leucine rich repeats and calponin homology domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20309]	1731	0.11545634269714355	0.09264832	No	
row_14	MIR600HG	MIR600 host gene [Source:HGNC Symbol;Acc:HGNC:23642]	1960	0.10885441303253174	0.088212386	No	
row_15	ZKSCAN7	zinc finger with KRAB and SCAN domains 7 [Source:HGNC Symbol;Acc:HGNC:12955]	2205	0.10231583565473557	0.08227397	No	
row_16	CD40LG	CD40 ligand [Source:HGNC Symbol;Acc:HGNC:11935]	2395	0.0977366715669632	0.07922715	No	
row_17	LRP2BP	LRP2 binding protein [Source:HGNC Symbol;Acc:HGNC:25434]	2589	0.09295576810836792	0.07554036	No	
row_18	TREM1	triggering receptor expressed on myeloid cells 1 [Source:HGNC Symbol;Acc:HGNC:17760]	3114	0.08167681843042374	0.051188257	No	
row_19	MYLK	myosin light chain kinase [Source:HGNC Symbol;Acc:HGNC:7590]	3241	0.07921132445335388	0.05033783	No	
row_20	SLC8B1	solute carrier family 8 member B1 [Source:HGNC Symbol;Acc:HGNC:26175]	3584	0.07281149923801422	0.036082584	No	
row_21	ZNF629	zinc finger protein 629 [Source:HGNC Symbol;Acc:HGNC:29008]	3604	0.07246709614992142	0.041039485	No	
row_22	ITGA6	integrin subunit alpha 6 [Source:HGNC Symbol;Acc:HGNC:6142]	3612	0.07236139476299286	0.046702344	No	
row_23	LMOD1	leiomodin 1 [Source:HGNC Symbol;Acc:HGNC:6647]	3613	0.07236044853925705	0.05278211	No	
row_24	ZNF358	zinc finger protein 358 [Source:HGNC Symbol;Acc:HGNC:16838]	3794	0.06947098672389984	0.04789652	No	
row_25	TNNI3	troponin I3, cardiac type [Source:HGNC Symbol;Acc:HGNC:11947]	3832	0.0687035322189331	0.051464945	No	
row_26	ACHE	acetylcholinesterase (Yt blood group) [Source:HGNC Symbol;Acc:HGNC:108]	3871	0.06793129444122314	0.054908913	No	
row_27	ZNF324B	zinc finger protein 324B [Source:HGNC Symbol;Acc:HGNC:33107]	3914	0.06735048443078995	0.058065806	No	
row_28	IFNG	interferon gamma [Source:HGNC Symbol;Acc:HGNC:5438]	4236	0.06209619715809822	0.044161223	No	
row_29	IL12A	interleukin 12A [Source:HGNC Symbol;Acc:HGNC:5969]	4330	0.06070932745933533	0.043722056	No	
row_30	ASPHD1	aspartate beta-hydroxylase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:27380]	4446	0.05879174917936325	0.04181123	No	
row_31	NDP	norrin cystine knot growth factor NDP [Source:HGNC Symbol;Acc:HGNC:7678]	4488	0.05814381316304207	0.044254143	No	
row_32	CLEC7A	C-type lectin domain containing 7A [Source:HGNC Symbol;Acc:HGNC:14558]	4534	0.057325683534145355	0.046390034	No	
