NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TRIB2	tribbles pseudokinase 2 [Source:HGNC Symbol;Acc:HGNC:30809]	338	0.18254005908966064	-0.005806041	No	
row_1	SLC6A1	solute carrier family 6 member 1 [Source:HGNC Symbol;Acc:HGNC:11042]	834	0.14758090674877167	-0.023696119	No	
row_2	DUSP6	dual specificity phosphatase 6 [Source:HGNC Symbol;Acc:HGNC:3072]	961	0.14240454137325287	-0.02003161	No	
row_3	GRIK2	glutamate ionotropic receptor kainate type subunit 2 [Source:HGNC Symbol;Acc:HGNC:4580]	1401	0.1248556599020958	-0.036370393	No	
row_4	GAD1	glutamate decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:4092]	1744	0.11507001519203186	-0.0477035	No	
row_5	NMNAT2	nicotinamide nucleotide adenylyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:16789]	1836	0.1123598963022232	-0.044311248	No	
row_6	SLC12A3	solute carrier family 12 member 3 [Source:HGNC Symbol;Acc:HGNC:10912]	2052	0.1061181128025055	-0.048787925	No	
row_7	SIGLEC15	sialic acid binding Ig like lectin 15 [Source:HGNC Symbol;Acc:HGNC:27596]	2127	0.10417106747627258	-0.045025874	No	
row_8	CFAP69	cilia and flagella associated protein 69 [Source:HGNC Symbol;Acc:HGNC:26107]	2375	0.09812797605991364	-0.052033324	No	
row_9	HPCAL4	hippocalcin like 4 [Source:HGNC Symbol;Acc:HGNC:18212]	3738	0.07032883912324905	-0.12757716	No	
row_10	CDK5R1	cyclin dependent kinase 5 regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:1775]	3952	0.0668540894985199	-0.13501275	No	
row_11	EMP1	epithelial membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:3333]	4087	0.06460841000080109	-0.13792282	No	
row_12	ST3GAL6	ST3 beta-galactoside alpha-2,3-sialyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:18080]	4143	0.06356506049633026	-0.13621314	No	
row_13	CRYAB	crystallin alpha B [Source:HGNC Symbol;Acc:HGNC:2389]	4364	0.06013684719800949	-0.14459188	No	
row_14	GPR19	G protein-coupled receptor 19 [Source:HGNC Symbol;Acc:HGNC:4473]	4578	0.05663900077342987	-0.15282823	No	
row_15	ATP1A2	ATPase Na+/K+ transporting subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:800]	4850	0.05231376364827156	-0.16485539	No	
row_16	AK5	adenylate kinase 5 [Source:HGNC Symbol;Acc:HGNC:365]	5473	0.04333003610372543	-0.19847593	No	
row_17	MPZL2	myelin protein zero like 2 [Source:HGNC Symbol;Acc:HGNC:3496]	5507	0.04281218349933624	-0.1970838	No	
row_18	SLC1A3	solute carrier family 1 member 3 [Source:HGNC Symbol;Acc:HGNC:10941]	5615	0.04131815955042839	-0.20021275	No	
row_19	NRN1	neuritin 1 [Source:HGNC Symbol;Acc:HGNC:17972]	5856	0.03789801150560379	-0.21152507	No	
row_20	ETV1	ETS variant transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3490]	6093	0.03436361625790596	-0.2228764	No	
row_21	VIPR2	vasoactive intestinal peptide receptor 2 [Source:HGNC Symbol;Acc:HGNC:12695]	6122	0.03385605290532112	-0.22188878	No	
row_22	RNLS	renalase, FAD dependent amine oxidase [Source:HGNC Symbol;Acc:HGNC:25641]	6528	0.028026409447193146	-0.2437946	No	
row_23	CP	ceruloplasmin [Source:HGNC Symbol;Acc:HGNC:2295]	6532	0.027948258444666862	-0.24178226	No	
row_24	SORBS1	sorbin and SH3 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14565]	7075	0.020186400040984154	-0.272456	No	
row_25	GPNMB	glycoprotein nmb [Source:HGNC Symbol;Acc:HGNC:4462]	7799	0.011297845281660557	-0.31459838	No	
row_26	CCND2	cyclin D2 [Source:HGNC Symbol;Acc:HGNC:1583]	7808	0.01121668703854084	-0.3141952	No	
row_27	TRIL	TLR4 interactor with leucine rich repeats [Source:HGNC Symbol;Acc:HGNC:22200]	7994	0.009082004427909851	-0.3244932	No	
row_28	GABRR2	gamma-aminobutyric acid type A receptor subunit rho2 [Source:HGNC Symbol;Acc:HGNC:4091]	8218	0.006211396772414446	-0.3372777	No	
row_29	GPM6A	glycoprotein M6A [Source:HGNC Symbol;Acc:HGNC:4460]	8312	0.004932737443596125	-0.34242576	No	
