NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OPN3	opsin 3 [Source:HGNC Symbol;Acc:HGNC:14007]	130	0.21528127789497375	0.009208448	No	
row_1	LMO4	LIM domain only 4 [Source:HGNC Symbol;Acc:HGNC:6644]	374	0.1787998527288437	0.008794001	No	
row_2	RAB40B	RAB40B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:18284]	669	0.15703757107257843	0.0036188988	No	
row_3	TMC6	transmembrane channel like 6 [Source:HGNC Symbol;Acc:HGNC:18021]	779	0.15053217113018036	0.008977072	No	
row_4	INSIG2	insulin induced gene 2 [Source:HGNC Symbol;Acc:HGNC:20452]	896	0.1449660360813141	0.013478508	No	
row_5	SERHL2	serine hydrolase like 2 [Source:HGNC Symbol;Acc:HGNC:29446]	903	0.14458008110523224	0.02451747	No	
row_6	ORAI3	ORAI calcium release-activated calcium modulator 3 [Source:HGNC Symbol;Acc:HGNC:28185]	948	0.14288295805454254	0.033153716	No	
row_7	EDN1	endothelin 1 [Source:HGNC Symbol;Acc:HGNC:3176]	1411	0.12450908869504929	0.015383354	No	
row_8	EFCAB11	EF-hand calcium binding domain 11 [Source:HGNC Symbol;Acc:HGNC:20357]	1617	0.11868426203727722	0.012498938	No	
row_9	SORD	sorbitol dehydrogenase [Source:HGNC Symbol;Acc:HGNC:11184]	1704	0.11621928215026855	0.016525533	No	
row_10	FBXL18	F-box and leucine rich repeat protein 18 [Source:HGNC Symbol;Acc:HGNC:21874]	1756	0.11475593596696854	0.022526575	No	
row_11	SOWAHC	sosondowah ankyrin repeat domain family member C [Source:HGNC Symbol;Acc:HGNC:26149]	1761	0.11467526108026505	0.031327564	No	
row_12	UST	uronyl 2-sulfotransferase [Source:HGNC Symbol;Acc:HGNC:17223]	1844	0.11206356436014175	0.035265397	No	
row_13	CEP76	centrosomal protein 76 [Source:HGNC Symbol;Acc:HGNC:25727]	2209	0.1022132933139801	0.021588909	No	
row_14	DRAM1	DNA damage regulated autophagy modulator 1 [Source:HGNC Symbol;Acc:HGNC:25645]	2268	0.10059238225221634	0.026055481	No	
row_15	MARCKS	myristoylated alanine rich protein kinase C substrate [Source:HGNC Symbol;Acc:HGNC:6759]	2348	0.09873969107866287	0.029122125	No	
row_16	CEMIP	cell migration inducing hyaluronidase 1 [Source:HGNC Symbol;Acc:HGNC:29213]	2374	0.09813360124826431	0.035365257	No	
row_17	GALNT12	polypeptide N-acetylgalactosaminyltransferase 12 [Source:HGNC Symbol;Acc:HGNC:19877]	2429	0.09713828563690186	0.03979838	No	
row_18	KMO	kynurenine 3-monooxygenase [Source:HGNC Symbol;Acc:HGNC:6381]	2478	0.09593092650175095	0.044494573	No	
row_19	ANKMY2	ankyrin repeat and MYND domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25370]	2722	0.08991509675979614	0.037073363	No	
row_20	TNNT1	troponin T1, slow skeletal type [Source:HGNC Symbol;Acc:HGNC:11948]	2734	0.08955984562635422	0.043476548	No	
row_21	DSC2	desmocollin 2 [Source:HGNC Symbol;Acc:HGNC:3036]	2787	0.08829385042190552	0.047331885	No	
row_22	ABCC3	ATP binding cassette subfamily C member 3 [Source:HGNC Symbol;Acc:HGNC:54]	2816	0.08763675391674042	0.052568424	No	
row_23	BNIP3L	BCL2 interacting protein 3 like [Source:HGNC Symbol;Acc:HGNC:1085]	2846	0.08701484650373459	0.057696234	No	
