NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NTF4	neurotrophin 4 [Source:HGNC Symbol;Acc:HGNC:8024]	175	0.20465858280658722	0.008250168	Yes	
row_1	MEGF6	multiple EGF like domains 6 [Source:HGNC Symbol;Acc:HGNC:3232]	186	0.20233199000358582	0.02612228	Yes	
row_2	TOP6BL	TOP6B like initiator of meiotic double strand breaks [Source:HGNC Symbol;Acc:HGNC:26197]	420	0.17519637942314148	0.028226335	Yes	
row_3	RNF19A	ring finger protein 19A, RBR E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:13432]	432	0.17336800694465637	0.043395117	Yes	
row_4	PRRT2	proline rich transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:30500]	477	0.1701267510652542	0.056301188	Yes	
row_5	TNFAIP2	TNF alpha induced protein 2 [Source:HGNC Symbol;Acc:HGNC:11895]	497	0.1685909479856491	0.070557125	Yes	
row_6	SPOCD1	SPOC domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26338]	507	0.16782420873641968	0.08533909	Yes	
row_7	PBX4	PBX homeobox 4 [Source:HGNC Symbol;Acc:HGNC:13403]	554	0.16441188752651215	0.09760433	Yes	
row_8	VAMP1	vesicle associated membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:12642]	638	0.15879599750041962	0.107151695	Yes	
row_9	AGER	advanced glycosylation end-product specific receptor [Source:HGNC Symbol;Acc:HGNC:320]	662	0.15748783946037292	0.12015577	Yes	
row_10	WNT5B	Wnt family member 5B [Source:HGNC Symbol;Acc:HGNC:16265]	765	0.1508798748254776	0.12784815	Yes	
row_11	PLAT	plasminogen activator, tissue type [Source:HGNC Symbol;Acc:HGNC:9051]	830	0.14775395393371582	0.13752007	Yes	
row_12	SLC6A1	solute carrier family 6 member 1 [Source:HGNC Symbol;Acc:HGNC:11042]	834	0.14758090674877167	0.15081191	Yes	
row_13	FGD6	FYVE, RhoGEF and PH domain containing 6 [Source:HGNC Symbol;Acc:HGNC:21740]	846	0.1469026356935501	0.16356504	Yes	
row_14	ATXN7L3	ataxin 7 like 3 [Source:HGNC Symbol;Acc:HGNC:25416]	887	0.14540064334869385	0.1744526	Yes	
row_15	CCDC82	coiled-coil domain containing 82 [Source:HGNC Symbol;Acc:HGNC:26282]	978	0.1416088491678238	0.18201397	Yes	
row_16	FGD2	FYVE, RhoGEF and PH domain containing 2 [Source:HGNC Symbol;Acc:HGNC:3664]	1021	0.13917900621891022	0.19221446	Yes	
row_17	TEP1	telomerase associated protein 1 [Source:HGNC Symbol;Acc:HGNC:11726]	1122	0.13555783033370972	0.19862749	Yes	
