NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLEC	plectin [Source:HGNC Symbol;Acc:HGNC:9069]	209	0.19862000644207	0.011497655	No	
row_1	INPPL1	inositol polyphosphate phosphatase like 1 [Source:HGNC Symbol;Acc:HGNC:6080]	341	0.18218207359313965	0.025654238	No	
row_2	RNF149	ring finger protein 149 [Source:HGNC Symbol;Acc:HGNC:23137]	425	0.17455974221229553	0.041747462	No	
row_3	BST2	bone marrow stromal cell antigen 2 [Source:HGNC Symbol;Acc:HGNC:1119]	1344	0.12675167620182037	0.0024171136	No	
row_4	IL17D	interleukin 17D [Source:HGNC Symbol;Acc:HGNC:5984]	1461	0.12291080504655838	0.010325226	No	
row_5	RGL3	ral guanine nucleotide dissociation stimulator like 3 [Source:HGNC Symbol;Acc:HGNC:30282]	1520	0.12140291929244995	0.021501388	No	
row_6	EYA1	EYA transcriptional coactivator and phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3519]	1587	0.11954405903816223	0.031977784	No	
row_7	TMEM158	transmembrane protein 158 [Source:HGNC Symbol;Acc:HGNC:30293]	1995	0.10755371302366257	0.020727735	No	
row_8	LMNB2	lamin B2 [Source:HGNC Symbol;Acc:HGNC:6638]	2085	0.10531061887741089	0.028121386	No	
row_9	FKBP9	FKBP prolyl isomerase 9 [Source:HGNC Symbol;Acc:HGNC:3725]	2229	0.1016794815659523	0.03186578	No	
row_10	TNPO2	transportin 2 [Source:HGNC Symbol;Acc:HGNC:19998]	2356	0.09862755984067917	0.036253616	No	
row_11	CTBS	chitobiase [Source:HGNC Symbol;Acc:HGNC:2496]	2568	0.09358323365449905	0.034978136	No	
row_12	ATP2A1	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1 [Source:HGNC Symbol;Acc:HGNC:811]	2592	0.09290821850299835	0.044803154	No	
row_13	GSDME	gasdermin E [Source:HGNC Symbol;Acc:HGNC:2810]	2621	0.09206421673297882	0.054229107	No	
