NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EGR4	early growth response 4 [Source:HGNC Symbol;Acc:HGNC:3241]	192	0.2007455825805664	0.0077453163	No	
row_1	DHRS1	dehydrogenase/reductase 1 [Source:HGNC Symbol;Acc:HGNC:16445]	225	0.1956312358379364	0.0245287	No	
row_2	ICAM5	intercellular adhesion molecule 5 [Source:HGNC Symbol;Acc:HGNC:5348]	372	0.17902177572250366	0.032937646	No	
row_3	LTB4R	leukotriene B4 receptor [Source:HGNC Symbol;Acc:HGNC:6713]	513	0.1675032079219818	0.040603466	No	
row_4	YJEFN3	YjeF N-terminal domain containing 3 [Source:HGNC Symbol;Acc:HGNC:24785]	618	0.16034895181655884	0.049729332	No	
row_5	NXNL2	nucleoredoxin like 2 [Source:HGNC Symbol;Acc:HGNC:30482]	717	0.15361617505550385	0.058569264	No	
row_6	SLC20A1	solute carrier family 20 member 1 [Source:HGNC Symbol;Acc:HGNC:10946]	895	0.14496847987174988	0.0618793	No	
row_7	LPAR3	lysophosphatidic acid receptor 3 [Source:HGNC Symbol;Acc:HGNC:14298]	1078	0.1371537446975708	0.06414508	No	
row_8	OAS2	2'-5'-oligoadenylate synthetase 2 [Source:HGNC Symbol;Acc:HGNC:8087]	1101	0.13634993135929108	0.07586072	No	
row_9	DDX60	DExD/H-box helicase 60 [Source:HGNC Symbol;Acc:HGNC:25942]	1197	0.13234248757362366	0.08284699	No	
row_10	ADORA2B	adenosine A2b receptor [Source:HGNC Symbol;Acc:HGNC:264]	1384	0.12556421756744385	0.08376746	No	
row_11	UPB1	beta-ureidopropionase 1 [Source:HGNC Symbol;Acc:HGNC:16297]	1682	0.11675233393907547	0.07723701	No	
row_12	PASK	PAS domain containing serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:17270]	2115	0.10442011803388596	0.061490357	No	
row_13	RDH5	retinol dehydrogenase 5 [Source:HGNC Symbol;Acc:HGNC:9940]	2168	0.1031680777668953	0.068249874	No	
row_14	WNT10A	Wnt family member 10A [Source:HGNC Symbol;Acc:HGNC:13829]	2317	0.09962509572505951	0.068954945	No	
