NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ENO2	enolase 2 [Source:HGNC Symbol;Acc:HGNC:3353]	39	0.2508930563926697	0.015991174	Yes	
row_1	DBF4B	DBF4B-CDC7 kinase regulatory subunit [Source:HGNC Symbol;Acc:HGNC:17883]	112	0.21889352798461914	0.027675001	Yes	
row_2	CSPG4	chondroitin sulfate proteoglycan 4 [Source:HGNC Symbol;Acc:HGNC:2466]	207	0.1989210993051529	0.036586616	Yes	
row_3	TNS4	tensin 4 [Source:HGNC Symbol;Acc:HGNC:24352]	228	0.19527436792850494	0.049651176	Yes	
row_4	TNK2	tyrosine kinase non receptor 2 [Source:HGNC Symbol;Acc:HGNC:19297]	288	0.1871090680360794	0.059790455	Yes	
row_5	RNF19A	ring finger protein 19A, RBR E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:13432]	432	0.17336800694465637	0.06390993	Yes	
row_6	TCAP	titin-cap [Source:HGNC Symbol;Acc:HGNC:11610]	628	0.15952128171920776	0.06391292	Yes	
row_7	ANKZF1	ankyrin repeat and zinc finger peptidyl tRNA hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:25527]	723	0.1532745212316513	0.06949142	Yes	
row_8	HIVEP3	HIVEP zinc finger 3 [Source:HGNC Symbol;Acc:HGNC:13561]	794	0.1494988054037094	0.07622748	Yes	
row_9	PRICKLE3	prickle planar cell polarity protein 3 [Source:HGNC Symbol;Acc:HGNC:6645]	833	0.14760874211788177	0.08473655	Yes	
row_10	TSC2	TSC complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:12363]	902	0.1446152925491333	0.09123545	Yes	
row_11	PLXNB1	plexin B1 [Source:HGNC Symbol;Acc:HGNC:9103]	946	0.14294594526290894	0.09910544	Yes	
row_12	BTBD2	BTB domain containing 2 [Source:HGNC Symbol;Acc:HGNC:15504]	1030	0.13882490992546082	0.10428574	Yes	
row_13	XRCC3	X-ray repair cross complementing 3 [Source:HGNC Symbol;Acc:HGNC:12830]	1106	0.1361466944217682	0.10974824	Yes	
row_14	WFDC1	WAP four-disulfide core domain 1 [Source:HGNC Symbol;Acc:HGNC:15466]	1221	0.13138115406036377	0.11253369	Yes	
row_15	TNFRSF10D	TNF receptor superfamily member 10d [Source:HGNC Symbol;Acc:HGNC:11907]	1271	0.12946951389312744	0.11906132	Yes	
row_16	DCLRE1B	DNA cross-link repair 1B [Source:HGNC Symbol;Acc:HGNC:17641]	1287	0.12904617190361023	0.12758848	Yes	
row_17	MICALL2	MICAL like 2 [Source:HGNC Symbol;Acc:HGNC:29672]	1345	0.12663422524929047	0.13343133	Yes	
row_18	PFKFB4	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4 [Source:HGNC Symbol;Acc:HGNC:8875]	1362	0.1260671317577362	0.14168124	Yes	
row_19	DLK2	delta like non-canonical Notch ligand 2 [Source:HGNC Symbol;Acc:HGNC:21113]	1372	0.12584421038627625	0.15033293	Yes	
row_20	AP1G2	adaptor related protein complex 1 subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:556]	1527	0.12108371406793594	0.14997768	Yes	
row_21	FRS2	fibroblast growth factor receptor substrate 2 [Source:HGNC Symbol;Acc:HGNC:16971]	1551	0.12050896883010864	0.15740372	Yes	
row_22	WIZ	WIZ zinc finger [Source:HGNC Symbol;Acc:HGNC:30917]	1582	0.11969929188489914	0.1643526	Yes	
row_23	TAF1C	TATA-box binding protein associated factor, RNA polymerase I subunit C [Source:HGNC Symbol;Acc:HGNC:11534]	1645	0.11806318163871765	0.16927098	Yes	
row_24	CDK18	cyclin dependent kinase 18 [Source:HGNC Symbol;Acc:HGNC:8751]	1683	0.116737961769104	0.17558557	Yes	
row_25	POLD1	DNA polymerase delta 1, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9175]	1703	0.1162199079990387	0.1829373	Yes	
row_26	HP1BP3	heterochromatin protein 1 binding protein 3 [Source:HGNC Symbol;Acc:HGNC:24973]	1729	0.11555158346891403	0.18988189	Yes	
row_27	MCM2	minichromosome maintenance complex component 2 [Source:HGNC Symbol;Acc:HGNC:6944]	1810	0.11326360702514648	0.19337486	Yes	
row_28	CHST3	carbohydrate sulfotransferase 3 [Source:HGNC Symbol;Acc:HGNC:1971]	1885	0.11098065972328186	0.19705945	Yes	
row_29	VAC14	VAC14 component of PIKFYVE complex [Source:HGNC Symbol;Acc:HGNC:25507]	1999	0.10732496529817581	0.19814804	Yes	
row_30	TRIM46	tripartite motif containing 46 [Source:HGNC Symbol;Acc:HGNC:19019]	2055	0.1060442179441452	0.20260683	Yes	
row_31	PCDHGC3	protocadherin gamma subfamily C, 3 [Source:HGNC Symbol;Acc:HGNC:8716]	2153	0.10353492945432663	0.20437418	Yes	
row_32	JUP	junction plakoglobin [Source:HGNC Symbol;Acc:HGNC:6207]	2165	0.10323027521371841	0.21125515	Yes	
row_33	RDH5	retinol dehydrogenase 5 [Source:HGNC Symbol;Acc:HGNC:9940]	2168	0.1031680777668953	0.21866906	Yes	
row_34	H1-10	H1.10 linker histone [Source:HGNC Symbol;Acc:HGNC:4722]	2256	0.1009446457028389	0.22084446	Yes	
row_35	ODF2	outer dense fiber of sperm tails 2 [Source:HGNC Symbol;Acc:HGNC:8114]	2271	0.10054679960012436	0.22735032	Yes	
row_36	PLAAT3	phospholipase A and acyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:17825]	2302	0.09982961416244507	0.2328483	Yes	
