NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RTP4	receptor transporter protein 4 [Source:HGNC Symbol;Acc:HGNC:23992]	114	0.21853774785995483	0.0115964	No	
row_1	MYO15A	myosin XVA [Source:HGNC Symbol;Acc:HGNC:7594]	339	0.18239225447177887	0.013594319	No	
row_2	ZNF613	zinc finger protein 613 [Source:HGNC Symbol;Acc:HGNC:25827]	643	0.1584290713071823	0.008866749	No	
row_3	SLC6A1	solute carrier family 6 member 1 [Source:HGNC Symbol;Acc:HGNC:11042]	834	0.14758090674877167	0.009961643	No	
row_4	KCNQ4	potassium voltage-gated channel subfamily Q member 4 [Source:HGNC Symbol;Acc:HGNC:6298]	1342	0.12684565782546997	-0.0095833875	No	
row_5	DSG3	desmoglein 3 [Source:HGNC Symbol;Acc:HGNC:3050]	1349	0.12644019722938538	6.9977087E-4	No	
row_6	PFKFB4	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4 [Source:HGNC Symbol;Acc:HGNC:8875]	1362	0.1260671317577362	0.0105939	No	
row_7	EDN1	endothelin 1 [Source:HGNC Symbol;Acc:HGNC:3176]	1411	0.12450908869504929	0.018211115	No	
row_8	ADGRB2	adhesion G protein-coupled receptor B2 [Source:HGNC Symbol;Acc:HGNC:944]	1588	0.11953404545783997	0.017780155	No	
row_9	AZU1	azurocidin 1 [Source:HGNC Symbol;Acc:HGNC:913]	1666	0.11713357269763947	0.023048114	No	
row_10	LRCH1	leucine rich repeats and calponin homology domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20309]	1731	0.11545634269714355	0.028949793	No	
row_11	CCNP	cyclin P [Source:HGNC Symbol;Acc:HGNC:25805]	1841	0.11214594542980194	0.03189064	No	
row_12	VCAM1	vascular cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:12663]	2196	0.10256396234035492	0.019421766	No	
row_13	EPHA4	EPH receptor A4 [Source:HGNC Symbol;Acc:HGNC:3388]	2456	0.0964801236987114	0.012103414	No	
row_14	NYNRIN	NYN domain and retroviral integrase containing [Source:HGNC Symbol;Acc:HGNC:20165]	2762	0.08890402317047119	0.0014056335	No	
row_15	NR2F1	nuclear receptor subfamily 2 group F member 1 [Source:HGNC Symbol;Acc:HGNC:7975]	2803	0.08798439055681229	0.006425894	No	
row_16	FGF1	fibroblast growth factor 1 [Source:HGNC Symbol;Acc:HGNC:3665]	2834	0.08721155673265457	0.011977169	No	
row_17	HS3ST3B1	heparan sulfate-glucosamine 3-sulfotransferase 3B1 [Source:HGNC Symbol;Acc:HGNC:5198]	2900	0.08590612560510635	0.015332394	No	
row_18	SPOCK1	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 1 [Source:HGNC Symbol;Acc:HGNC:11251]	3134	0.0813632607460022	0.0082915975	No	
row_19	CYP26A1	cytochrome P450 family 26 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2603]	3183	0.08038026094436646	0.012195076	No	
