NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PTBP2	polypyrimidine tract binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17662]	136	0.2146291583776474	0.01146971	Yes	
row_1	MEGF6	multiple EGF like domains 6 [Source:HGNC Symbol;Acc:HGNC:3232]	186	0.20233199000358582	0.027003199	Yes	
row_2	TTC14	tetratricopeptide repeat domain 14 [Source:HGNC Symbol;Acc:HGNC:24697]	253	0.1921153962612152	0.04059164	Yes	
row_3	MIR17HG	miR-17-92a-1 cluster host gene [Source:HGNC Symbol;Acc:HGNC:23564]	287	0.1872430145740509	0.055702545	Yes	
row_4	RARA	retinoic acid receptor alpha [Source:HGNC Symbol;Acc:HGNC:9864]	330	0.1830340474843979	0.06989315	Yes	
row_5	MCM3	minichromosome maintenance complex component 3 [Source:HGNC Symbol;Acc:HGNC:6945]	388	0.1780972182750702	0.08273946	Yes	
row_6	UNC119	unc-119 lipid binding chaperone [Source:HGNC Symbol;Acc:HGNC:12565]	545	0.16491663455963135	0.08848303	Yes	
row_7	CSAD	cysteine sulfinic acid decarboxylase [Source:HGNC Symbol;Acc:HGNC:18966]	558	0.16416524350643158	0.102740735	Yes	
row_8	ACTL6A	actin like 6A [Source:HGNC Symbol;Acc:HGNC:24124]	742	0.15198606252670288	0.1056957	Yes	
row_9	PLAT	plasminogen activator, tissue type [Source:HGNC Symbol;Acc:HGNC:9051]	830	0.14775395393371582	0.11398645	Yes	
row_10	STARD3	StAR related lipid transfer domain containing 3 [Source:HGNC Symbol;Acc:HGNC:17579]	849	0.14684978127479553	0.12630726	Yes	
row_11	HS3ST3A1	heparan sulfate-glucosamine 3-sulfotransferase 3A1 [Source:HGNC Symbol;Acc:HGNC:5196]	949	0.1428421437740326	0.1334348	Yes	
row_12	FAM153A	family with sequence similarity 153 member A [Source:HGNC Symbol;Acc:HGNC:29940]	1509	0.1215650886297226	0.111204885	Yes	
row_13	WASH3P	WASP family homolog 3, pseudogene [Source:HGNC Symbol;Acc:HGNC:24362]	1517	0.12143208831548691	0.12186306	Yes	
row_14	SCRN2	secernin 2 [Source:HGNC Symbol;Acc:HGNC:30381]	1581	0.1197352483868599	0.12902877	Yes	
row_15	IRAK2	interleukin 1 receptor associated kinase 2 [Source:HGNC Symbol;Acc:HGNC:6113]	1622	0.11860298365354538	0.13746205	Yes	
row_16	ZNF451	zinc finger protein 451 [Source:HGNC Symbol;Acc:HGNC:21091]	1628	0.11853358894586563	0.14797507	Yes	
row_17	EMB	embigin [Source:HGNC Symbol;Acc:HGNC:30465]	1815	0.1130371019244194	0.14719883	Yes	
