NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TBX19	T-box transcription factor 19 [Source:HGNC Symbol;Acc:HGNC:11596]	44	0.2455206662416458	0.017185984	Yes	
row_1	FRS3	fibroblast growth factor receptor substrate 3 [Source:HGNC Symbol;Acc:HGNC:16970]	76	0.22868292033672333	0.03378908	Yes	
row_2	STK38L	serine/threonine kinase 38 like [Source:HGNC Symbol;Acc:HGNC:17848]	116	0.21780116856098175	0.04903668	Yes	
row_3	GPR39	G protein-coupled receptor 39 [Source:HGNC Symbol;Acc:HGNC:4496]	167	0.20553524792194366	0.062638074	Yes	
row_4	TFAP2A	transcription factor AP-2 alpha [Source:HGNC Symbol;Acc:HGNC:11742]	262	0.19094569981098175	0.07243642	Yes	
row_5	FANCF	FA complementation group F [Source:HGNC Symbol;Acc:HGNC:3587]	361	0.17989987134933472	0.08110475	Yes	
row_6	C8orf44	chromosome 8 putative open reading frame 44 [Source:HGNC Symbol;Acc:HGNC:25646]	368	0.1793515533208847	0.09521907	Yes	
row_7	SLC5A3	solute carrier family 5 member 3 [Source:HGNC Symbol;Acc:HGNC:11038]	611	0.16065195202827454	0.0937408	Yes	
row_8	YJU2B	YJU2 splicing factor homolog B [Source:HGNC Symbol;Acc:HGNC:28118]	661	0.15751205384731293	0.10352674	Yes	
row_9	SNAPC4	small nuclear RNA activating complex polypeptide 4 [Source:HGNC Symbol;Acc:HGNC:11137]	744	0.15190964937210083	0.11089128	Yes	
row_10	CDKN1B	cyclin dependent kinase inhibitor 1B [Source:HGNC Symbol;Acc:HGNC:1785]	819	0.14848533272743225	0.118456915	Yes	
row_11	NUFIP1	nuclear FMR1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:8057]	891	0.1451074779033661	0.12592901	Yes	
row_12	DUSP6	dual specificity phosphatase 6 [Source:HGNC Symbol;Acc:HGNC:3072]	961	0.14240454137325287	0.13330235	Yes	
row_13	ZNF292	zinc finger protein 292 [Source:HGNC Symbol;Acc:HGNC:18410]	1099	0.13651613891124725	0.13614254	Yes	
row_14	SAV1	salvador family WW domain containing protein 1 [Source:HGNC Symbol;Acc:HGNC:17795]	1470	0.12260393053293228	0.123955466	Yes	
row_15	UPK2	uroplakin 2 [Source:HGNC Symbol;Acc:HGNC:12579]	1477	0.12247055023908615	0.13347991	Yes	
row_16	CCDC51	coiled-coil domain containing 51 [Source:HGNC Symbol;Acc:HGNC:25714]	1495	0.12197515368461609	0.14230792	Yes	
row_17	BIRC3	baculoviral IAP repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:591]	1596	0.11919684708118439	0.14595859	Yes	
row_18	BCL6	BCL6 transcription repressor [Source:HGNC Symbol;Acc:HGNC:1001]	1727	0.11556336283683777	0.14752577	Yes	
row_19	SH3TC2	SH3 domain and tetratricopeptide repeats 2 [Source:HGNC Symbol;Acc:HGNC:29427]	2011	0.10703076422214508	0.13927393	Yes	
row_20	ID1	inhibitor of DNA binding 1 [Source:HGNC Symbol;Acc:HGNC:5360]	2049	0.10622566938400269	0.14563754	Yes	
row_21	IRX5	iroquois homeobox 5 [Source:HGNC Symbol;Acc:HGNC:14361]	2172	0.10302449017763138	0.14667034	Yes	
row_22	MRPS6	mitochondrial ribosomal protein S6 [Source:HGNC Symbol;Acc:HGNC:14051]	2212	0.102085642516613	0.15258053	Yes	
row_23	NPEPPS	aminopeptidase puromycin sensitive [Source:HGNC Symbol;Acc:HGNC:7900]	2322	0.09954904764890671	0.15410867	Yes	
row_24	ANKMY1	ankyrin repeat and MYND domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20987]	2426	0.09719175100326538	0.15580466	Yes	
row_25	PLEKHF1	pleckstrin homology and FYVE domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20764]	2497	0.09544584900140762	0.1593291	Yes	
row_26	POLL	DNA polymerase lambda [Source:HGNC Symbol;Acc:HGNC:9184]	2602	0.09265066683292389	0.16059898	Yes	
row_27	ZMYND8	zinc finger MYND-type containing 8 [Source:HGNC Symbol;Acc:HGNC:9397]	2647	0.09153632819652557	0.16535954	Yes	
row_28	GATA3	GATA binding protein 3 [Source:HGNC Symbol;Acc:HGNC:4172]	2653	0.09139609336853027	0.17243616	Yes	
row_29	KIF18A	kinesin family member 18A [Source:HGNC Symbol;Acc:HGNC:29441]	2709	0.09011434018611908	0.17642553	Yes	
row_30	ANKMY2	ankyrin repeat and MYND domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25370]	2722	0.08991509675979614	0.18296492	Yes	
row_31	RASL10A	RAS like family 10 member A [Source:HGNC Symbol;Acc:HGNC:16954]	2751	0.08920526504516602	0.1884922	Yes	
row_32	PPP1R3D	protein phosphatase 1 regulatory subunit 3D [Source:HGNC Symbol;Acc:HGNC:9294]	2840	0.08708231896162033	0.19026758	Yes	
row_33	MN1	MN1 proto-oncogene, transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:7180]	2892	0.08614116162061691	0.19417505	Yes	
row_34	IFIT1	interferon induced protein with tetratricopeptide repeats 1 [Source:HGNC Symbol;Acc:HGNC:5407]	3068	0.08244133740663528	0.19038408	Yes	
row_35	AP1AR	adaptor related protein complex 1 associated regulatory protein [Source:HGNC Symbol;Acc:HGNC:28808]	3088	0.08210138976573944	0.19587521	Yes	
row_36	SMAD7	SMAD family member 7 [Source:HGNC Symbol;Acc:HGNC:6773]	3105	0.08184704184532166	0.20152485	Yes	
row_37	BRME1	break repair meiotic recombinase recruitment factor 1 [Source:HGNC Symbol;Acc:HGNC:28153]	3209	0.07985206693410873	0.20182166	Yes	
row_38	MITF	melanocyte inducing transcription factor [Source:HGNC Symbol;Acc:HGNC:7105]	3333	0.07758414000272751	0.20074192	Yes	
row_39	IFIT2	interferon induced protein with tetratricopeptide repeats 2 [Source:HGNC Symbol;Acc:HGNC:5409]	3369	0.07713999599218369	0.20487788	Yes	
row_40	CITED2	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2 [Source:HGNC Symbol;Acc:HGNC:1987]	3542	0.07367057353258133	0.2005582	Yes	
row_41	ZNF512B	zinc finger protein 512B [Source:HGNC Symbol;Acc:HGNC:29212]	3545	0.07362142950296402	0.20637958	Yes	
row_42	IRF5	interferon regulatory factor 5 [Source:HGNC Symbol;Acc:HGNC:6120]	3590	0.07271923124790192	0.20962173	Yes	
row_43	CHST7	carbohydrate sulfotransferase 7 [Source:HGNC Symbol;Acc:HGNC:13817]	3659	0.07154734432697296	0.21133707	Yes	
row_44	TBC1D22B	TBC1 domain family member 22B [Source:HGNC Symbol;Acc:HGNC:21602]	3748	0.07008398324251175	0.2117408	Yes	
row_45	IGFBP1	insulin like growth factor binding protein 1 [Source:HGNC Symbol;Acc:HGNC:5469]	3769	0.06978967040777206	0.2161788	Yes	
row_46	H2AC17	H2A clustered histone 17 [Source:HGNC Symbol;Acc:HGNC:4735]	3791	0.06956199556589127	0.22053875	Yes	
row_47	EYA4	EYA transcriptional coactivator and phosphatase 4 [Source:HGNC Symbol;Acc:HGNC:3522]	3819	0.06893637776374817	0.22449015	Yes	
row_48	CDK2AP1	cyclin dependent kinase 2 associated protein 1 [Source:HGNC Symbol;Acc:HGNC:14002]	3954	0.06683792173862457	0.22188684	Yes	
row_49	TM7SF3	transmembrane 7 superfamily member 3 [Source:HGNC Symbol;Acc:HGNC:23049]	3957	0.06680528819561005	0.22715819	Yes	
row_50	IFT74	intraflagellar transport 74 [Source:HGNC Symbol;Acc:HGNC:21424]	4059	0.06500990688800812	0.2263767	Yes	
row_51	ZNF395	zinc finger protein 395 [Source:HGNC Symbol;Acc:HGNC:18737]	4063	0.0649866983294487	0.23144162	Yes	
row_52	ZNF652	zinc finger protein 652 [Source:HGNC Symbol;Acc:HGNC:29147]	4075	0.06480231136083603	0.23601426	Yes	
row_53	CLEC2B	C-type lectin domain family 2 member B [Source:HGNC Symbol;Acc:HGNC:2053]	4128	0.06391361355781555	0.23806845	Yes	
row_54	IFIT3	interferon induced protein with tetratricopeptide repeats 3 [Source:HGNC Symbol;Acc:HGNC:5411]	4226	0.06224985048174858	0.23730294	Yes	
row_55	NUDT6	nudix hydrolase 6 [Source:HGNC Symbol;Acc:HGNC:8053]	4387	0.0597074069082737	0.23257264	Yes	
row_56	MYBL1	MYB proto-oncogene like 1 [Source:HGNC Symbol;Acc:HGNC:7547]	4441	0.058895401656627655	0.23416223	Yes	
row_57	ACKR3	atypical chemokine receptor 3 [Source:HGNC Symbol;Acc:HGNC:23692]	4456	0.05864135921001434	0.23805869	Yes	
row_58	NPAS1	neuronal PAS domain protein 1 [Source:HGNC Symbol;Acc:HGNC:7894]	4464	0.05852605029940605	0.24236359	Yes	
row_59	TRPM4	transient receptor potential cation channel subfamily M member 4 [Source:HGNC Symbol;Acc:HGNC:17993]	4740	0.054064951837062836	0.2303152	No	
row_60	FRMD4B	FERM domain containing 4B [Source:HGNC Symbol;Acc:HGNC:24886]	5040	0.04924671724438667	0.21644576	No	
row_61	HSF2	heat shock transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:5225]	5315	0.04561001807451248	0.20377478	No	
row_62	PRX	periaxin [Source:HGNC Symbol;Acc:HGNC:13797]	5350	0.04512585699558258	0.20538712	No	
row_63	HILPDA	hypoxia inducible lipid droplet associated [Source:HGNC Symbol;Acc:HGNC:28859]	5556	0.042174000293016434	0.19655655	No	
row_64	OSR2	odd-skipped related transciption factor 2 [Source:HGNC Symbol;Acc:HGNC:15830]	5605	0.041513554751873016	0.19704193	No	
row_65	HAPLN1	hyaluronan and proteoglycan link protein 1 [Source:HGNC Symbol;Acc:HGNC:2380]	5721	0.0397748239338398	0.19338867	No	
row_66	C14orf93	chromosome 14 open reading frame 93 [Source:HGNC Symbol;Acc:HGNC:20162]	5727	0.03968018665909767	0.19629219	No	
row_67	RAB33A	RAB33A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9773]	5738	0.039529576897621155	0.19888517	No	
row_68	SAP30	Sin3A associated protein 30 [Source:HGNC Symbol;Acc:HGNC:10532]	5791	0.03884148970246315	0.19891623	No	
row_69	PEX11B	peroxisomal biogenesis factor 11 beta [Source:HGNC Symbol;Acc:HGNC:8853]	5823	0.038459423929452896	0.20016965	No	
