NAME	TITLE	SCORE	
THSD1P1	thrombospondin type 1 domain containing 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:31375]	0.3285556	
ZNF860	zinc finger protein 860 [Source:HGNC Symbol;Acc:HGNC:34513]	0.3164167	
MEIOC	meiosis specific with coiled-coil domain [Source:HGNC Symbol;Acc:HGNC:26670]	0.2994545	
FBXO41	F-box protein 41 [Source:HGNC Symbol;Acc:HGNC:29409]	0.2981796	
PHF12	PHD finger protein 12 [Source:HGNC Symbol;Acc:HGNC:20816]	0.29759434	
DNM1P35	dynamin 1 pseudogene 35 [Source:HGNC Symbol;Acc:HGNC:35182]	0.29436395	
ZNF239	zinc finger protein 239 [Source:HGNC Symbol;Acc:HGNC:13031]	0.29135215	
SMPD4BP	sphingomyelin phosphodiesterase 4B, pseudogene [Source:HGNC Symbol;Acc:HGNC:24761]	0.2903003	
VCPKMT	valosin containing protein lysine methyltransferase [Source:HGNC Symbol;Acc:HGNC:20352]	0.28922108	
MBIP	MAP3K12 binding inhibitory protein 1 [Source:HGNC Symbol;Acc:HGNC:20427]	0.28852543	
AGAP7P	ArfGAP with GTPase domain, ankyrin repeat and PH domain 7, pseudogene [Source:HGNC Symbol;Acc:HGNC:23465]	0.2876095	
MLLT6	MLLT6, PHD finger containing [Source:HGNC Symbol;Acc:HGNC:7138]	0.2875234	
DOC2A	double C2 domain alpha [Source:HGNC Symbol;Acc:HGNC:2985]	0.2855632	
MIRLET7BHG	MIRLET7B host gene [Source:HGNC Symbol;Acc:HGNC:37189]	0.2852235	
CCDC183	coiled-coil domain containing 183 [Source:HGNC Symbol;Acc:HGNC:28236]	0.2808269	
C20orf203	chromosome 20 open reading frame 203 [Source:HGNC Symbol;Acc:HGNC:26592]	0.2794435	
TPT1-AS1	TPT1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:43686]	0.27892298	
ZNF300	zinc finger protein 300 [Source:HGNC Symbol;Acc:HGNC:13091]	0.2757844	
ZNF211	zinc finger protein 211 [Source:HGNC Symbol;Acc:HGNC:13003]	0.27470723	
FNBP4	formin binding protein 4 [Source:HGNC Symbol;Acc:HGNC:19752]	0.273082	
EIF4A2	eukaryotic translation initiation factor 4A2 [Source:HGNC Symbol;Acc:HGNC:3284]	0.2673407	
CCDC146	coiled-coil domain containing 146 [Source:HGNC Symbol;Acc:HGNC:29296]	0.2622399	
DLEU2	deleted in lymphocytic leukemia 2 [Source:HGNC Symbol;Acc:HGNC:13748]	0.2622267	
IGSF9B	immunoglobulin superfamily member 9B [Source:HGNC Symbol;Acc:HGNC:32326]	0.2612704	
GUCA1B	guanylate cyclase activator 1B [Source:HGNC Symbol;Acc:HGNC:4679]	0.25975955	
L3MBTL1	L3MBTL histone methyl-lysine binding protein 1 [Source:HGNC Symbol;Acc:HGNC:15905]	0.25924936	
ABCA15P	ATP binding cassette subfamily A member 15, pseudogene [Source:HGNC Symbol;Acc:HGNC:34405]	0.25884262	
TMEM178A	transmembrane protein 178A [Source:HGNC Symbol;Acc:HGNC:28517]	0.25797737	
COL7A1	collagen type VII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2214]	0.25711834	
OSBPL10	oxysterol binding protein like 10 [Source:HGNC Symbol;Acc:HGNC:16395]	0.25689968	
TRIM59	tripartite motif containing 59 [Source:HGNC Symbol;Acc:HGNC:30834]	0.25689378	
