NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NEFM	neurofilament medium chain [Source:HGNC Symbol;Acc:HGNC:7734]	7	0.29256153106689453	0.037718553	Yes	
row_1	DMTN	dematin actin binding protein [Source:HGNC Symbol;Acc:HGNC:3382]	11	0.2819618284702301	0.074292935	Yes	
row_2	GABRG2	gamma-aminobutyric acid type A receptor subunit gamma2 [Source:HGNC Symbol;Acc:HGNC:4087]	64	0.2300935983657837	0.10119765	Yes	
row_3	STXBP1	syntaxin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11444]	77	0.2262345254421234	0.12997395	Yes	
row_4	KIAA0319	KIAA0319 [Source:HGNC Symbol;Acc:HGNC:21580]	183	0.20154546201229095	0.15001121	Yes	
row_5	CELF4	CUGBP Elav-like family member 4 [Source:HGNC Symbol;Acc:HGNC:14015]	243	0.19265897572040558	0.17162094	Yes	
row_6	SYT4	synaptotagmin 4 [Source:HGNC Symbol;Acc:HGNC:11512]	342	0.1821550875902176	0.1895463	Yes	
row_7	HPCA	hippocalcin [Source:HGNC Symbol;Acc:HGNC:5144]	357	0.18133071064949036	0.21235085	Yes	
row_8	SST	somatostatin [Source:HGNC Symbol;Acc:HGNC:11329]	367	0.18084952235221863	0.2353895	Yes	
row_9	GAD2	glutamate decarboxylase 2 [Source:HGNC Symbol;Acc:HGNC:4093]	401	0.1766265332698822	0.25645295	Yes	
row_10	SLC6A7	solute carrier family 6 member 7 [Source:HGNC Symbol;Acc:HGNC:11054]	416	0.17567582428455353	0.27852044	Yes	
row_11	AMER3	APC membrane recruitment protein 3 [Source:HGNC Symbol;Acc:HGNC:26771]	526	0.16780827939510345	0.29392272	Yes	
row_12	NSF	N-ethylmaleimide sensitive factor, vesicle fusing ATPase [Source:HGNC Symbol;Acc:HGNC:8016]	727	0.15595020353794098	0.3023772	Yes	
