NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TMEM106C	transmembrane protein 106C [Source:HGNC Symbol;Acc:HGNC:28775]	8	0.286737322807312	0.019261597	Yes	
row_1	GKAP1	G kinase anchoring protein 1 [Source:HGNC Symbol;Acc:HGNC:17496]	12	0.27966296672821045	0.038334593	Yes	
row_2	SOWAHA	sosondowah ankyrin repeat domain family member A [Source:HGNC Symbol;Acc:HGNC:27033]	51	0.2398877888917923	0.05258066	Yes	
row_3	RAB26	RAB26, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:14259]	60	0.23226529359817505	0.06809239	Yes	
row_4	FAM222A	family with sequence similarity 222 member A [Source:HGNC Symbol;Acc:HGNC:25915]	65	0.2297229915857315	0.08366784	Yes	
row_5	TAF5	TATA-box binding protein associated factor 5 [Source:HGNC Symbol;Acc:HGNC:11539]	79	0.22575029730796814	0.098432675	Yes	
row_6	FBXL16	F-box and leucine rich repeat protein 16 [Source:HGNC Symbol;Acc:HGNC:14150]	217	0.19607025384902954	0.10375401	Yes	
row_7	PXMP2	peroxisomal membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:9716]	308	0.18615779280662537	0.111197926	Yes	
row_8	KCNA6	potassium voltage-gated channel subfamily A member 6 [Source:HGNC Symbol;Acc:HGNC:6225]	309	0.18614228069782257	0.124011986	Yes	
row_9	PDXP	pyridoxal phosphatase [Source:HGNC Symbol;Acc:HGNC:30259]	331	0.1838165670633316	0.13541266	Yes	
row_10	MNX1	motor neuron and pancreas homeobox 1 [Source:HGNC Symbol;Acc:HGNC:4979]	359	0.18130242824554443	0.14628218	Yes	
row_11	INA	internexin neuronal intermediate filament protein alpha [Source:HGNC Symbol;Acc:HGNC:6057]	382	0.17864476144313812	0.15726715	Yes	
row_12	ZDHHC23	zinc finger DHHC-type palmitoyltransferase 23 [Source:HGNC Symbol;Acc:HGNC:28654]	402	0.1765822321176529	0.16828917	Yes	
row_13	TPPP	tubulin polymerization promoting protein [Source:HGNC Symbol;Acc:HGNC:24164]	668	0.15894204378128052	0.16341554	Yes	
row_14	TMOD2	tropomodulin 2 [Source:HGNC Symbol;Acc:HGNC:11872]	739	0.1555899679660797	0.16994877	Yes	
row_15	SYNGR3	synaptogyrin 3 [Source:HGNC Symbol;Acc:HGNC:11501]	752	0.15462663769721985	0.17987713	Yes	
row_16	BRI3BP	BRI3 binding protein [Source:HGNC Symbol;Acc:HGNC:14251]	768	0.15409447252750397	0.18958981	Yes	
row_17	MAP3K21	mitogen-activated protein kinase kinase kinase 21 [Source:HGNC Symbol;Acc:HGNC:29798]	829	0.1512158364057541	0.19641872	Yes	
row_18	TLE2	TLE family member 2, transcriptional corepressor [Source:HGNC Symbol;Acc:HGNC:11838]	858	0.14985612034797668	0.20506379	Yes	
row_19	ALKAL2	ALK and LTK ligand 2 [Source:HGNC Symbol;Acc:HGNC:27683]	1006	0.1434275209903717	0.20616439	Yes	
row_20	ATRNL1	attractin like 1 [Source:HGNC Symbol;Acc:HGNC:29063]	1099	0.13964354991912842	0.2102869	Yes	
row_21	FAXC	failed axon connections homolog, metaxin like GST domain containing [Source:HGNC Symbol;Acc:HGNC:20742]	1108	0.13944144546985626	0.21940863	Yes	
row_22	RYR1	ryanodine receptor 1 [Source:HGNC Symbol;Acc:HGNC:10483]	1155	0.13767455518245697	0.22614087	Yes	
row_23	RASD1	ras related dexamethasone induced 1 [Source:HGNC Symbol;Acc:HGNC:15828]	1235	0.1349894255399704	0.23071884	Yes	
row_24	SEPTIN3	septin 3 [Source:HGNC Symbol;Acc:HGNC:10750]	1252	0.1344170719385147	0.23901725	Yes	
row_25	GCH1	GTP cyclohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:4193]	1276	0.13359443843364716	0.24684127	Yes	
row_26	FGFR3	fibroblast growth factor receptor 3 [Source:HGNC Symbol;Acc:HGNC:3690]	1562	0.12416404485702515	0.23837991	Yes	
row_27	SYN1	synapsin I [Source:HGNC Symbol;Acc:HGNC:11494]	1610	0.12308620661497116	0.24404821	Yes	
row_28	CDKN2C	cyclin dependent kinase inhibitor 2C [Source:HGNC Symbol;Acc:HGNC:1789]	1623	0.12259399890899658	0.25177145	Yes	
row_29	NAT8L	N-acetyltransferase 8 like [Source:HGNC Symbol;Acc:HGNC:26742]	1672	0.1210169568657875	0.2572376	Yes	
row_30	NEFL	neurofilament light chain [Source:HGNC Symbol;Acc:HGNC:7739]	1706	0.12009602785110474	0.2635356	Yes	
row_31	POLE2	DNA polymerase epsilon 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:9178]	1861	0.11526226252317429	0.26227954	Yes	
row_32	DDAH1	dimethylarginine dimethylaminohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:2715]	1938	0.113400399684906	0.26555035	Yes	
row_33	PDIA2	protein disulfide isomerase family A member 2 [Source:HGNC Symbol;Acc:HGNC:14180]	2007	0.11184677481651306	0.26919165	Yes	
row_34	LMO2	LIM domain only 2 [Source:HGNC Symbol;Acc:HGNC:6642]	2152	0.10802733153104782	0.26803434	Yes	
