NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	A1CF	APOBEC1 complementation factor [Source:HGNC Symbol;Acc:HGNC:24086]	148	0.20795275270938873	0.009466938	Yes	
row_1	WNT4	Wnt family member 4 [Source:HGNC Symbol;Acc:HGNC:12783]	205	0.19766919314861298	0.023510173	Yes	
row_2	AP3B2	adaptor related protein complex 3 subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:567]	248	0.19216296076774597	0.037903275	Yes	
row_3	BCL2L10	BCL2 like 10 [Source:HGNC Symbol;Acc:HGNC:993]	320	0.1853257268667221	0.04996772	Yes	
row_4	SLC17A4	solute carrier family 17 member 4 [Source:HGNC Symbol;Acc:HGNC:10932]	352	0.18162594735622406	0.06408967	Yes	
row_5	NAT8B	N-acetyltransferase 8B (putative, gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:30235]	413	0.17577020823955536	0.075969264	Yes	
row_6	PARM1	prostate androgen-regulated mucin-like protein 1 [Source:HGNC Symbol;Acc:HGNC:24536]	534	0.16746751964092255	0.08354468	Yes	
row_7	NUDT7	nudix hydrolase 7 [Source:HGNC Symbol;Acc:HGNC:8054]	591	0.16398923099040985	0.09462676	Yes	
row_8	DGKQ	diacylglycerol kinase theta [Source:HGNC Symbol;Acc:HGNC:2856]	702	0.15717516839504242	0.10189297	Yes	
row_9	OSGIN1	oxidative stress induced growth inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:30093]	773	0.15390995144844055	0.11125489	Yes	
row_10	BTBD3	BTB domain containing 3 [Source:HGNC Symbol;Acc:HGNC:15854]	785	0.15328215062618256	0.12407625	Yes	
row_11	CHGB	chromogranin B [Source:HGNC Symbol;Acc:HGNC:1930]	872	0.14915451407432556	0.13206697	Yes	
row_12	DIRAS2	DIRAS family GTPase 2 [Source:HGNC Symbol;Acc:HGNC:19323]	906	0.14779537916183472	0.14309537	Yes	
row_13	PDE6B	phosphodiesterase 6B [Source:HGNC Symbol;Acc:HGNC:8786]	957	0.14552366733551025	0.15291138	Yes	
row_14	HKDC1	hexokinase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23302]	1021	0.1429363191127777	0.16172549	Yes	
row_15	DNAH7	dynein axonemal heavy chain 7 [Source:HGNC Symbol;Acc:HGNC:18661]	1044	0.14190372824668884	0.17289118	Yes	
row_16	NRXN1	neurexin 1 [Source:HGNC Symbol;Acc:HGNC:8008]	1097	0.13973544538021088	0.18207914	Yes	
row_17	PDE1C	phosphodiesterase 1C [Source:HGNC Symbol;Acc:HGNC:8776]	1113	0.13911448419094086	0.19341658	Yes	
row_18	TSPAN7	tetraspanin 7 [Source:HGNC Symbol;Acc:HGNC:11854]	1118	0.13897965848445892	0.20539744	Yes	
row_19	KLHDC8A	kelch domain containing 8A [Source:HGNC Symbol;Acc:HGNC:25573]	1205	0.1359473168849945	0.21222697	Yes	
row_20	PRSS16	serine protease 16 [Source:HGNC Symbol;Acc:HGNC:9480]	1312	0.1324639469385147	0.21755885	Yes	
row_21	F11	coagulation factor XI [Source:HGNC Symbol;Acc:HGNC:3529]	1417	0.1287446767091751	0.22268285	Yes	
row_22	MISP	mitotic spindle positioning [Source:HGNC Symbol;Acc:HGNC:27000]	1431	0.12814998626708984	0.23317544	Yes	
row_23	PLCB4	phospholipase C beta 4 [Source:HGNC Symbol;Acc:HGNC:9059]	1445	0.1276686191558838	0.2436257	Yes	
row_24	CCL24	C-C motif chemokine ligand 24 [Source:HGNC Symbol;Acc:HGNC:10623]	1457	0.12732279300689697	0.2541647	Yes	
row_25	SCN7A	sodium voltage-gated channel alpha subunit 7 [Source:HGNC Symbol;Acc:HGNC:10594]	1628	0.12241063266992569	0.2548002	Yes	
row_26	PROX1	prospero homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9459]	1643	0.12208126485347748	0.26469967	Yes	
row_27	NEFL	neurofilament light chain [Source:HGNC Symbol;Acc:HGNC:7739]	1706	0.12009602785110474	0.2715652	Yes	
row_28	SPTBN4	spectrin beta, non-erythrocytic 4 [Source:HGNC Symbol;Acc:HGNC:14896]	1715	0.11975736171007156	0.28161776	Yes	
row_29	NACAD	NAC alpha domain containing [Source:HGNC Symbol;Acc:HGNC:22196]	1798	0.11751023679971695	0.28706458	Yes	
row_30	MAB21L1	mab-21 like 1 [Source:HGNC Symbol;Acc:HGNC:6757]	1890	0.11447873711585999	0.29170874	Yes	
row_31	PCP4	Purkinje cell protein 4 [Source:HGNC Symbol;Acc:HGNC:8742]	2072	0.11042291671037674	0.290635	Yes	
row_32	GSR	glutathione-disulfide reductase [Source:HGNC Symbol;Acc:HGNC:4623]	2314	0.10366231203079224	0.28539267	Yes	
row_33	LRP5L	LDL receptor related protein 5 like (pseudogene) [Source:HGNC Symbol;Acc:HGNC:25323]	2748	0.09397292882204056	0.26786104	Yes	
row_34	LDOC1	LDOC1 regulator of NFKB signaling [Source:HGNC Symbol;Acc:HGNC:6548]	3067	0.08690951019525528	0.25655892	Yes	
row_35	DGCR5	DiGeorge syndrome critical region gene 5 [Source:HGNC Symbol;Acc:HGNC:16757]	3092	0.08622704446315765	0.26271036	Yes	
row_36	KCNC4	potassium voltage-gated channel subfamily C member 4 [Source:HGNC Symbol;Acc:HGNC:6236]	3119	0.08568830788135529	0.2686953	Yes	
row_37	ZNF629	zinc finger protein 629 [Source:HGNC Symbol;Acc:HGNC:29008]	3478	0.07832149416208267	0.25425532	Yes	
row_38	GPC3	glypican 3 [Source:HGNC Symbol;Acc:HGNC:4451]	3586	0.07635515928268433	0.25459453	Yes	
row_39	CEP41	centrosomal protein 41 [Source:HGNC Symbol;Acc:HGNC:12370]	3738	0.07393887639045715	0.2521002	Yes	
row_40	GCNT4	glucosaminyl (N-acetyl) transferase 4 [Source:HGNC Symbol;Acc:HGNC:17973]	3753	0.07362931221723557	0.25773975	Yes	
row_41	GPC4	glypican 4 [Source:HGNC Symbol;Acc:HGNC:4452]	3771	0.0733226090669632	0.2631736	Yes	
row_42	TESMIN	testis expressed metallothionein like protein [Source:HGNC Symbol;Acc:HGNC:7446]	3817	0.07252436876296997	0.26686934	Yes	
row_43	LAD1	ladinin 1 [Source:HGNC Symbol;Acc:HGNC:6472]	3914	0.07091322541236877	0.26738533	Yes	
row_44	PLPPR4	phospholipid phosphatase related 4 [Source:HGNC Symbol;Acc:HGNC:23496]	4047	0.06854688376188278	0.26554877	Yes	
row_45	FRMD4A	FERM domain containing 4A [Source:HGNC Symbol;Acc:HGNC:25491]	4101	0.0677584558725357	0.2683489	Yes	
row_46	CLDN10	claudin 10 [Source:HGNC Symbol;Acc:HGNC:2033]	4193	0.06610193103551865	0.26873976	Yes	
row_47	BICDL1	BICD family like cargo adaptor 1 [Source:HGNC Symbol;Acc:HGNC:28095]	4201	0.06592341512441635	0.27411878	Yes	
row_48	GPX2	glutathione peroxidase 2 [Source:HGNC Symbol;Acc:HGNC:4554]	4276	0.06449779868125916	0.27538127	Yes	
row_49	PCOTH	prostate and testis expressed opposite C1QTNF9B and MIPEP [Source:HGNC Symbol;Acc:HGNC:39839]	4346	0.0632290318608284	0.27683008	Yes	
row_50	CMKLR1	chemerin chemokine-like receptor 1 [Source:HGNC Symbol;Acc:HGNC:2121]	4418	0.061999835073947906	0.27805167	Yes	
row_51	CORO2A	coronin 2A [Source:HGNC Symbol;Acc:HGNC:2255]	4537	0.060162246227264404	0.2763119	Yes	
row_52	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase [Source:HGNC Symbol;Acc:HGNC:17968]	4562	0.05969216674566269	0.2801304	Yes	
row_53	PHKG1	phosphorylase kinase catalytic subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:8930]	4563	0.0596914142370224	0.28537846	Yes	
row_54	PACRG	parkin coregulated [Source:HGNC Symbol;Acc:HGNC:19152]	4574	0.05957420542836189	0.29002056	Yes	
row_55	ECHDC3	enoyl-CoA hydratase domain containing 3 [Source:HGNC Symbol;Acc:HGNC:23489]	4720	0.0574985034763813	0.2864382	Yes	
row_56	PRKG2	protein kinase cGMP-dependent 2 [Source:HGNC Symbol;Acc:HGNC:9416]	4762	0.05674313008785248	0.28898472	Yes	
row_57	HYAL3	hyaluronidase 3 [Source:HGNC Symbol;Acc:HGNC:5322]	4795	0.05615328252315521	0.2920155	Yes	
row_58	SCAND2P	SCAN domain containing 2 pseudogene [Source:HGNC Symbol;Acc:HGNC:10567]	4909	0.05439310148358345	0.29006636	No	
row_59	KCNS1	potassium voltage-gated channel modifier subfamily S member 1 [Source:HGNC Symbol;Acc:HGNC:6300]	5217	0.050257567316293716	0.27619708	No	
