NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GLS2	glutaminase 2 [Source:HGNC Symbol;Acc:HGNC:29570]	53	0.2381914108991623	0.012718532	No	
row_1	CBR4	carbonyl reductase 4 [Source:HGNC Symbol;Acc:HGNC:25891]	287	0.18880367279052734	0.011392832	No	
row_2	REXO5	RNA exonuclease 5 [Source:HGNC Symbol;Acc:HGNC:24661]	380	0.178892120718956	0.017827598	No	
row_3	SCG5	secretogranin V [Source:HGNC Symbol;Acc:HGNC:10816]	569	0.16511619091033936	0.017609965	No	
row_4	FAR2	fatty acyl-CoA reductase 2 [Source:HGNC Symbol;Acc:HGNC:25531]	592	0.16392898559570312	0.027227754	No	
row_5	ACADVL	acyl-CoA dehydrogenase very long chain [Source:HGNC Symbol;Acc:HGNC:92]	781	0.15344400703907013	0.026231747	No	
row_6	ETFB	electron transfer flavoprotein subunit beta [Source:HGNC Symbol;Acc:HGNC:3482]	832	0.15106455981731415	0.033319317	No	
row_7	ABHD10	abhydrolase domain containing 10, depalmitoylase [Source:HGNC Symbol;Acc:HGNC:25656]	868	0.1495479792356491	0.041201647	No	
row_8	CHRNA5	cholinergic receptor nicotinic alpha 5 subunit [Source:HGNC Symbol;Acc:HGNC:1959]	1086	0.14006845653057098	0.037581615	No	
row_9	PPM1D	protein phosphatase, Mg2+/Mn2+ dependent 1D [Source:HGNC Symbol;Acc:HGNC:9277]	1209	0.13587965071201324	0.039356258	No	
row_10	GCH1	GTP cyclohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:4193]	1276	0.13359443843364716	0.04432319	No	
row_11	HSD17B2	hydroxysteroid 17-beta dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:5211]	1419	0.12872177362442017	0.044425976	No	
row_12	PLPP2	phospholipid phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:9230]	1428	0.12825451791286469	0.052500945	No	
row_13	TFPI2	tissue factor pathway inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:11761]	1440	0.12785516679286957	0.060370106	No	
row_14	BEX4	brain expressed X-linked 4 [Source:HGNC Symbol;Acc:HGNC:25475]	1452	0.12743636965751648	0.06821134	No	
row_15	ANPEP	alanyl aminopeptidase, membrane [Source:HGNC Symbol;Acc:HGNC:500]	1531	0.12518110871315002	0.0719005	No	
row_16	PITPNC1	phosphatidylinositol transfer protein cytoplasmic 1 [Source:HGNC Symbol;Acc:HGNC:21045]	1608	0.12322764843702316	0.075578846	No	
row_17	AURKB	aurora kinase B [Source:HGNC Symbol;Acc:HGNC:11390]	1619	0.1228184700012207	0.08317186	No	
row_18	FADS2	fatty acid desaturase 2 [Source:HGNC Symbol;Acc:HGNC:3575]	1681	0.12074659019708633	0.08758065	No	
row_19	NAT1	N-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:7645]	1684	0.12072330713272095	0.09551176	No	
row_20	RGS2	regulator of G protein signaling 2 [Source:HGNC Symbol;Acc:HGNC:9998]	1872	0.11488045006990433	0.09200383	No	
row_21	CAT	catalase [Source:HGNC Symbol;Acc:HGNC:1516]	1926	0.11368169635534286	0.096419305	No	
row_22	ING2	inhibitor of growth family member 2 [Source:HGNC Symbol;Acc:HGNC:6063]	2185	0.10705304890871048	0.08814882	No	
row_23	TBC1D8	TBC1 domain family member 8 [Source:HGNC Symbol;Acc:HGNC:17791]	2330	0.10334108769893646	0.08643962	No	
row_24	S100P	S100 calcium binding protein P [Source:HGNC Symbol;Acc:HGNC:10504]	2432	0.10067223012447357	0.087120675	No	
row_25	ALDH7A1	aldehyde dehydrogenase 7 family member A1 [Source:HGNC Symbol;Acc:HGNC:877]	2470	0.09971120208501816	0.09156013	No	
row_26	TMEM135	transmembrane protein 135 [Source:HGNC Symbol;Acc:HGNC:26167]	2752	0.09381365776062012	0.08103306	No	
row_27	RIDA	reactive intermediate imine deaminase A homolog [Source:HGNC Symbol;Acc:HGNC:16897]	2955	0.08889690041542053	0.07489649	No	
row_28	GLMN	glomulin, FKBP associated protein [Source:HGNC Symbol;Acc:HGNC:14373]	3206	0.0836295560002327	0.065541804	No	
row_29	GALNT6	polypeptide N-acetylgalactosaminyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:4128]	3309	0.08159037679433823	0.06489064	No	
row_30	KIF3A	kinesin family member 3A [Source:HGNC Symbol;Acc:HGNC:6319]	3418	0.0795217826962471	0.063743174	No	
row_31	ANTKMT	adenine nucleotide translocase lysine methyltransferase [Source:HGNC Symbol;Acc:HGNC:14152]	3490	0.07807917147874832	0.06470939	No	
row_32	SMARCD3	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3 [Source:HGNC Symbol;Acc:HGNC:11108]	3606	0.07612663507461548	0.062917426	No	
row_33	TIMP4	TIMP metallopeptidase inhibitor 4 [Source:HGNC Symbol;Acc:HGNC:11823]	3622	0.0758548453450203	0.06707998	No	
row_34	GK3	glycerol kinase 3 [Source:HGNC Symbol;Acc:HGNC:4292]	3719	0.07421332597732544	0.06629524	No	
row_35	BMP6	bone morphogenetic protein 6 [Source:HGNC Symbol;Acc:HGNC:1073]	4122	0.06735502183437347	0.04677684	No	
row_36	GLRX	glutaredoxin [Source:HGNC Symbol;Acc:HGNC:4330]	4269	0.06458651274442673	0.042363793	No	
row_37	CXCL1	C-X-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:4602]	4304	0.06407339870929718	0.044605892	No	
row_38	G6PD	glucose-6-phosphate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4057]	4366	0.0629134327173233	0.045158025	No	
row_39	FKBP1B	FKBP prolyl isomerase 1B [Source:HGNC Symbol;Acc:HGNC:3712]	4446	0.0614679716527462	0.044538688	No	
row_40	STN1	STN1 subunit of CST complex [Source:HGNC Symbol;Acc:HGNC:26200]	4529	0.06025826558470726	0.0436595	No	
row_41	CBLC	Cbl proto-oncogene C [Source:HGNC Symbol;Acc:HGNC:15961]	4781	0.05646346136927605	0.032433484	No	
row_42	DPYSL2	dihydropyrimidinase like 2 [Source:HGNC Symbol;Acc:HGNC:3014]	4813	0.0559985525906086	0.034316286	No	
row_43	BCL3	BCL3 transcription coactivator [Source:HGNC Symbol;Acc:HGNC:998]	4994	0.0531119704246521	0.027107349	No	
row_44	PRSS3	serine protease 3 [Source:HGNC Symbol;Acc:HGNC:9486]	5040	0.05244218930602074	0.027916819	No	
