NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GAP43	growth associated protein 43 [Source:HGNC Symbol;Acc:HGNC:4140]	16	0.2685813307762146	0.021651909	Yes	
row_1	FZD3	frizzled class receptor 3 [Source:HGNC Symbol;Acc:HGNC:4041]	26	0.2575651705265045	0.042793278	Yes	
row_2	NSG2	neuronal vesicle trafficking associated 2 [Source:HGNC Symbol;Acc:HGNC:24955]	27	0.2561548054218292	0.064351566	Yes	
row_3	TUBB4A	tubulin beta 4A class IVa [Source:HGNC Symbol;Acc:HGNC:20774]	49	0.24092192947864532	0.08337806	Yes	
row_4	SLC6A15	solute carrier family 6 member 15 [Source:HGNC Symbol;Acc:HGNC:13621]	108	0.2187115103006363	0.098333314	Yes	
row_5	GPR37	G protein-coupled receptor 37 [Source:HGNC Symbol;Acc:HGNC:4494]	132	0.21233507990837097	0.11483488	Yes	
row_6	TMOD1	tropomodulin 1 [Source:HGNC Symbol;Acc:HGNC:11871]	193	0.19958432018756866	0.12806134	Yes	
row_7	KIF5C	kinesin family member 5C [Source:HGNC Symbol;Acc:HGNC:6325]	300	0.18727542459964752	0.13751426	Yes	
row_8	SNAP25	synaptosome associated protein 25 [Source:HGNC Symbol;Acc:HGNC:11132]	319	0.1854042410850525	0.15204686	Yes	
row_9	ZNF536	zinc finger protein 536 [Source:HGNC Symbol;Acc:HGNC:29025]	452	0.17338231205940247	0.15878318	Yes	
row_10	NSG1	neuronal vesicle trafficking associated 1 [Source:HGNC Symbol;Acc:HGNC:18790]	517	0.16845275461673737	0.16915151	Yes	
row_11	WSCD1	WSC domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29060]	522	0.16820921003818512	0.18307015	Yes	
row_12	SCG3	secretogranin III [Source:HGNC Symbol;Acc:HGNC:13707]	567	0.16519112884998322	0.19435425	Yes	
row_13	SCG5	secretogranin V [Source:HGNC Symbol;Acc:HGNC:10816]	569	0.16511619091033936	0.20819111	Yes	
row_14	SLC12A5	solute carrier family 12 member 5 [Source:HGNC Symbol;Acc:HGNC:13818]	627	0.16147968173027039	0.21838917	Yes	
row_15	CHGA	chromogranin A [Source:HGNC Symbol;Acc:HGNC:1929]	636	0.16079279780387878	0.23144558	Yes	
row_16	NME5	NME/NM23 family member 5 [Source:HGNC Symbol;Acc:HGNC:7853]	733	0.1557610183954239	0.23884134	Yes	
row_17	ERC2	ELKS/RAB6-interacting/CAST family member 2 [Source:HGNC Symbol;Acc:HGNC:31922]	749	0.1549849510192871	0.25099236	Yes	
row_18	TCEAL2	transcription elongation factor A like 2 [Source:HGNC Symbol;Acc:HGNC:29818]	774	0.15389005839824677	0.2625156	Yes	
row_19	CHGB	chromogranin B [Source:HGNC Symbol;Acc:HGNC:1930]	872	0.14915451407432556	0.26929584	Yes	
