NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GAL	galanin and GMAP prepropeptide [Source:HGNC Symbol;Acc:HGNC:4114]	157	0.20676346123218536	0.009201132	No	
row_1	MT1F	metallothionein 1F [Source:HGNC Symbol;Acc:HGNC:7398]	462	0.17251302301883698	0.0065763723	No	
row_2	SLC7A11	solute carrier family 7 member 11 [Source:HGNC Symbol;Acc:HGNC:11059]	1433	0.12807902693748474	-0.039691787	No	
row_3	TGFBR3	transforming growth factor beta receptor 3 [Source:HGNC Symbol;Acc:HGNC:11774]	1484	0.126383975148201	-0.03133055	No	
row_4	C2CD2L	C2CD2 like [Source:HGNC Symbol;Acc:HGNC:29000]	1773	0.11825576424598694	-0.037870258	No	
row_5	DDX11	DEAD/H-box helicase 11 [Source:HGNC Symbol;Acc:HGNC:2736]	1978	0.11245540529489517	-0.03992856	No	
row_6	C2CD2	C2 calcium dependent domain containing 2 [Source:HGNC Symbol;Acc:HGNC:1266]	2222	0.10604027658700943	-0.044884644	No	
row_7	SLC1A4	solute carrier family 1 member 4 [Source:HGNC Symbol;Acc:HGNC:10942]	2452	0.10015475749969482	-0.04953512	No	
row_8	KCNJ15	potassium inwardly rectifying channel subfamily J member 15 [Source:HGNC Symbol;Acc:HGNC:6261]	2883	0.09066689759492874	-0.06700536	No	
row_9	CLSPN	claspin [Source:HGNC Symbol;Acc:HGNC:19715]	2954	0.08893205225467682	-0.063195005	No	
row_10	MEOX1	mesenchyme homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7013]	3001	0.08807261288166046	-0.058032673	No	
row_11	MMP15	matrix metallopeptidase 15 [Source:HGNC Symbol;Acc:HGNC:7161]	3148	0.08496840298175812	-0.059103344	No	
row_12	FJX1	four-jointed box kinase 1 [Source:HGNC Symbol;Acc:HGNC:17166]	4234	0.06508047133684158	-0.11787108	No	
row_13	CXCL1	C-X-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:4602]	4304	0.06407339870929718	-0.11623137	No	
row_14	HBEGF	heparin binding EGF like growth factor [Source:HGNC Symbol;Acc:HGNC:3059]	4660	0.05840345844626427	-0.13213022	No	
row_15	SLC19A1	solute carrier family 19 member 1 [Source:HGNC Symbol;Acc:HGNC:10937]	4666	0.058331407606601715	-0.12719478	No	
row_16	ENTPD6	ectonucleoside triphosphate diphosphohydrolase 6 [Source:HGNC Symbol;Acc:HGNC:3368]	4923	0.054181016981601715	-0.13757747	No	
row_17	SLC1A5	solute carrier family 1 member 5 [Source:HGNC Symbol;Acc:HGNC:10943]	5039	0.05247009918093681	-0.13971783	No	
row_18	LRIG1	leucine rich repeats and immunoglobulin like domains 1 [Source:HGNC Symbol;Acc:HGNC:17360]	5835	0.04166943579912186	-0.18331781	No	
row_19	FURIN	furin, paired basic amino acid cleaving enzyme [Source:HGNC Symbol;Acc:HGNC:8568]	6097	0.03748894855380058	-0.19549577	No	
row_20	GREM1	gremlin 1, DAN family BMP antagonist [Source:HGNC Symbol;Acc:HGNC:2001]	6206	0.035853683948516846	-0.19871002	No	
row_21	TEK	TEK receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:11724]	6501	0.03188668191432953	-0.21335559	No	
row_22	SLCO2A1	solute carrier organic anion transporter family member 2A1 [Source:HGNC Symbol;Acc:HGNC:10955]	6631	0.030181609094142914	-0.21832916	No	
row_23	C3orf52	chromosome 3 open reading frame 52 [Source:HGNC Symbol;Acc:HGNC:26255]	6784	0.02797471173107624	-0.22487028	No	
row_24	TAP1	transporter 1, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:43]	6832	0.02722080610692501	-0.22522679	No	
