NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FDFT1	farnesyl-diphosphate farnesyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:3629]	14	0.27571263909339905	0.02199828	Yes	
row_1	VIP	vasoactive intestinal peptide [Source:HGNC Symbol;Acc:HGNC:12693]	19	0.2650943398475647	0.04371324	Yes	
row_2	CCAR2	cell cycle and apoptosis regulator 2 [Source:HGNC Symbol;Acc:HGNC:23360]	42	0.2480388581752777	0.062942944	Yes	
row_3	GABRG2	gamma-aminobutyric acid type A receptor subunit gamma2 [Source:HGNC Symbol;Acc:HGNC:4087]	64	0.2300935983657837	0.080746144	Yes	
row_4	CDH17	cadherin 17 [Source:HGNC Symbol;Acc:HGNC:1756]	198	0.19860349595546722	0.08926614	Yes	
row_5	FDPS	farnesyl diphosphate synthase [Source:HGNC Symbol;Acc:HGNC:3631]	354	0.18154273927211761	0.095062025	Yes	
row_6	MBL1P	mannose binding lectin 1, pseudogene [Source:HGNC Symbol;Acc:HGNC:6921]	379	0.17916439473628998	0.10846879	Yes	
row_7	TPH1	tryptophan hydroxylase 1 [Source:HGNC Symbol;Acc:HGNC:12008]	447	0.1736459583044052	0.118855685	Yes	
row_8	COMTD1	catechol-O-methyltransferase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26309]	473	0.1716786026954651	0.13158293	Yes	
row_9	LSS	lanosterol synthase [Source:HGNC Symbol;Acc:HGNC:6708]	639	0.16062021255493164	0.13505013	Yes	
row_10	CYP51A1	cytochrome P450 family 51 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2649]	666	0.15899287164211273	0.14666723	Yes	
row_11	IDH3A	isocitrate dehydrogenase (NAD(+)) 3 catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:5384]	714	0.15644830465316772	0.15682197	Yes	
row_12	RRM2	ribonucleotide reductase regulatory subunit M2 [Source:HGNC Symbol;Acc:HGNC:10452]	786	0.15321961045265198	0.16527887	Yes	
row_13	STARD4	StAR related lipid transfer domain containing 4 [Source:HGNC Symbol;Acc:HGNC:18058]	828	0.15125493705272675	0.17536113	Yes	
row_14	FOXI1	forkhead box I1 [Source:HGNC Symbol;Acc:HGNC:3815]	1003	0.14349627494812012	0.17687383	Yes	
row_15	NSDHL	NAD(P) dependent steroid dehydrogenase-like [Source:HGNC Symbol;Acc:HGNC:13398]	1224	0.13540275394916534	0.17497458	Yes	
row_16	GCH1	GTP cyclohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:4193]	1276	0.13359443843364716	0.1829983	Yes	
row_17	HELLS	helicase, lymphoid specific [Source:HGNC Symbol;Acc:HGNC:4861]	1332	0.13157130777835846	0.19061607	Yes	
row_18	NKAIN1	sodium/potassium transporting ATPase interacting 1 [Source:HGNC Symbol;Acc:HGNC:25743]	1336	0.13151708245277405	0.20132864	Yes	
row_19	PAFAH2	platelet activating factor acetylhydrolase 2 [Source:HGNC Symbol;Acc:HGNC:8579]	1382	0.12990181148052216	0.20940417	Yes	
row_20	CTRB1	chymotrypsinogen B1 [Source:HGNC Symbol;Acc:HGNC:2521]	1536	0.1250740885734558	0.2106429	Yes	
row_21	GSS	glutathione synthetase [Source:HGNC Symbol;Acc:HGNC:4624]	1617	0.12282901257276535	0.21604665	Yes	
row_22	SC5D	sterol-C5-desaturase [Source:HGNC Symbol;Acc:HGNC:10547]	1625	0.12248969078063965	0.22577322	Yes	
row_23	MYO7B	myosin VIIB [Source:HGNC Symbol;Acc:HGNC:7607]	1631	0.12236876785755157	0.23560898	Yes	
row_24	RD3	RD3 regulator of GUCY2D [Source:HGNC Symbol;Acc:HGNC:19689]	1853	0.11547395586967468	0.23199977	Yes	
row_25	HSPE1	heat shock protein family E (Hsp10) member 1 [Source:HGNC Symbol;Acc:HGNC:5269]	1891	0.11444492638111115	0.23927207	Yes	
row_26	ATF3	activating transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:785]	1936	0.1134725958108902	0.24604665	Yes	
row_27	RCOR2	REST corepressor 2 [Source:HGNC Symbol;Acc:HGNC:27455]	2004	0.11192003637552261	0.2513218	Yes	
row_28	TESC	tescalcin [Source:HGNC Symbol;Acc:HGNC:26065]	2064	0.11061786860227585	0.25696594	Yes	
row_29	TMEM40	transmembrane protein 40 [Source:HGNC Symbol;Acc:HGNC:25620]	2082	0.11025921255350113	0.26508364	Yes	
row_30	KIF9	kinesin family member 9 [Source:HGNC Symbol;Acc:HGNC:16666]	2105	0.10966390371322632	0.27285406	Yes	
row_31	PCDHB5	protocadherin beta 5 [Source:HGNC Symbol;Acc:HGNC:8690]	2137	0.10852964222431183	0.2799941	Yes	
row_32	FAM3B	FAM3 metabolism regulating signaling molecule B [Source:HGNC Symbol;Acc:HGNC:1253]	2325	0.1034301370382309	0.27741396	Yes	
row_33	DHCR7	7-dehydrocholesterol reductase [Source:HGNC Symbol;Acc:HGNC:2860]	2600	0.09701921045780182	0.26911753	Yes	
row_34	MRTFB	myocardin related transcription factor B [Source:HGNC Symbol;Acc:HGNC:29819]	2709	0.09484368562698364	0.27053487	Yes	
row_35	CCDC86	coiled-coil domain containing 86 [Source:HGNC Symbol;Acc:HGNC:28359]	2850	0.0914519801735878	0.26976407	Yes	
row_36	DHCR24	24-dehydrocholesterol reductase [Source:HGNC Symbol;Acc:HGNC:2859]	2950	0.08899793773889542	0.2712337	Yes	
row_37	BID	BH3 interacting domain death agonist [Source:HGNC Symbol;Acc:HGNC:1050]	3039	0.08736861497163773	0.27322403	Yes	
row_38	RGS11	regulator of G protein signaling 11 [Source:HGNC Symbol;Acc:HGNC:9993]	3122	0.08562862873077393	0.27542788	Yes	
row_39	LIPG	lipase G, endothelial type [Source:HGNC Symbol;Acc:HGNC:6623]	3298	0.08192411810159683	0.27178198	Yes	
row_40	JPT1	Jupiter microtubule associated homolog 1 [Source:HGNC Symbol;Acc:HGNC:14569]	3388	0.08003870397806168	0.27310568	Yes	
row_41	SLC41A3	solute carrier family 41 member 3 [Source:HGNC Symbol;Acc:HGNC:31046]	3417	0.07952649146318436	0.2780227	Yes	
row_42	TMEM97	transmembrane protein 97 [Source:HGNC Symbol;Acc:HGNC:28106]	3568	0.07676011323928833	0.27543917	Yes	
row_43	EEF1E1	eukaryotic translation elongation factor 1 epsilon 1 [Source:HGNC Symbol;Acc:HGNC:3212]	3729	0.07406178116798401	0.2720362	Yes	
row_44	NQO2	N-ribosyldihydronicotinamide:quinone dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:7856]	3884	0.07132377475500107	0.26876408	Yes	
row_45	CDK1	cyclin dependent kinase 1 [Source:HGNC Symbol;Acc:HGNC:1722]	3951	0.07021348178386688	0.27064496	Yes	
row_46	RETREG3	reticulophagy regulator family member 3 [Source:HGNC Symbol;Acc:HGNC:27258]	4028	0.06878049671649933	0.2718112	Yes	
row_47	PCNA	proliferating cell nuclear antigen [Source:HGNC Symbol;Acc:HGNC:8729]	4149	0.06688493490219116	0.27019793	Yes	
row_48	COQ4	coenzyme Q4 [Source:HGNC Symbol;Acc:HGNC:19693]	4220	0.0656004399061203	0.2714584	Yes	
