NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EN2	engrailed homeobox 2 [Source:HGNC Symbol;Acc:HGNC:3343]	158	0.20667563378810883	0.013380598	Yes	
row_1	KIF5C	kinesin family member 5C [Source:HGNC Symbol;Acc:HGNC:6325]	300	0.18727542459964752	0.025634188	Yes	
row_2	GLRA3	glycine receptor alpha 3 [Source:HGNC Symbol;Acc:HGNC:4328]	307	0.18630848824977875	0.04581071	Yes	
row_3	SLC25A13	solute carrier family 25 member 13 [Source:HGNC Symbol;Acc:HGNC:10983]	310	0.18613635003566742	0.06620617	Yes	
row_4	BMP5	bone morphogenetic protein 5 [Source:HGNC Symbol;Acc:HGNC:1072]	500	0.16980358958244324	0.07367923	Yes	
row_5	PALS2	protein associated with LIN7 2, MAGUK p55 family member [Source:HGNC Symbol;Acc:HGNC:18167]	516	0.16860094666481018	0.09136887	Yes	
row_6	NSG1	neuronal vesicle trafficking associated 1 [Source:HGNC Symbol;Acc:HGNC:18790]	517	0.16845275461673737	0.109934345	Yes	
row_7	PLAAT1	phospholipase A and acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:14922]	568	0.16516123712062836	0.12516317	Yes	
row_8	SLC8A3	solute carrier family 8 member A3 [Source:HGNC Symbol;Acc:HGNC:11070]	617	0.16213665902614594	0.14017761	Yes	
row_9	CASP7	caspase 7 [Source:HGNC Symbol;Acc:HGNC:1508]	811	0.15213754773139954	0.14546575	Yes	
row_10	U2AF1	U2 small nuclear RNA auxiliary factor 1 [Source:HGNC Symbol;Acc:HGNC:12453]	848	0.15046682953834534	0.15990776	Yes	
row_11	CPLX2	complexin 2 [Source:HGNC Symbol;Acc:HGNC:2310]	927	0.14701686799526215	0.17147149	Yes	
row_12	GJD2	gap junction protein delta 2 [Source:HGNC Symbol;Acc:HGNC:19154]	978	0.14466068148612976	0.18444091	Yes	
row_13	RXRG	retinoid X receptor gamma [Source:HGNC Symbol;Acc:HGNC:10479]	993	0.1439313441514969	0.19947115	Yes	
row_14	MAP6	microtubule associated protein 6 [Source:HGNC Symbol;Acc:HGNC:6868]	997	0.14361126720905304	0.21512036	Yes	
row_15	PDE1C	phosphodiesterase 1C [Source:HGNC Symbol;Acc:HGNC:8776]	1113	0.13911448419094086	0.22361247	Yes	
row_16	GGT7	gamma-glutamyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:4259]	1189	0.13625872135162354	0.23416896	Yes	
row_17	ADRB1	adrenoceptor beta 1 [Source:HGNC Symbol;Acc:HGNC:285]	1350	0.13126717507839203	0.2391197	Yes	
row_18	C11orf52	chromosome 11 open reading frame 52 [Source:HGNC Symbol;Acc:HGNC:30531]	1555	0.12432123720645905	0.24068789	Yes	
row_19	SWSAP1	SWIM-type zinc finger 7 associated protein 1 [Source:HGNC Symbol;Acc:HGNC:26638]	1935	0.11348646134138107	0.23065336	Yes	
