NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MEIS2	Meis homeobox 2 [Source:HGNC Symbol;Acc:HGNC:7001]	145	0.20861804485321045	0.0056966306	No	
row_1	CLDN3	claudin 3 [Source:HGNC Symbol;Acc:HGNC:2045]	171	0.20484711229801178	0.018300503	No	
row_2	PRDX2	peroxiredoxin 2 [Source:HGNC Symbol;Acc:HGNC:9353]	272	0.19053013622760773	0.02543991	No	
row_3	ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4 [Source:HGNC Symbol;Acc:HGNC:3359]	632	0.16094936430454254	0.015075433	No	
row_4	CAND2	cullin associated and neddylation dissociated 2 (putative) [Source:HGNC Symbol;Acc:HGNC:30689]	633	0.16093142330646515	0.026150236	No	
row_5	AZGP1	alpha-2-glycoprotein 1, zinc-binding [Source:HGNC Symbol;Acc:HGNC:910]	715	0.15636055171489716	0.03207293	No	
row_6	KRT18	keratin 18 [Source:HGNC Symbol;Acc:HGNC:6430]	1038	0.1421501338481903	0.022624496	No	
row_7	MARK2	microtubule affinity regulating kinase 2 [Source:HGNC Symbol;Acc:HGNC:3332]	1110	0.13926495611667633	0.027967956	No	
row_8	MISP	mitotic spindle positioning [Source:HGNC Symbol;Acc:HGNC:27000]	1431	0.12814998626708984	0.017675519	No	
row_9	REEP2	receptor accessory protein 2 [Source:HGNC Symbol;Acc:HGNC:17975]	1486	0.12630562484264374	0.023142446	No	
row_10	CD24	CD24 molecule [Source:HGNC Symbol;Acc:HGNC:1645]	1639	0.12217303365468979	0.022472138	No	
row_11	SCG2	secretogranin II [Source:HGNC Symbol;Acc:HGNC:10575]	1733	0.11940319091081619	0.025134867	No	
row_12	CAT	catalase [Source:HGNC Symbol;Acc:HGNC:1516]	1926	0.11368169635534286	0.021491297	No	
row_13	CPE	carboxypeptidase E [Source:HGNC Symbol;Acc:HGNC:2303]	1943	0.11323830485343933	0.028328441	No	
row_14	AGR2	anterior gradient 2, protein disulphide isomerase family member [Source:HGNC Symbol;Acc:HGNC:328]	2068	0.11047884821891785	0.028525615	No	
row_15	KLK1	kallikrein 1 [Source:HGNC Symbol;Acc:HGNC:6357]	2146	0.10821490734815598	0.03137397	No	
