NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NPY	neuropeptide Y [Source:HGNC Symbol;Acc:HGNC:7955]	5	0.3033345639705658	0.025625018	Yes	
row_1	MEIS2	Meis homeobox 2 [Source:HGNC Symbol;Acc:HGNC:7001]	145	0.20861804485321045	0.035168897	Yes	
row_2	ATP2A3	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3 [Source:HGNC Symbol;Acc:HGNC:813]	166	0.20555661618709564	0.05154377	Yes	
row_3	CFAP70	cilia and flagella associated protein 70 [Source:HGNC Symbol;Acc:HGNC:30726]	167	0.20535728335380554	0.06909364	Yes	
row_4	RAVER2	ribonucleoprotein, PTB binding 2 [Source:HGNC Symbol;Acc:HGNC:25577]	190	0.20000101625919342	0.084874526	Yes	
row_5	RUNDC3A	RUN domain containing 3A [Source:HGNC Symbol;Acc:HGNC:16984]	256	0.19156797230243683	0.09737184	Yes	
row_6	TNNT2	troponin T2, cardiac type [Source:HGNC Symbol;Acc:HGNC:11949]	283	0.18931356072425842	0.11200096	Yes	
row_7	MARK1	microtubule affinity regulating kinase 1 [Source:HGNC Symbol;Acc:HGNC:6896]	306	0.18659508228302002	0.12663618	Yes	
row_8	UPK1A	uroplakin 1A [Source:HGNC Symbol;Acc:HGNC:12577]	528	0.1676473617553711	0.12779133	Yes	
row_9	CACNA2D2	calcium voltage-gated channel auxiliary subunit alpha2delta 2 [Source:HGNC Symbol;Acc:HGNC:1400]	565	0.16525086760520935	0.13976803	Yes	
row_10	SLC12A5	solute carrier family 12 member 5 [Source:HGNC Symbol;Acc:HGNC:13818]	627	0.16147968173027039	0.14993241	Yes	
row_11	EPHX2	epoxide hydrolase 2 [Source:HGNC Symbol;Acc:HGNC:3402]	706	0.15697337687015533	0.15869844	Yes	
row_12	KBTBD11	kelch repeat and BTB domain containing 11 [Source:HGNC Symbol;Acc:HGNC:29104]	724	0.15607105195522308	0.17102307	Yes	
row_13	MED20	mediator complex subunit 20 [Source:HGNC Symbol;Acc:HGNC:16840]	814	0.15207715332508087	0.17871505	Yes	
row_14	DCX	doublecortin [Source:HGNC Symbol;Acc:HGNC:2714]	882	0.14893241226673126	0.18744951	Yes	
row_15	KCNMB2	potassium calcium-activated channel subfamily M regulatory beta subunit 2 [Source:HGNC Symbol;Acc:HGNC:6286]	1041	0.14206258952617645	0.19017312	Yes	
row_16	MAPT	microtubule associated protein tau [Source:HGNC Symbol;Acc:HGNC:6893]	1078	0.14053994417190552	0.20003802	Yes	
row_17	TACR1	tachykinin receptor 1 [Source:HGNC Symbol;Acc:HGNC:11526]	1281	0.13350293040275574	0.19940762	Yes	
