NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KCNJ3	potassium inwardly rectifying channel subfamily J member 3 [Source:HGNC Symbol;Acc:HGNC:6264]	489	0.17062440514564514	-0.010361355	No	
row_1	OSGIN1	oxidative stress induced growth inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:30093]	773	0.15390995144844055	-0.010303309	No	
row_2	AKR1B10	aldo-keto reductase family 1 member B10 [Source:HGNC Symbol;Acc:HGNC:382]	948	0.14599938690662384	-0.0046296306	No	
row_3	RTN1	reticulon 1 [Source:HGNC Symbol;Acc:HGNC:10467]	1166	0.13717812299728394	-0.002481972	No	
row_4	HSPA4L	heat shock protein family A (Hsp70) member 4 like [Source:HGNC Symbol;Acc:HGNC:17041]	1232	0.13508686423301697	0.008477861	No	
row_5	SECTM1	secreted and transmembrane 1 [Source:HGNC Symbol;Acc:HGNC:10707]	1302	0.13273963332176208	0.018942136	No	
row_6	GNA14	G protein subunit alpha 14 [Source:HGNC Symbol;Acc:HGNC:4382]	1385	0.1298474222421646	0.028315676	No	
row_7	IL1B	interleukin 1 beta [Source:HGNC Symbol;Acc:HGNC:5992]	1540	0.12485223263502121	0.032858063	No	
row_8	OTUB2	OTU deubiquitinase, ubiquitin aldehyde binding 2 [Source:HGNC Symbol;Acc:HGNC:20351]	1640	0.12215384840965271	0.040375955	No	
row_9	SERPINA5	serpin family A member 5 [Source:HGNC Symbol;Acc:HGNC:8723]	1683	0.1207244023680687	0.0511276	No	
row_10	NOL4	nucleolar protein 4 [Source:HGNC Symbol;Acc:HGNC:7870]	1744	0.1190822497010231	0.060628284	No	
row_11	ARVCF	ARVCF delta catenin family member [Source:HGNC Symbol;Acc:HGNC:728]	2191	0.10674392431974411	0.045813628	No	
row_12	KLK10	kallikrein related peptidase 10 [Source:HGNC Symbol;Acc:HGNC:6358]	2508	0.09886926412582397	0.03786773	No	
row_13	ATP2B2	ATPase plasma membrane Ca2+ transporting 2 [Source:HGNC Symbol;Acc:HGNC:815]	2796	0.09269458800554276	0.030969191	No	
row_14	ANO2	anoctamin 2 [Source:HGNC Symbol;Acc:HGNC:1183]	2821	0.09205445647239685	0.039644916	No	
row_15	DENND2A	DENN domain containing 2A [Source:HGNC Symbol;Acc:HGNC:22212]	2858	0.09121368080377579	0.047514543	No	
row_16	EHF	ETS homologous factor [Source:HGNC Symbol;Acc:HGNC:3246]	3023	0.08768761903047562	0.04738311	No	
row_17	LIPG	lipase G, endothelial type [Source:HGNC Symbol;Acc:HGNC:6623]	3298	0.08192411810159683	0.04007577	No	
row_18	THBS4	thrombospondin 4 [Source:HGNC Symbol;Acc:HGNC:11788]	3337	0.08108629286289215	0.04671491	No	
row_19	CHRM4	cholinergic receptor muscarinic 4 [Source:HGNC Symbol;Acc:HGNC:1953]	3383	0.08022657036781311	0.05284329	No	
row_20	GK3	glycerol kinase 3 [Source:HGNC Symbol;Acc:HGNC:4292]	3719	0.07421332597732544	0.041061085	No	
row_21	CEP41	centrosomal protein 41 [Source:HGNC Symbol;Acc:HGNC:12370]	3738	0.07393887639045715	0.04810546	No	
row_22	MIR22HG	MIR22 host gene [Source:HGNC Symbol;Acc:HGNC:28219]	4127	0.06724283844232559	0.032405518	No	
row_23	P2RY2	purinergic receptor P2Y2 [Source:HGNC Symbol;Acc:HGNC:8541]	4435	0.0617055781185627	0.02091611	No	
row_24	GPM6A	glycoprotein M6A [Source:HGNC Symbol;Acc:HGNC:4460]	4623	0.05896810442209244	0.016264437	No	
row_25	CHAC1	ChaC glutathione specific gamma-glutamylcyclotransferase 1 [Source:HGNC Symbol;Acc:HGNC:28680]	4627	0.05889931321144104	0.022550428	No	
row_26	ALDH1A2	aldehyde dehydrogenase 1 family member A2 [Source:HGNC Symbol;Acc:HGNC:15472]	5153	0.05113820359110832	-0.0030664916	No	
row_27	CHRDL1	chordin like 1 [Source:HGNC Symbol;Acc:HGNC:29861]	5196	0.05054900422692299	-1.6890706E-5	No	
row_28	IL32	interleukin 32 [Source:HGNC Symbol;Acc:HGNC:16830]	5457	0.046933773905038834	-0.010331776	No	
row_29	NAALAD2	N-acetylated alpha-linked acidic dipeptidase 2 [Source:HGNC Symbol;Acc:HGNC:14526]	5663	0.04402733966708183	-0.017693987	No	
row_30	ZMAT5	zinc finger matrin-type 5 [Source:HGNC Symbol;Acc:HGNC:28046]	5829	0.04174606874585152	-0.022927184	No	
row_31	ULK4	unc-51 like kinase 4 [Source:HGNC Symbol;Acc:HGNC:15784]	5970	0.03965604677796364	-0.026902648	No	
row_32	SATB1	SATB homeobox 1 [Source:HGNC Symbol;Acc:HGNC:10541]	6056	0.03810327872633934	-0.027776867	No	
row_33	TNFRSF10C	TNF receptor superfamily member 10c [Source:HGNC Symbol;Acc:HGNC:11906]	6069	0.037963882088661194	-0.02432399	No	
row_34	PC	pyruvate carboxylase [Source:HGNC Symbol;Acc:HGNC:8636]	6704	0.02914305403828621	-0.05883882	No	
row_35	ERN2	endoplasmic reticulum to nucleus signaling 2 [Source:HGNC Symbol;Acc:HGNC:16942]	6793	0.02787710539996624	-0.06101386	No	
row_36	SLC66A3	solute carrier family 66 member 3 [Source:HGNC Symbol;Acc:HGNC:28503]	6903	0.026213711127638817	-0.064620644	No	
row_37	CLPB	ClpB family mitochondrial disaggregase [Source:HGNC Symbol;Acc:HGNC:30664]	6972	0.025430340319871902	-0.06587453	No	
row_38	SH3BGR	SH3 domain binding glutamate rich protein [Source:HGNC Symbol;Acc:HGNC:10822]	7353	0.02046278305351734	-0.0862329	No	
row_39	DGCR11	DiGeorge syndrome critical region gene 11 [Source:HGNC Symbol;Acc:HGNC:17226]	7613	0.016760006546974182	-0.0998	No	
row_40	CTNNBIP1	catenin beta interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:16913]	7767	0.014820761978626251	-0.10727454	No	
row_41	ARHGEF5	Rho guanine nucleotide exchange factor 5 [Source:HGNC Symbol;Acc:HGNC:13209]	7768	0.014815392903983593	-0.10564849	No	
row_42	AKR1C3	aldo-keto reductase family 1 member C3 [Source:HGNC Symbol;Acc:HGNC:386]	7799	0.014411781914532185	-0.10585128	No	
row_43	KRT15	keratin 15 [Source:HGNC Symbol;Acc:HGNC:6421]	7848	0.013867049477994442	-0.10718459	No	
row_44	PRKY	protein kinase Y-linked (pseudogene) [Source:HGNC Symbol;Acc:HGNC:9444]	7997	0.011633738875389099	-0.11471149	No	
row_45	ZMAT3	zinc finger matrin-type 3 [Source:HGNC Symbol;Acc:HGNC:29983]	8340	0.007026336155831814	-0.13428415	No	
row_46	BBC3	BCL2 binding component 3 [Source:HGNC Symbol;Acc:HGNC:17868]	8348	0.006875333376228809	-0.13394594	No	
row_47	MON1B	MON1 homolog B, secretory trafficking associated [Source:HGNC Symbol;Acc:HGNC:25020]	8675	0.0022655678912997246	-0.15308936	No	
row_48	NNAT	neuronatin [Source:HGNC Symbol;Acc:HGNC:7860]	8903	-5.652134423144162E-4	-0.16653039	No	
row_49	VPS13C	vacuolar protein sorting 13 homolog C [Source:HGNC Symbol;Acc:HGNC:23594]	9267	-0.005469020456075668	-0.18752314	No	
row_50	RND1	Rho family GTPase 1 [Source:HGNC Symbol;Acc:HGNC:18314]	9556	-0.009037502110004425	-0.20366287	No	
row_51	SLC1A3	solute carrier family 1 member 3 [Source:HGNC Symbol;Acc:HGNC:10941]	9680	-0.010683083906769753	-0.20980701	No	
row_52	GPR183	G protein-coupled receptor 183 [Source:HGNC Symbol;Acc:HGNC:3128]	9708	-0.010952840559184551	-0.21021098	No	
row_53	TP53I3	tumor protein p53 inducible protein 3 [Source:HGNC Symbol;Acc:HGNC:19373]	9934	-0.0136272506788373	-0.22209942	No	
