NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PDHA1	pyruvate dehydrogenase E1 subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:8806]	15	0.2737075686454773	0.03915491	Yes	
row_1	SLC25A3	solute carrier family 25 member 3 [Source:HGNC Symbol;Acc:HGNC:10989]	139	0.21133992075920105	0.06277201	Yes	
row_2	HADHB	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta [Source:HGNC Symbol;Acc:HGNC:4803]	168	0.2052832394838333	0.09114397	Yes	
row_3	BTG2	BTG anti-proliferation factor 2 [Source:HGNC Symbol;Acc:HGNC:1131]	213	0.19668668508529663	0.11730813	Yes	
row_4	ATP5F1A	ATP synthase F1 subunit alpha [Source:HGNC Symbol;Acc:HGNC:823]	289	0.1885782927274704	0.14044522	Yes	
row_5	NSG1	neuronal vesicle trafficking associated 1 [Source:HGNC Symbol;Acc:HGNC:18790]	517	0.16845275461673737	0.15161219	Yes	
row_6	SLC25A5	solute carrier family 25 member 5 [Source:HGNC Symbol;Acc:HGNC:10991]	523	0.16818867623806	0.17592263	Yes	
row_7	SAMM50	SAMM50 sorting and assembly machinery component [Source:HGNC Symbol;Acc:HGNC:24276]	697	0.1573336273431778	0.18866925	Yes	
row_8	PMPCB	peptidase, mitochondrial processing subunit beta [Source:HGNC Symbol;Acc:HGNC:9119]	1330	0.1316080540418625	0.17039709	Yes	
row_9	GSS	glutathione synthetase [Source:HGNC Symbol;Acc:HGNC:4624]	1617	0.12282901257276535	0.17138559	Yes	
row_10	ATP1A1	ATPase Na+/K+ transporting subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:799]	1692	0.12051652371883392	0.18462408	Yes	
row_11	DRG1	developmentally regulated GTP binding protein 1 [Source:HGNC Symbol;Acc:HGNC:3029]	1877	0.11473015695810318	0.19048429	Yes	
row_12	UQCRC2	ubiquinol-cytochrome c reductase core protein 2 [Source:HGNC Symbol;Acc:HGNC:12586]	1918	0.11389227956533432	0.20477247	Yes	
