NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TUBB4A	tubulin beta 4A class IVa [Source:HGNC Symbol;Acc:HGNC:20774]	49	0.24092192947864532	0.015256608	No	
row_1	WNT4	Wnt family member 4 [Source:HGNC Symbol;Acc:HGNC:12783]	205	0.19766919314861298	0.020921463	No	
row_2	ETS2	ETS proto-oncogene 2, transcription factor [Source:HGNC Symbol;Acc:HGNC:3489]	423	0.17521041631698608	0.021190373	No	
row_3	JMJD6	jumonji domain containing 6, arginine demethylase and lysine hydroxylase [Source:HGNC Symbol;Acc:HGNC:19355]	664	0.15900416672229767	0.018863278	No	
row_4	MISP	mitotic spindle positioning [Source:HGNC Symbol;Acc:HGNC:27000]	1431	0.12814998626708984	-0.017191524	No	
row_5	PPP2R2B	protein phosphatase 2 regulatory subunit Bbeta [Source:HGNC Symbol;Acc:HGNC:9305]	1556	0.12431555986404419	-0.015211914	No	
row_6	SGK1	serum/glucocorticoid regulated kinase 1 [Source:HGNC Symbol;Acc:HGNC:10810]	1806	0.1172548457980156	-0.02122695	No	
row_7	ATF3	activating transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:785]	1936	0.1134725958108902	-0.020364098	No	
row_8	OVOL2	ovo like zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:15804]	2418	0.10105762630701065	-0.041450582	No	
row_9	TBX3	T-box transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:11602]	2609	0.09687608480453491	-0.045481574	No	
row_10	WNT16	Wnt family member 16 [Source:HGNC Symbol;Acc:HGNC:16267]	2684	0.0954274982213974	-0.042697337	No	
row_11	PAIP2B	poly(A) binding protein interacting protein 2B [Source:HGNC Symbol;Acc:HGNC:29200]	2688	0.09534993022680283	-0.03568066	No	
row_12	THPO	thrombopoietin [Source:HGNC Symbol;Acc:HGNC:11795]	2922	0.0897296667098999	-0.042817824	No	
row_13	RGS11	regulator of G protein signaling 11 [Source:HGNC Symbol;Acc:HGNC:9993]	3122	0.08562862873077393	-0.048234876	No	
row_14	DDC	dopa decarboxylase [Source:HGNC Symbol;Acc:HGNC:2719]	3145	0.08503034710884094	-0.043131176	No	
row_15	LIPG	lipase G, endothelial type [Source:HGNC Symbol;Acc:HGNC:6623]	3298	0.08192411810159683	-0.046022158	No	
row_16	PDGFA	platelet derived growth factor subunit A [Source:HGNC Symbol;Acc:HGNC:8799]	3828	0.07236162573099136	-0.07213957	No	
row_17	JADE3	jade family PHD finger 3 [Source:HGNC Symbol;Acc:HGNC:22982]	4123	0.0673094317317009	-0.08461008	No	
row_18	SMOX	spermine oxidase [Source:HGNC Symbol;Acc:HGNC:15862]	4723	0.05748230218887329	-0.116028994	No	
