NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GOLGA2P5	GOLGA2 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:25315]	288	0.18876215815544128	0.044588458	Yes	
row_1	GUCY2C	guanylate cyclase 2C [Source:HGNC Symbol;Acc:HGNC:4688]	301	0.18720345199108124	0.105001286	Yes	
row_2	CHCHD3	coiled-coil-helix-coiled-coil-helix domain containing 3 [Source:HGNC Symbol;Acc:HGNC:21906]	495	0.17012809216976166	0.14912759	Yes	
row_3	MYO1B	myosin IB [Source:HGNC Symbol;Acc:HGNC:7596]	711	0.15667012333869934	0.18755786	Yes	
row_4	APOBEC2	apolipoprotein B mRNA editing enzyme catalytic subunit 2 [Source:HGNC Symbol;Acc:HGNC:605]	742	0.1554773896932602	0.23654673	Yes	
row_5	LONRF2	LON peptidase N-terminal domain and ring finger 2 [Source:HGNC Symbol;Acc:HGNC:24788]	1167	0.13708601891994476	0.25621435	Yes	
row_6	PDIK1L	PDLIM1 interacting kinase 1 like [Source:HGNC Symbol;Acc:HGNC:18981]	1196	0.1360752135515213	0.29898667	Yes	
row_7	WSCD2	WSC domain containing 2 [Source:HGNC Symbol;Acc:HGNC:29117]	1324	0.13194233179092407	0.3345509	Yes	
row_8	LIMD1	LIM domain containing 1 [Source:HGNC Symbol;Acc:HGNC:6612]	1893	0.11439792811870575	0.338289	Yes	
row_9	CCDC87	coiled-coil domain containing 87 [Source:HGNC Symbol;Acc:HGNC:25579]	2066	0.11055949330329895	0.36420858	Yes	
row_10	RCC1L	RCC1 like [Source:HGNC Symbol;Acc:HGNC:14948]	2111	0.10940709710121155	0.39732674	Yes	
row_11	LCA5L	lebercilin LCA5 like [Source:HGNC Symbol;Acc:HGNC:1255]	2841	0.09161601215600967	0.38409868	Yes	
row_12	PRCC	proline rich mitotic checkpoint control factor [Source:HGNC Symbol;Acc:HGNC:9343]	2976	0.08860351890325546	0.4050983	Yes	
row_13	THNSL1	threonine synthase like 1 [Source:HGNC Symbol;Acc:HGNC:26160]	3910	0.07102366536855698	0.3730743	No	
row_14	FICD	FIC domain protein adenylyltransferase [Source:HGNC Symbol;Acc:HGNC:18416]	5791	0.04228900372982025	0.27562612	No	
row_15	RHBDL1	rhomboid like 1 [Source:HGNC Symbol;Acc:HGNC:10007]	6208	0.035825297236442566	0.26270497	No	
row_16	ORC2	origin recognition complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:8488]	6368	0.033680509775877	0.26429245	No	
row_17	SLC9A1	solute carrier family 9 member A1 [Source:HGNC Symbol;Acc:HGNC:11071]	6858	0.026930948719382286	0.24414721	No	
row_18	KATNB1	katanin regulatory subunit B1 [Source:HGNC Symbol;Acc:HGNC:6217]	7577	0.017218003049492836	0.20727876	No	
row_19	SLC17A7	solute carrier family 17 member 7 [Source:HGNC Symbol;Acc:HGNC:16704]	7594	0.016982924193143845	0.21187691	No	
row_20	MYLIP	myosin regulatory light chain interacting protein [Source:HGNC Symbol;Acc:HGNC:21155]	9710	-0.010969100520014763	0.09029565	No	
row_21	RFX1	regulatory factor X1 [Source:HGNC Symbol;Acc:HGNC:9982]	9865	-0.012761080637574196	0.0853487	No	
row_22	MOBP	myelin associated oligodendrocyte basic protein [Source:HGNC Symbol;Acc:HGNC:7189]	10388	-0.019857658073306084	0.06094111	No	
row_23	ZBTB39	zinc finger and BTB domain containing 39 [Source:HGNC Symbol;Acc:HGNC:29014]	10498	-0.02144808880984783	0.061493564	No	
row_24	RNF227	ring finger protein 227 [Source:HGNC Symbol;Acc:HGNC:27571]	10508	-0.021550724282860756	0.06799739	No	
row_25	PABIR3	PABIR family member 3 [Source:HGNC Symbol;Acc:HGNC:25202]	10627	-0.02322310395538807	0.06859679	No	
row_26	ACOX2	acyl-CoA oxidase 2 [Source:HGNC Symbol;Acc:HGNC:120]	10964	-0.028051503002643585	0.057871748	No	
row_27	CACNB4	calcium voltage-gated channel auxiliary subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:1404]	12296	-0.04890758916735649	-0.004926368	No	
row_28	HEY1	hes related family bHLH transcription factor with YRPW motif 1 [Source:HGNC Symbol;Acc:HGNC:4880]	12785	-0.05644775554537773	-0.015375019	No	
row_29	DOCK11	dedicator of cytokinesis 11 [Source:HGNC Symbol;Acc:HGNC:23483]	13460	-0.06801945716142654	-0.033052664	No	
row_30	TIMP3	TIMP metallopeptidase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:11822]	13664	-0.07170973718166351	-0.021652292	No	
row_31	ITGBL1	integrin subunit beta like 1 [Source:HGNC Symbol;Acc:HGNC:6164]	15158	-0.10762391984462738	-0.07486613	No	
row_32	VSNL1	visinin like 1 [Source:HGNC Symbol;Acc:HGNC:12722]	15502	-0.11903160065412521	-0.05629991	No	
row_33	PIGO	phosphatidylinositol glycan anchor biosynthesis class O [Source:HGNC Symbol;Acc:HGNC:23215]	15747	-0.12824048101902008	-0.028868258	No	
row_34	IL4R	interleukin 4 receptor [Source:HGNC Symbol;Acc:HGNC:6015]	15982	-0.13832330703735352	0.0024472785	No	
row_35	ITGA2	integrin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6137]	16444	-0.16469013690948486	0.028938191	No	
