NAME	TITLE	SCORE	
GHRL	ghrelin and obestatin prepropeptide [Source:HGNC Symbol;Acc:HGNC:18129]	0.35821888	
PRPH	peripherin [Source:HGNC Symbol;Acc:HGNC:9461]	0.33242592	
FBXO16	F-box protein 16 [Source:HGNC Symbol;Acc:HGNC:13618]	0.3169913	
GOT1	glutamic-oxaloacetic transaminase 1 [Source:HGNC Symbol;Acc:HGNC:4432]	0.3078438	
KLKB1	kallikrein B1 [Source:HGNC Symbol;Acc:HGNC:6371]	0.30783087	
NPY	neuropeptide Y [Source:HGNC Symbol;Acc:HGNC:7955]	0.30333456	
DNAJC12	DnaJ heat shock protein family (Hsp40) member C12 [Source:HGNC Symbol;Acc:HGNC:28908]	0.30236745	
NEFM	neurofilament medium chain [Source:HGNC Symbol;Acc:HGNC:7734]	0.29256153	
TMEM106C	transmembrane protein 106C [Source:HGNC Symbol;Acc:HGNC:28775]	0.28673732	
ABCA5	ATP binding cassette subfamily A member 5 [Source:HGNC Symbol;Acc:HGNC:35]	0.2841962	
SLC18A3	solute carrier family 18 member A3 [Source:HGNC Symbol;Acc:HGNC:10936]	0.28398508	
DMTN	dematin actin binding protein [Source:HGNC Symbol;Acc:HGNC:3382]	0.28196183	
GKAP1	G kinase anchoring protein 1 [Source:HGNC Symbol;Acc:HGNC:17496]	0.27966297	
DPYSL5	dihydropyrimidinase like 5 [Source:HGNC Symbol;Acc:HGNC:20637]	0.27764338	
FDFT1	farnesyl-diphosphate farnesyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:3629]	0.27571264	
PDHA1	pyruvate dehydrogenase E1 subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:8806]	0.27370757	
GAP43	growth associated protein 43 [Source:HGNC Symbol;Acc:HGNC:4140]	0.26858133	
NPM2	nucleophosmin/nucleoplasmin 2 [Source:HGNC Symbol;Acc:HGNC:7930]	0.26686838	
CRABP1	cellular retinoic acid binding protein 1 [Source:HGNC Symbol;Acc:HGNC:2338]	0.26661006	
VIP	vasoactive intestinal peptide [Source:HGNC Symbol;Acc:HGNC:12693]	0.26509434	
TGM3	transglutaminase 3 [Source:HGNC Symbol;Acc:HGNC:11779]	0.26134735	
TRIM58	tripartite motif containing 58 [Source:HGNC Symbol;Acc:HGNC:24150]	0.2597508	
FANCC	FA complementation group C [Source:HGNC Symbol;Acc:HGNC:3584]	0.25961295	
FOXD3	forkhead box D3 [Source:HGNC Symbol;Acc:HGNC:3804]	0.2595413	
PCDHA8	protocadherin alpha 8 [Source:HGNC Symbol;Acc:HGNC:8674]	0.25946313	
INTS10	integrator complex subunit 10 [Source:HGNC Symbol;Acc:HGNC:25548]	0.25902206	
FZD3	frizzled class receptor 3 [Source:HGNC Symbol;Acc:HGNC:4041]	0.25756517	
NSG2	neuronal vesicle trafficking associated 2 [Source:HGNC Symbol;Acc:HGNC:24955]	0.2561548	
TEKT5	tektin 5 [Source:HGNC Symbol;Acc:HGNC:26554]	0.25580937	
FRMPD1	FERM and PDZ domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29159]	0.2553111	
NRSN1	neurensin 1 [Source:HGNC Symbol;Acc:HGNC:17881]	0.25357032	
PDX1	pancreatic and duodenal homeobox 1 [Source:HGNC Symbol;Acc:HGNC:6107]	0.253486	
SCLY	selenocysteine lyase [Source:HGNC Symbol;Acc:HGNC:18161]	0.25286853	
TSACC	TSSK6 activating cochaperone [Source:HGNC Symbol;Acc:HGNC:30636]	0.2514729	
ATP5MC3	ATP synthase membrane subunit c locus 3 [Source:HGNC Symbol;Acc:HGNC:843]	0.25138187	
NHERF1	NHERF family PDZ scaffold protein 1 [Source:HGNC Symbol;Acc:HGNC:11075]	0.25086948	
VPS54	VPS54 subunit of GARP complex [Source:HGNC Symbol;Acc:HGNC:18652]	0.24980985	
KHK	ketohexokinase [Source:HGNC Symbol;Acc:HGNC:6315]	0.24969508	
NDUFV3	NADH:ubiquinone oxidoreductase subunit V3 [Source:HGNC Symbol;Acc:HGNC:7719]	0.24927989	
TTLL7	tubulin tyrosine ligase like 7 [Source:HGNC Symbol;Acc:HGNC:26242]	0.24883148	
SUCLG1	succinate-CoA ligase GDP/ADP-forming subunit alpha [Source:HGNC Symbol;Acc:HGNC:11449]	0.24860364	
ALMS1P1	ALMS1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:29586]	0.24848332	
CCAR2	cell cycle and apoptosis regulator 2 [Source:HGNC Symbol;Acc:HGNC:23360]	0.24803886	
ATP1A1-AS1	ATP1A1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:28262]	0.24644688	
GFRA3	GDNF family receptor alpha 3 [Source:HGNC Symbol;Acc:HGNC:4245]	0.24372244	
SLC5A7	solute carrier family 5 member 7 [Source:HGNC Symbol;Acc:HGNC:14025]	0.24293596	
XKR6	XK related 6 [Source:HGNC Symbol;Acc:HGNC:27806]	0.24232487	
B3GALNT2	beta-1,3-N-acetylgalactosaminyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:28596]	0.24140918	
CHAF1B	chromatin assembly factor 1 subunit B [Source:HGNC Symbol;Acc:HGNC:1911]	0.24113028	
TUBB4A	tubulin beta 4A class IVa [Source:HGNC Symbol;Acc:HGNC:20774]	0.24092193	
ATP6V0E2	ATPase H+ transporting V0 subunit e2 [Source:HGNC Symbol;Acc:HGNC:21723]	0.2407095	
SOWAHA	sosondowah ankyrin repeat domain family member A [Source:HGNC Symbol;Acc:HGNC:27033]	0.23988779	
ASRGL1	asparaginase and isoaspartyl peptidase 1 [Source:HGNC Symbol;Acc:HGNC:16448]	0.23963536	
GLS2	glutaminase 2 [Source:HGNC Symbol;Acc:HGNC:29570]	0.23819141	
MYEF2	myelin expression factor 2 [Source:HGNC Symbol;Acc:HGNC:17940]	0.23730052	
FAN1	FANCD2 and FANCI associated nuclease 1 [Source:HGNC Symbol;Acc:HGNC:29170]	0.23543558	
FH	fumarate hydratase [Source:HGNC Symbol;Acc:HGNC:3700]	0.23453575	
CDH22	cadherin 22 [Source:HGNC Symbol;Acc:HGNC:13251]	0.23376971	
NPW	neuropeptide W [Source:HGNC Symbol;Acc:HGNC:30509]	0.23376472	
SHBG	sex hormone binding globulin [Source:HGNC Symbol;Acc:HGNC:10839]	0.23272732	
RAB26	RAB26, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:14259]	0.2322653	
ATP6V0E2-AS1	ATP6V0E2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44180]	0.23204787	
CLUH	clustered mitochondria homolog [Source:HGNC Symbol;Acc:HGNC:29094]	0.23143677	
CARTPT	CART prepropeptide [Source:HGNC Symbol;Acc:HGNC:24323]	0.23142442	
