NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EVC	EvC ciliary complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:3497]	44	0.23542994260787964	0.013441294	Yes	
row_1	PTGIS	prostaglandin I2 synthase [Source:HGNC Symbol;Acc:HGNC:9603]	57	0.23152099549770355	0.028525693	Yes	
row_2	MN1	MN1 proto-oncogene, transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:7180]	83	0.2168945074081421	0.04183599	Yes	
row_3	ZSCAN31	zinc finger and SCAN domain containing 31 [Source:HGNC Symbol;Acc:HGNC:14097]	133	0.20330287516117096	0.052786294	Yes	
row_4	FBLN2	fibulin 2 [Source:HGNC Symbol;Acc:HGNC:3601]	162	0.19705405831336975	0.06456349	Yes	
row_5	EDNRA	endothelin receptor type A [Source:HGNC Symbol;Acc:HGNC:3179]	181	0.19389019906520844	0.0767216	Yes	
row_6	SLC12A8	solute carrier family 12 member 8 [Source:HGNC Symbol;Acc:HGNC:15595]	221	0.1874215006828308	0.08718488	Yes	
row_7	KCNJ2	potassium inwardly rectifying channel subfamily J member 2 [Source:HGNC Symbol;Acc:HGNC:6263]	261	0.18427178263664246	0.09743321	Yes	
row_8	GASK1B	golgi associated kinase 1B [Source:HGNC Symbol;Acc:HGNC:25312]	314	0.17941759526729584	0.106574364	Yes	
row_9	KCND2	potassium voltage-gated channel subfamily D member 2 [Source:HGNC Symbol;Acc:HGNC:6238]	340	0.17764966189861298	0.11720632	Yes	
row_10	ITGBL1	integrin subunit beta like 1 [Source:HGNC Symbol;Acc:HGNC:6164]	347	0.1769677698612213	0.12892573	Yes	
row_11	CCN4	cellular communication network factor 4 [Source:HGNC Symbol;Acc:HGNC:12769]	381	0.17369036376476288	0.13881001	Yes	
row_12	IL1R1	interleukin 1 receptor type 1 [Source:HGNC Symbol;Acc:HGNC:5993]	465	0.16764037311077118	0.1452972	Yes	
row_13	TREM1	triggering receptor expressed on myeloid cells 1 [Source:HGNC Symbol;Acc:HGNC:17760]	513	0.16394942998886108	0.15368113	Yes	
row_14	CYP1B1	cytochrome P450 family 1 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:2597]	930	0.1413303166627884	0.13849808	Yes	
row_15	CDH13	cadherin 13 [Source:HGNC Symbol;Acc:HGNC:1753]	934	0.141109436750412	0.14794932	Yes	
row_16	CD68	CD68 molecule [Source:HGNC Symbol;Acc:HGNC:1693]	975	0.13956548273563385	0.15508689	Yes	
row_17	EDIL3	EGF like repeats and discoidin domains 3 [Source:HGNC Symbol;Acc:HGNC:3173]	999	0.13841284811496735	0.16316043	Yes	
row_18	GPRC5B	G protein-coupled receptor class C group 5 member B [Source:HGNC Symbol;Acc:HGNC:13308]	1018	0.1378391534090042	0.17149322	Yes	
row_19	HS2ST1	heparan sulfate 2-O-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5193]	1106	0.13369598984718323	0.17542508	Yes	
row_20	FMOD	fibromodulin [Source:HGNC Symbol;Acc:HGNC:3774]	1133	0.13240285217761993	0.1829094	Yes	
row_21	PDE4DIP	phosphodiesterase 4D interacting protein [Source:HGNC Symbol;Acc:HGNC:15580]	1142	0.1318540722131729	0.19143057	Yes	
row_22	TCF21	transcription factor 21 [Source:HGNC Symbol;Acc:HGNC:11632]	1227	0.12872731685638428	0.19520238	Yes	
row_23	AFF1	ALF transcription elongation factor 1 [Source:HGNC Symbol;Acc:HGNC:7135]	1392	0.12274530529975891	0.19379126	Yes	
row_24	CHI3L1	chitinase 3 like 1 [Source:HGNC Symbol;Acc:HGNC:1932]	1521	0.11873932927846909	0.19425535	Yes	
row_25	ARHGEF3	Rho guanine nucleotide exchange factor 3 [Source:HGNC Symbol;Acc:HGNC:683]	1539	0.11818721890449524	0.20130664	Yes	
row_26	ATP8B4	ATPase phospholipid transporting 8B4 (putative) [Source:HGNC Symbol;Acc:HGNC:13536]	1565	0.11754658073186874	0.20783675	Yes	
row_27	CA9	carbonic anhydrase 9 [Source:HGNC Symbol;Acc:HGNC:1383]	1581	0.11669529229402542	0.21490559	Yes	
row_28	CD200	CD200 molecule [Source:HGNC Symbol;Acc:HGNC:7203]	1628	0.11513465642929077	0.22001773	Yes	
