NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	B4GALT1	beta-1,4-galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:924]	35	0.24143509566783905	0.061484676	No	
row_1	SIRPA	signal regulatory protein alpha [Source:HGNC Symbol;Acc:HGNC:9662]	2160	0.09992241114377975	-0.037965998	No	
row_2	CASP4	caspase 4 [Source:HGNC Symbol;Acc:HGNC:1505]	2202	0.09875381737947464	-0.01439689	No	
row_3	KLHL15	kelch like family member 15 [Source:HGNC Symbol;Acc:HGNC:29347]	3777	0.06123099848628044	-0.091469295	No	
row_4	CYP24A1	cytochrome P450 family 24 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2602]	5176	0.03423440456390381	-0.16522808	No	
row_5	MYADM	myeloid associated differentiation marker [Source:HGNC Symbol;Acc:HGNC:7544]	5383	0.030304890125989914	-0.16944699	No	
row_6	CTSD	cathepsin D [Source:HGNC Symbol;Acc:HGNC:2529]	5445	0.029415704309940338	-0.16531503	No	
row_7	PALMD	palmdelphin [Source:HGNC Symbol;Acc:HGNC:15846]	5722	0.024394555017352104	-0.17523427	No	
row_8	FHDC1	FH2 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29363]	6516	0.010448305867612362	-0.21943466	No	
row_9	CALR	calreticulin [Source:HGNC Symbol;Acc:HGNC:1455]	6749	0.006097498349845409	-0.23156545	No	
row_10	CD151	CD151 molecule (Raph blood group) [Source:HGNC Symbol;Acc:HGNC:1630]	6771	0.005616535432636738	-0.23133026	No	
row_11	ACTN4	actinin alpha 4 [Source:HGNC Symbol;Acc:HGNC:166]	7036	0.0011483655543997884	-0.2466585	No	
row_12	AXIN2	axin 2 [Source:HGNC Symbol;Acc:HGNC:904]	8221	-0.018024833872914314	-0.3120142	No	
row_13	CD2BP2	CD2 cytoplasmic tail binding protein 2 [Source:HGNC Symbol;Acc:HGNC:1656]	8308	-0.01953008398413658	-0.31196472	No	
row_14	C4orf36	chromosome 4 open reading frame 36 [Source:HGNC Symbol;Acc:HGNC:28386]	8893	-0.028931831941008568	-0.3389252	No	
row_15	MYL9	myosin light chain 9 [Source:HGNC Symbol;Acc:HGNC:15754]	8961	-0.029997779056429863	-0.33499524	No	
