NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	B4GALNT1	beta-1,4-N-acetyl-galactosaminyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:4117]	4	0.29973143339157104	0.024144847	Yes	
row_1	LHFPL2	LHFPL tetraspan subfamily member 2 [Source:HGNC Symbol;Acc:HGNC:6588]	92	0.21411250531673431	0.03638179	Yes	
row_2	ABCA1	ATP binding cassette subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:29]	122	0.20597924292087555	0.051411122	Yes	
row_3	TIE1	tyrosine kinase with immunoglobulin like and EGF like domains 1 [Source:HGNC Symbol;Acc:HGNC:11809]	251	0.18521586060523987	0.058855694	Yes	
row_4	SRPX2	sushi repeat containing protein X-linked 2 [Source:HGNC Symbol;Acc:HGNC:30668]	438	0.16978846490383148	0.061591227	Yes	
row_5	FAP	fibroblast activation protein alpha [Source:HGNC Symbol;Acc:HGNC:3590]	534	0.16259828209877014	0.06916109	Yes	
row_6	CPA4	carboxypeptidase A4 [Source:HGNC Symbol;Acc:HGNC:15740]	624	0.15719272196292877	0.076648526	Yes	
row_7	NT5E	5'-nucleotidase ecto [Source:HGNC Symbol;Acc:HGNC:8021]	711	0.15116699039936066	0.083824426	Yes	
row_8	ITGA5	integrin subunit alpha 5 [Source:HGNC Symbol;Acc:HGNC:6141]	714	0.1509191244840622	0.09598254	Yes	
row_9	CSF1	colony stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:2432]	716	0.1508861631155014	0.108197525	Yes	
row_10	CRISPLD2	cysteine rich secretory protein LCCL domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25248]	889	0.1433381736278534	0.109615065	Yes	
row_11	FGFR1	fibroblast growth factor receptor 1 [Source:HGNC Symbol;Acc:HGNC:3688]	904	0.1426926702260971	0.12038934	Yes	
row_12	MFGE8	milk fat globule EGF and factor V/VIII domain containing [Source:HGNC Symbol;Acc:HGNC:7036]	946	0.140477254986763	0.12937549	Yes	
row_13	TGFB2	transforming growth factor beta 2 [Source:HGNC Symbol;Acc:HGNC:11768]	956	0.14016631245613098	0.140242	Yes	
row_14	P3H3	prolyl 3-hydroxylase 3 [Source:HGNC Symbol;Acc:HGNC:19318]	962	0.14002588391304016	0.1513353	Yes	
row_15	GFPT2	glutamine-fructose-6-phosphate transaminase 2 [Source:HGNC Symbol;Acc:HGNC:4242]	1179	0.1305805891752243	0.14909472	Yes	
row_16	ADAM12	ADAM metallopeptidase domain 12 [Source:HGNC Symbol;Acc:HGNC:190]	1194	0.13029281795024872	0.15886027	Yes	
row_17	ITGA4	integrin subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:6140]	1250	0.12763908505439758	0.1659683	Yes	
row_18	HAS2	hyaluronan synthase 2 [Source:HGNC Symbol;Acc:HGNC:4819]	1290	0.12620329856872559	0.17391236	Yes	
row_19	CHST11	carbohydrate sulfotransferase 11 [Source:HGNC Symbol;Acc:HGNC:17422]	1312	0.12544554471969604	0.1828667	Yes	
row_20	INHBA	inhibin subunit beta A [Source:HGNC Symbol;Acc:HGNC:6066]	1462	0.12061195820569992	0.18380518	Yes	
row_21	LSAMP	limbic system associated membrane protein [Source:HGNC Symbol;Acc:HGNC:6705]	1524	0.11855745315551758	0.18981712	Yes	
row_22	TNFAIP6	TNF alpha induced protein 6 [Source:HGNC Symbol;Acc:HGNC:11898]	1606	0.11582007259130478	0.19441532	Yes	
row_23	PDCD1LG2	programmed cell death 1 ligand 2 [Source:HGNC Symbol;Acc:HGNC:18731]	1682	0.11367569118738174	0.19919638	Yes	
row_24	LRRC15	leucine rich repeat containing 15 [Source:HGNC Symbol;Acc:HGNC:20818]	1743	0.11209449917078018	0.2047421	Yes	
row_25	ACKR3	atypical chemokine receptor 3 [Source:HGNC Symbol;Acc:HGNC:23692]	1746	0.11203185468912125	0.21373676	Yes	
row_26	TEK	TEK receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:11724]	1804	0.11001384258270264	0.21929187	Yes	
row_27	FJX1	four-jointed box kinase 1 [Source:HGNC Symbol;Acc:HGNC:17166]	1812	0.10976091027259827	0.22780402	Yes	
row_28	ASPH	aspartate beta-hydroxylase [Source:HGNC Symbol;Acc:HGNC:757]	1815	0.10960078984498978	0.2366009	Yes	
row_29	PLXNA2	plexin A2 [Source:HGNC Symbol;Acc:HGNC:9100]	1969	0.1052839457988739	0.23605424	Yes	
row_30	JAG1	jagged canonical Notch ligand 1 [Source:HGNC Symbol;Acc:HGNC:6188]	1995	0.10485333949327469	0.24309522	Yes	
row_31	TIMP3	TIMP metallopeptidase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:11822]	2029	0.10393110662698746	0.24958475	Yes	
row_32	SIRPA	signal regulatory protein alpha [Source:HGNC Symbol;Acc:HGNC:9662]	2160	0.09992241114377975	0.24997163	Yes	
row_33	NRP2	neuropilin 2 [Source:HGNC Symbol;Acc:HGNC:8005]	2171	0.09964071214199066	0.25748184	Yes	
row_34	ANXA3	annexin A3 [Source:HGNC Symbol;Acc:HGNC:541]	2177	0.0994931161403656	0.26527783	Yes	
row_35	COL16A1	collagen type XVI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2193]	2221	0.09810168296098709	0.27069762	Yes	
row_36	TRIO	trio Rho guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:12303]	2299	0.09592585265636444	0.27391565	Yes	
