NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CHST15	carbohydrate sulfotransferase 15 [Source:HGNC Symbol;Acc:HGNC:18137]	18	0.2669501304626465	0.015609513	Yes	
row_1	RAB31	RAB31, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9771]	59	0.22988396883010864	0.027587943	Yes	
row_2	TIMP2	TIMP metallopeptidase inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:11821]	125	0.2052742838859558	0.03653461	Yes	
row_3	PINK1	PTEN induced kinase 1 [Source:HGNC Symbol;Acc:HGNC:14581]	198	0.19055607914924622	0.04414315	Yes	
row_4	SNN	stannin [Source:HGNC Symbol;Acc:HGNC:11149]	209	0.18880391120910645	0.05534633	Yes	
row_5	SH3PXD2A	SH3 and PX domains 2A [Source:HGNC Symbol;Acc:HGNC:23664]	301	0.18081824481487274	0.061211094	Yes	
row_6	PLS3	plastin 3 [Source:HGNC Symbol;Acc:HGNC:9091]	304	0.1802080124616623	0.072354965	Yes	
row_7	IGFBP5	insulin like growth factor binding protein 5 [Source:HGNC Symbol;Acc:HGNC:5474]	308	0.17978590726852417	0.0834127	Yes	
row_8	ANKRD6	ankyrin repeat domain 6 [Source:HGNC Symbol;Acc:HGNC:17280]	334	0.17816847562789917	0.09305498	Yes	
row_9	RAP2A	RAP2A, member of RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9861]	336	0.17799897491931915	0.10412052	Yes	
row_10	FSTL1	follistatin like 1 [Source:HGNC Symbol;Acc:HGNC:3972]	365	0.17496013641357422	0.11338303	Yes	
row_11	THSD7A	thrombospondin type 1 domain containing 7A [Source:HGNC Symbol;Acc:HGNC:22207]	406	0.17172880470752716	0.121726654	Yes	
row_12	UBE2E2	ubiquitin conjugating enzyme E2 E2 [Source:HGNC Symbol;Acc:HGNC:12478]	425	0.17038290202617645	0.13130052	Yes	
row_13	TSPAN5	tetraspanin 5 [Source:HGNC Symbol;Acc:HGNC:17753]	472	0.1672113537788391	0.13900332	Yes	
row_14	SEPTIN11	septin 11 [Source:HGNC Symbol;Acc:HGNC:25589]	524	0.16311392188072205	0.1461513	Yes	
row_15	PHLDB1	pleckstrin homology like domain family B member 1 [Source:HGNC Symbol;Acc:HGNC:23697]	663	0.1543717086315155	0.14755513	Yes	
row_16	MAPK1	mitogen-activated protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:6871]	721	0.15058296918869019	0.15356144	Yes	
row_17	SERINC1	serine incorporator 1 [Source:HGNC Symbol;Acc:HGNC:13464]	777	0.14831571280956268	0.15954553	Yes	
row_18	GNAQ	G protein subunit alpha q [Source:HGNC Symbol;Acc:HGNC:4390]	782	0.14822039008140564	0.16857061	Yes	
row_19	BACH2	BTB domain and CNC homolog 2 [Source:HGNC Symbol;Acc:HGNC:14078]	823	0.14634861052036285	0.17532793	Yes	
row_20	AKT3	AKT serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:393]	903	0.1427694410085678	0.1795315	Yes	
row_21	MAP4K4	mitogen-activated protein kinase kinase kinase kinase 4 [Source:HGNC Symbol;Acc:HGNC:6866]	940	0.14076147973537445	0.18617857	Yes	
row_22	ATP9A	ATPase phospholipid transporting 9A (putative) [Source:HGNC Symbol;Acc:HGNC:13540]	997	0.1385611891746521	0.19149324	Yes	
row_23	FOXN3	forkhead box N3 [Source:HGNC Symbol;Acc:HGNC:1928]	1016	0.13793626427650452	0.19903913	Yes	
row_24	IQCK	IQ motif containing K [Source:HGNC Symbol;Acc:HGNC:28556]	1053	0.13625562191009521	0.20540458	Yes	
row_25	PTPRD	protein tyrosine phosphatase receptor type D [Source:HGNC Symbol;Acc:HGNC:9668]	1092	0.1344127357006073	0.21153535	Yes	
row_26	GNG12	G protein subunit gamma 12 [Source:HGNC Symbol;Acc:HGNC:19663]	1202	0.12981534004211426	0.21313694	Yes	
row_27	DNAJA1	DnaJ heat shock protein family (Hsp40) member A1 [Source:HGNC Symbol;Acc:HGNC:5229]	1207	0.12966132164001465	0.22100206	Yes	
row_28	NUDT11	nudix hydrolase 11 [Source:HGNC Symbol;Acc:HGNC:18011]	1215	0.12929046154022217	0.22866476	Yes	
row_29	IDS	iduronate 2-sulfatase [Source:HGNC Symbol;Acc:HGNC:5389]	1239	0.12816669046878815	0.2353013	Yes	
row_30	LMBR1	limb development membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:13243]	1307	0.1256639063358307	0.23915268	Yes	
row_31	SEPTIN7	septin 7 [Source:HGNC Symbol;Acc:HGNC:1717]	1359	0.12368715554475784	0.24383642	Yes	
row_32	ITSN1	intersectin 1 [Source:HGNC Symbol;Acc:HGNC:6183]	1412	0.12229496240615845	0.24837339	Yes	
row_33	MBD2	methyl-CpG binding domain protein 2 [Source:HGNC Symbol;Acc:HGNC:6917]	1552	0.11792709678411484	0.24743961	Yes	
row_34	NCF2	neutrophil cytosolic factor 2 [Source:HGNC Symbol;Acc:HGNC:7661]	1562	0.11763163655996323	0.2542541	Yes	
row_35	GEM	GTP binding protein overexpressed in skeletal muscle [Source:HGNC Symbol;Acc:HGNC:4234]	1600	0.11598315834999084	0.25929275	Yes	
