NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SULF1	sulfatase 1 [Source:HGNC Symbol;Acc:HGNC:20391]	32	0.24467511475086212	0.022009777	No	
row_1	COL1A1	collagen type I alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2197]	446	0.16929474472999573	0.013987147	No	
row_2	HSPG2	heparan sulfate proteoglycan 2 [Source:HGNC Symbol;Acc:HGNC:5273]	749	0.14973275363445282	0.0106558325	No	
row_3	HBP1	HMG-box transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:23200]	805	0.1470288336277008	0.021753883	No	
row_4	ATF7IP	activating transcription factor 7 interacting protein [Source:HGNC Symbol;Acc:HGNC:20092]	966	0.13991661369800568	0.025910538	No	
row_5	TXNIP	thioredoxin interacting protein [Source:HGNC Symbol;Acc:HGNC:16952]	1048	0.1364113986492157	0.034424193	No	
row_6	C14orf132	chromosome 14 open reading frame 132 [Source:HGNC Symbol;Acc:HGNC:20346]	1627	0.11519716680049896	0.011298732	No	
row_7	SLC16A7	solute carrier family 16 member 7 [Source:HGNC Symbol;Acc:HGNC:10928]	1885	0.10764234513044357	0.006530674	No	
row_8	ZFYVE1	zinc finger FYVE-type containing 1 [Source:HGNC Symbol;Acc:HGNC:13180]	1946	0.10569141805171967	0.013291157	No	
row_9	NDNF	neuron derived neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:26256]	2163	0.09983328729867935	0.010198903	No	
row_10	ZNF585B	zinc finger protein 585B [Source:HGNC Symbol;Acc:HGNC:30948]	2207	0.09855814278125763	0.017273515	No	
row_11	DCP1B	decapping mRNA 1B [Source:HGNC Symbol;Acc:HGNC:24451]	2852	0.08255025744438171	-0.012968938	No	
row_12	FBXO38	F-box protein 38 [Source:HGNC Symbol;Acc:HGNC:28844]	2877	0.08174649626016617	-0.006407137	No	
row_13	ELMOD2	ELMO domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28111]	2932	0.08073261380195618	-0.0017290813	No	
row_14	NMT2	N-myristoyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:7858]	2972	0.07987959682941437	0.0037579308	No	
row_15	ALDH1L2	aldehyde dehydrogenase 1 family member L2 [Source:HGNC Symbol;Acc:HGNC:26777]	3257	0.07380898296833038	-0.0059230286	No	
row_16	RNF20	ring finger protein 20 [Source:HGNC Symbol;Acc:HGNC:10062]	3345	0.07164107263088226	-0.0040966547	No	
row_17	UFSP2	UFM1 specific peptidase 2 [Source:HGNC Symbol;Acc:HGNC:25640]	3443	0.06921114027500153	-0.003102655	No	
row_18	PDE5A	phosphodiesterase 5A [Source:HGNC Symbol;Acc:HGNC:8784]	3632	0.0645710900425911	-0.007975597	No	
row_19	NATD1	N-acetyltransferase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30770]	3662	0.06386899203062057	-0.0034585025	No	
row_20	LTN1	listerin E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:13082]	3857	0.059406306594610214	-0.009193156	No	
row_21	ADAMTSL4	ADAMTS like 4 [Source:HGNC Symbol;Acc:HGNC:19706]	3864	0.05932881683111191	-0.0037515643	No	
row_22	FZD2	frizzled class receptor 2 [Source:HGNC Symbol;Acc:HGNC:4040]	4170	0.05323319137096405	-0.016692763	No	
row_23	PAPLN	papilin, proteoglycan like sulfated glycoprotein [Source:HGNC Symbol;Acc:HGNC:19262]	4412	0.04840552806854248	-0.026298536	No	
row_24	ZFP64	ZFP64 zinc finger protein [Source:HGNC Symbol;Acc:HGNC:15940]	4445	0.04789800941944122	-0.023520837	No	
